SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  123.86,  338.94,  430.65,  500.94,  554.51,  839.88,1984896372, 1394.39,  419.91,   23.68,  418.56,   20.47,  838.48,   44.14,1985110984,  882.62,   1392.99,    884.02,   2277.01
  107.64,  316.82,  379.73,  466.21,  487.37,  783.03,2132896567, 1270.40,  400.39,    6.72,  401.54,    3.37,  801.94,   10.09,2132996750,  812.02,   1289.31,    793.12,   2082.43
  100.97,  302.74,  353.57,  442.36,  454.54,  745.10,2132602518, 1199.64,  396.85,    7.50,  396.21,    4.10,  793.05,   11.60,2132417855,  804.66,   1247.59,    756.71,   2004.30
   97.00,  295.49,  338.02,  428.56,  435.02,  724.05,2134805859, 1159.06,  396.69,    6.60,  394.55,    3.19,  791.23,    9.80,2134763770,  801.03,   1226.25,    733.84,   1960.09
   92.87,  290.96,  323.67,  419.11,  416.53,  710.07,2132579252, 1126.60,  392.02,    6.55,  389.57,    3.16,  781.59,    9.71,2132516379,  791.30,   1198.12,    719.78,   1917.90
   90.63,  286.99,  315.11,  411.75,  405.74,  698.73,2132382835, 1104.47,  391.18,    7.63,  391.80,    4.25,  782.97,   11.88,2132520836,  794.85,   1188.71,    710.61,   1899.33
   89.65,  286.04,  311.05,  409.20,  400.71,  695.23,2134704951, 1095.94,  392.95,    6.49,  392.58,    3.12,  785.52,    9.60,2134598420,  795.13,   1186.23,    704.84,   1891.07
   87.94,  283.26,  304.87,  404.11,  392.82,  687.37,2132413258, 1080.18,  393.26,    6.29,  391.66,    2.87,  784.92,    9.16,2132393701,  794.08,   1177.74,    696.52,   1874.26
   86.92,  282.82,  300.52,  402.01,  387.45,  684.83,2134448413, 1072.28,  384.97,    6.07,  383.01,    2.70,  767.98,    8.77,2134459398,  776.75,   1155.43,    693.60,   1849.02
   85.27,  282.37,  294.97,  399.49,  380.24,  681.85,2132398293, 1062.09,  381.13,    5.96,  382.19,    2.56,  763.31,    8.52,2132400503,  771.83,   1143.55,    690.37,   1833.92
   95.79,  305.79,  327.26,  434.08,  423.05,  739.87,2132449190, 1162.91,  425.60,   22.11,  424.59,   18.83,  850.19,   40.95,2132458014,  891.14,   1273.23,    780.82,   2054.05
   81.23,  283.70,  280.19,  395.68,  361.42,  679.37,2134687081, 1040.79,  414.69,    8.28,  412.36,    4.91,  827.05,   13.19,2134640743,  840.24,   1188.47,    692.56,   1881.03
   79.72,  278.60,  274.29,  388.11,  354.01,  666.72,2132341406, 1020.73,  395.77,    6.88,  394.05,    3.44,  789.81,   10.32,2132338979,  800.14,   1143.82,    677.04,   1820.86
   78.46,  278.24,  270.48,  386.32,  348.95,  664.57,2134451185, 1013.51,  393.03,    6.47,  393.06,    3.08,  786.09,    9.55,2134438830,  795.64,   1135.04,    674.11,   1809.15
   78.10,  278.29,  268.36,  385.96,  346.46,  664.25,2132287791, 1010.70,  383.73,    6.08,  383.68,    2.70,  767.41,    8.78,2132275080,  776.19,   1113.87,    673.03,   1786.90
   77.65,  278.35,  267.26,  385.37,  344.92,  663.73,2134427604, 1008.64,  382.83,    6.34,  381.47,    2.94,  764.30,    9.27,2134453770,  773.58,   1109.22,    673.00,   1782.22
   76.47,  275.77,  262.09,  380.55,  338.56,  656.33,2132333911,  994.88,  394.04,    8.28,  394.43,    4.86,  788.47,   13.14,2132333054,  801.61,   1127.02,    669.47,   1796.49
   75.75,  274.68,  260.06,  379.08,  335.81,  653.76,2134417734,  989.57,  389.09,    6.01,  390.15,    2.62,  779.24,    8.64,2134386716,  787.88,   1115.05,    662.40,   1777.44
   78.57,  270.55,  269.62,  377.41,  348.20,  647.96,2132472146,  996.16,  381.97,    6.37,  382.09,    2.96,  764.06,    9.33,2136781074,  773.40,   1112.26,    657.29,   1769.55
