System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-15,00:14:15.833,0.28,2.74,0.10,1.12,0.06,28.78,1.00,0.42,0.0000,0.0019, 15120,0.41,0.63,99,43,14806.98,5412.01,2602.17,5.47,136.80,0.57,14.23,0.04,1.38,0.03,1.22,0.05,4.29,0.99,0.71,0.0000,0.0019, 23760,0.60,0.01,98,37,2270.05,1647.76,2602.17,2.76,68.88,0.09,2.18,9.32,72.75,0.03,17.90,0.00,100.00,0.00,0.00,0.00,0.00,2.60,27.92,0.17,69.31,0.00,100.00,0.00,0.00,0.00,0.00,80.10,53.37,4.47 ,4.49 ,3874662.03 ,3978065.57 ,3.00,3.00,0.82,3.21,0.26,1.12,0.00,3.47,1.00,0.09,0.0000,0.0016,   600,22.97,77.03,0.00,0.00,0.00,46,2137.36,666.55,2602.17,6.41,160.33,1.64,41.07,
2024-02-15,00:14:16.833,0.22,2.41,0.09,1.12,0.06,35.96,1.00,0.36,0.0000,0.0032, 15720,0.52,0.81,99,42,11329.38,4693.12,2597.18,4.83,120.70,0.44,10.91,0.04,1.52,0.03,1.22,0.02,4.35,1.00,0.40,0.0000,0.0020, 24160,0.78,0.01,98,38,2191.93,1439.46,2597.18,3.05,76.14,0.08,2.11,8.10,74.12,0.02,17.76,0.00,100.00,0.00,0.00,0.00,0.00,2.27,27.45,0.20,70.08,0.00,100.00,0.00,0.00,0.00,0.00,79.48,53.22,4.57 ,4.52 ,0.00 ,0.03 ,3.00,3.00,0.63,2.86,0.22,1.12,0.00,4.37,1.00,0.10,0.0000,0.0027,   800,19.69,80.31,0.00,0.00,0.00,46,1630.12,570.32,2597.18,5.72,142.91,1.26,31.38,
