System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-15,00:14:16.093,0.22,2.45,0.09,1.12,0.08,34.50,1.00,0.37,0.0000,0.0030, 15480,0.54,0.84,99,42,11571.70,4716.61,2600.68,4.91,122.67,0.44,11.12,0.04,1.54,0.03,1.22,0.04,4.41,0.99,0.41,0.0000,0.0020, 23880,0.81,0.01,98,36,2176.09,1413.37,2600.68,3.08,76.98,0.08,2.09,8.13,74.05,0.03,17.79,0.00,100.00,0.00,0.00,0.00,0.00,2.22,27.65,0.21,69.92,0.00,100.00,0.00,0.00,0.00,0.00,79.71,53.28,4.58 ,4.54 ,591347.08 ,593753.51 ,3.00,3.00,0.64,2.85,0.22,1.12,0.01,3.22,1.00,0.12,0.0000,0.0020,    80,19.96,80.04,0.00,0.00,0.00,47,1651.70,578.85,2600.68,5.71,142.67,1.27,31.76,
2024-02-15,00:14:17.094,0.22,2.37,0.09,1.12,0.08,36.06,1.00,0.37,0.0000,0.0032, 15720,0.51,0.79,99,41,11229.05,4730.42,2597.21,4.75,118.69,0.43,10.81,0.04,1.56,0.03,1.22,0.01,4.39,1.00,0.40,0.0000,0.0020, 24120,0.77,0.01,98,37,2189.37,1403.63,2597.21,3.12,77.99,0.08,2.11,8.16,74.04,0.02,17.78,0.00,100.00,0.00,0.00,0.00,0.00,2.21,27.47,0.19,70.13,0.00,100.00,0.00,0.00,0.00,0.00,79.45,53.21,4.55 ,4.52 ,0.03 ,0.10 ,3.00,3.00,0.61,2.75,0.22,1.12,0.00,3.41,1.00,0.12,0.0000,0.0022,   160,19.82,80.18,0.00,0.00,0.00,47,1578.30,574.14,2597.21,5.50,137.45,1.22,30.38,
