input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_drop,router_drop,ndpi_stat_drop,payload_scan_drop,bridge_drop,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
6731641.21142036,6687215.8244701,727940.8,6733454.4,6691824.2,6691580.6,6691821.8,6691818.4,0.0,0.0,0.0,0.0,0.0,2891418947.8,2847293997.0,2830652100.2,2857270422.8,2824668406.4
6423109.73874978,6425686.11978164,28101.2,6425721.4,6432440.2,6432453.0,6432454.8,6432351.2,0.0,0.0,0.0,0.0,0.0,2830699122.4,2891653475.4,2890247794.6,2862555280.4,2857443102.0
6326416.92660636,6332827.147492399,8755.8,6328692.2,6334728.6,6334710.4,6334726.2,6334741.6,0.0,0.0,0.0,0.0,0.0,2857605287.0,2891595962.2,2890106088.4,2892030324.0,2891495141.2
10158528.2072051,10001764.54557906,1150265.6,9954086.0,10002617.0,10002353.6,10002357.0,10002376.6,200173.0,0.0,0.0,0.0,0.0,2873851543.4,2891728359.2,2890287365.2,2891507669.2,2891763418.2
4337813.87687502,4340936.94584762,307716.6,4341456.0,4344344.4,4344351.0,4344371.8,4344359.2,0.0,0.0,0.0,0.0,0.0,2891234406.8,2887468343.6,2890198723.6,2890830088.2,2891467860.2
9202527.65685192,9265876.701141259,117879.4,9268987.4,9265231.2,9265251.4,9265243.0,9265239.8,0.0,0.0,0.0,0.0,0.0,2891556525.2,2891863467.6,2891269666.8,2891894730.6,2891863044.2
9772466.44367618,9828002.9074795,559731.8,9835200.4,9834098.4,9834107.8,9834103.4,9834120.6,0.0,0.0,0.0,0.0,0.0,2891288978.6,2891867896.0,2891158351.8,2891887570.8,2891894659.8
7244882.37774732,7231505.216243461,180418.6,7234260.6,7233575.6,7233539.8,7233526.0,7233529.6,0.0,0.0,0.0,0.0,0.0,2891777886.2,2861883001.8,2891094206.0,2891768878.2,2891895362.0
10240456.0621548,5704838.888669239,6228569.4,6177192.4,5785958.2,5789201.4,5785895.0,5785887.8,3810402.8,0.0,574313.2,0.0,0.0,2879458403.0,2892022945.4,1839590050.2,2304771165.8,2892022999.0
10322197.4216832,1645447.0902911602,15000000.0,10234200.6,1830105.2,9102596.8,1830169.2,1830201.2,39989.6,7275819.6,873459.8,0.0,0.0,2846696580.2,2892399145.6,2853152771.2,2856615208.0,321174351.6
3599745.48784324,1022249.6392243719,12001613.4,3159910.6,2636302.2,2636354.2,1125603.2,1122340.2,443291.6,0.0,0.0,1510746.2,0.0,2891275902.2,958105551.2,2360500397.4,2856707788.6,2891363553.6
8728004.90946972,1884966.9014527802,12007127.2,1766933.4,1911033.0,1911052.2,1893057.6,1893064.0,19403.0,0.0,0.0,17994.6,0.0,738445624.0,2892243603.6,2891670585.6,2892266555.4,2867985934.2
10266123.040218,1748677.6022698798,15000000.0,10231344.4,2856757.6,10216569.4,1941282.6,1938006.0,38409.6,7359949.8,0.0,918787.4,0.0,2891556831.4,2157916036.0,2890824583.8,2891639429.8,1089564300.2
2086638.76686688,714011.3023850201,15000000.0,681824.6,722273.6,722265.6,722255.6,722253.2,0.0,0.0,197843.2,0.0,0.0,319187166.2,2892384532.4,2890950738.6,2891910941.4,2892219092.4
9689653.944686819,1302301.60819826,12001850.2,9556591.8,1425241.4,7919635.0,1421977.4,1421977.4,21597.8,6494463.2,0.0,0.0,0.0,2891503956.4,2892370173.8,2734120493.2,2891725883.8,393350043.6
3810488.9433064,832709.656025454,15000000.0,3813047.2,891922.4,2494457.6,888645.4,888645.4,0.0,1605816.6,1319183.6,0.0,0.0,2891434808.4,2891874194.4,2889855313.6,2150658538.8,1065104488.4
10203525.911157,1339784.86763042,15000000.0,1276250.0,1339873.4,1339873.4,1339873.4,1339873.4,7869432.2,0.0,0.0,0.0,0.0,2891505974.8,2892231774.2,782653155.4,2892127317.4,2892489217.2
9780994.052606761,1637908.79044484,6359484.8,9784674.8,1782673.6,9657747.8,1782382.6,1782382.6,0.0,7875348.6,0.0,0.0,0.0,2891540092.8,2892109642.2,2890676338.6,2891275314.2,392326514.4
8332520.275509479,1390881.6710527001,12004505.0,8428333.2,1525261.0,2981861.0,1528544.0,1528544.0,0.0,1453393.2,5444434.0,0.0,0.0,2854026059.8,2892249214.6,2890716435.2,477351994.2,2778676442.4
6176610.833630361,1135622.95290542,15000000.0,1024550.2,1135739.8,1135739.8,1135739.8,1135739.8,0.0,0.0,0.0,0.0,0.0,287512452.6,2892369569.8,2891434658.4,2858361680.2,2855813174.4
10271878.1382016,1894750.2811417799,15000000.0,10121874.4,9344531.0,10108832.6,2198489.8,2195168.4,45095.6,764280.4,0.0,7149468.8,0.0,2891490594.6,411548854.4,2890928311.2,2891687022.8,2853988129.4
10199784.3498252,1106344.785928786,15000000.0,994537.4,1106366.0,1106366.0,1106366.0,1106366.0,9211698.0,0.0,0.0,0.0,0.0,2891719436.4,2892397096.6,258904313.4,2892266256.2,2892512279.2
7800627.1756237,1671794.8634585799,9249049.0,4112484.6,1683783.2,1687059.8,1683770.4,1683738.4,3687645.4,0.0,1177850.2,0.0,0.0,2891617824.0,2892447134.8,1331123510.4,2008599779.8,2892323198.8
5970136.76798434,1397594.086404488,15000000.0,1580473.4,1420691.2,1417414.6,1420691.2,1420691.2,5744.8,0.0,1082610.2,0.0,0.0,480516587.8,2892231618.0,2852861985.6,2742722903.6,2892267493.2
9507382.792686481,1742829.17002328,12130560.0,9388639.6,8348937.6,8352222.0,1946991.2,1946991.2,12823.2,0.0,675113.6,6402087.2,0.0,2891771185.4,1097943073.2,2890514760.6,2247400054.0,2891906379.6
10280524.723263599,1746901.9812119599,15000000.0,9811928.4,1975744.2,5877485.2,1972466.2,1971053.2,76633.6,3905011.2,3667539.8,0.0,1420.8,2891744108.2,2892398291.4,2874748592.2,1976700063.0,1268793385.2
7963108.51116726,1385442.8786275801,9243132.8,3664858.4,1435062.2,1431782.6,1435062.2,1435062.2,4141120.6,0.0,3385297.0,0.0,0.0,2497387751.2,2891833925.0,1363438135.4,1959953879.4,2891847578.4
9217463.093719061,1831896.50443578,9386806.6,3344789.4,1860624.0,1860656.8,1860676.8,1860692.8,61293.6,0.0,0.0,0.0,0.0,1256748499.0,2465490416.8,2890391558.0,2891785079.2,2892392777.2
10092289.672502602,1829515.9703132198,9173635.2,9733488.0,8715039.2,8718520.8,2078886.2,2082162.8,35558.4,0.0,1078894.2,6636492.2,0.0,2891460153.4,1281516637.2,2888764584.2,2333900015.8,2668462306.0
9772147.63743894,1200262.9720614399,15000000.0,9702470.2,9702359.8,9702411.0,1420994.6,1420991.4,0.0,0.0,0.0,8281563.6,0.0,2892166864.4,321361409.0,2889766612.2,2891438014.0,2891438897.0
8634254.25587652,1340719.51472216,15000000.0,8629931.0,8634992.0,8635043.2,1590630.0,1592767.6,0.0,0.0,0.0,7044496.4,0.0,2891592834.0,417485954.4,2890198509.6,2891266418.2,2891684688.4
10238558.782219399,1513356.57756284,12300055.8,3045283.8,1545579.4,3030225.4,1548862.4,1548868.8,7134469.8,1484690.0,0.0,0.0,0.0,2891298687.4,2891819090.2,851773186.4,2891429819.2,2495289020.6
2343468.03359502,546711.308387334,15000000.0,2345602.4,2346132.8,2346154.0,650220.0,651713.8,0.0,0.0,0.0,1695730.2,0.0,2891168418.2,321672771.4,2879962961.8,2888823689.2,2890585571.2
8533265.72824404,1528343.00023492,12079145.6,8455075.6,1676339.0,7915979.6,1675803.2,1675176.0,19763.6,6239730.0,0.0,0.0,0.0,2891514701.0,2604683542.2,2814851772.4,2881221833.2,360418840.6
9804195.88559354,1742722.4166710998,15000000.0,1755821.8,1741080.8,1741087.2,1741093.6,1741106.4,8054742.0,0.0,0.0,0.0,0.0,2891569858.0,1293923254.8,476870791.4,2891770010.0,2857273528.0
2670839.73129826,688431.4157307999,12394348.8,2398279.4,689257.4,2031720.0,685987.6,685987.6,0.0,1342469.2,0.0,0.0,0.0,2866764258.0,1524573420.8,2888531929.6,2841304200.4,797559446.4
4641325.181018961,1246615.29745536,15000000.0,1224246.4,1211609.2,1211593.6,1211580.0,1211566.4,59319.2,0.0,0.0,0.0,0.0,482077581.2,2891866680.6,2716292317.8,2891466086.2,2891815254.6
9112706.40251772,1529524.34270924,12032647.8,9106138.6,1697272.4,6820908.4,1700536.4,1700536.4,1066.4,5120443.0,2281577.8,0.0,0.0,2849606527.8,2854516209.4,2889830973.0,1685115724.6,1609447095.8
10101067.376575561,1829294.97997632,12052885.8,9035357.0,2084253.0,2081008.2,2084310.6,2084329.8,151723.8,0.0,6955348.0,0.0,0.0,2891584418.6,2892211450.0,2890386503.6,411908145.4,2880317602.8
