,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-11-01,19:37:32.497,    7.44,    5.84,   13.95,    8.46,,,,,   21.39,   14.30,     52454,   35.69,    1.32,    0.56,    4.58,    3.89,,,,,    5.91,    4.45,     52457,   10.36,     27.30,     18.74,     46.04
2023-11-01,19:37:33.497,    7.65,    6.01,   14.30,    8.71,,,,,   21.94,   14.72,     52407,   36.66,    4.02,    2.01,    7.27,    5.33,,,,,   11.29,    7.34,     52409,   18.63,     33.23,     22.06,     55.29
2023-11-01,19:37:34.497,   21.68,   11.66,   60.39,   31.69,,,,,   82.07,   43.35,     52493,  125.42,   27.47,   19.10,   32.02,   22.64,,,,,   59.49,   41.73,     52496,  101.23,    141.57,     85.08,    226.65
2023-11-01,19:37:35.497,    8.82,    6.29,   17.10,    9.46,,,,,   25.92,   15.74,     52411,   41.67,    3.96,    1.90,    7.24,    5.25,,,,,   11.20,    7.15,     52416,   18.35,     37.12,     22.89,     60.01
2023-11-01,19:37:36.497,    7.39,    5.66,   12.05,    6.87,,,,,   19.45,   12.53,     52407,   31.98,    1.42,    0.67,    4.66,    4.01,,,,,    6.08,    4.68,     52401,   10.76,     25.53,     17.21,     42.74
2023-11-01,19:37:37.496,    7.42,    5.74,   12.66,    7.21,,,,,   20.08,   12.94,     52461,   33.02,    1.35,    0.55,    4.62,    3.90,,,,,    5.97,    4.45,     52456,   10.43,     26.06,     17.39,     43.45
2023-11-01,19:37:38.497,    7.17,    5.57,   10.97,    6.21,,,,,   18.14,   11.78,     52455,   29.92,    1.15,    0.46,    4.41,    3.79,,,,,    5.56,    4.25,     52452,    9.81,     23.70,     16.02,     39.72
2023-11-01,19:37:39.497,    7.42,    5.58,   11.96,    6.59,,,,,   19.38,   12.17,     52410,   31.55,    1.54,    0.89,    4.81,    4.23,,,,,    6.35,    5.13,     52403,   11.47,     25.72,     17.30,     43.02
2023-11-01,19:37:40.497,    7.00,    5.51,   10.64,    6.05,,,,,   17.63,   11.56,     52462,   29.19,    1.29,    0.61,    4.55,    3.97,,,,,    5.83,    4.58,     52452,   10.41,     23.47,     16.14,     39.60
2023-11-01,19:37:41.497,    7.21,    5.60,   11.70,    6.66,,,,,   18.92,   12.26,     52402,   31.18,    2.06,    0.97,    5.33,    4.32,,,,,    7.39,    5.29,     52401,   12.68,     26.31,     17.55,     43.85
2023-11-01,19:37:42.497,    7.04,    5.46,   10.84,    6.10,,,,,   17.88,   11.55,     52456,   29.43,    1.38,    0.57,    4.64,    3.93,,,,,    6.02,    4.50,     52457,   10.52,     23.90,     16.05,     39.96
2023-11-01,19:37:43.497,    7.04,    5.45,   10.96,    6.17,,,,,   17.99,   11.62,     52406,   29.61,    1.51,    0.76,    4.77,    4.08,,,,,    6.28,    4.84,     52401,   11.12,     24.27,     16.46,     40.74
2023-11-01,19:37:44.498,   21.65,   12.80,   59.90,   32.30,,,,,   81.55,   45.10,     52481,  126.65,   25.90,   15.41,   30.74,   18.95,,,,,   56.63,   34.36,     52500,   90.99,    138.18,     79.46,    217.64
2023-11-01,19:37:45.498,    8.32,    5.68,   15.46,    8.04,,,,,   23.78,   13.73,     52430,   37.50,    2.70,    1.59,    5.97,    4.92,,,,,    8.67,    6.51,     52425,   15.18,     32.45,     20.23,     52.68
2023-11-01,19:37:46.498,    6.87,    5.23,   10.05,    5.34,,,,,   16.92,   10.57,     52401,   27.49,    2.14,    0.95,    5.40,    4.28,,,,,    7.54,    5.23,     52401,   12.77,     24.46,     15.79,     40.25
2023-11-01,19:37:47.498,    6.95,    5.27,   10.51,    5.66,,,,,   17.46,   10.94,     52459,   28.39,    1.56,    0.73,    4.82,    4.08,,,,,    6.38,    4.81,     52453,   11.19,     23.84,     15.75,     39.59
2023-11-01,19:37:48.498,    6.68,    5.15,    9.49,    5.06,,,,,   16.17,   10.21,     52402,   26.38,    1.36,    0.64,    4.63,    3.98,,,,,    5.99,    4.62,     52402,   10.60,     22.15,     14.83,     36.98
2023-11-01,19:37:49.499,    6.72,    5.13,    9.62,    5.15,,,,,   16.33,   10.28,     52456,   26.62,    1.31,    0.59,    4.57,    3.92,,,,,    5.88,    4.52,     52455,   10.40,     22.21,     14.80,     37.01
2023-11-01,19:37:50.498,    6.57,    4.99,    9.11,    4.78,,,,,   15.68,    9.77,     52402,   25.45,    1.32,    0.64,    4.58,    3.98,,,,,    5.90,    4.62,     52403,   10.53,     21.58,     14.40,     35.98
2023-11-01,19:37:51.499,    6.90,    5.18,   10.55,    5.63,,,,,   17.46,   10.81,     52462,   28.27,    1.49,    0.63,    4.75,    3.96,,,,,    6.24,    4.59,     52454,   10.82,     23.70,     15.40,     39.10
2023-11-01,19:37:52.498,    6.56,    5.13,    9.66,    5.27,,,,,   16.22,   10.40,     52400,   26.62,    1.71,    0.71,    4.96,    4.04,,,,,    6.67,    4.75,     52401,   11.42,     22.90,     15.14,     38.04
2023-11-01,19:37:53.499,    6.75,    5.04,   10.43,    5.64,,,,,   17.18,   10.68,     52459,   27.86,    1.43,    0.67,    4.69,    4.01,,,,,    6.13,    4.68,     52453,   10.80,     23.31,     15.36,     38.66
2023-11-01,19:37:54.499,   18.86,   10.37,   50.69,   26.39,,,,,   69.55,   36.76,     52437,  106.31,   22.65,   16.72,   26.59,   20.19,,,,,   49.24,   36.91,     52442,   86.15,    118.79,     73.67,    192.46
2023-11-01,19:37:55.500,    8.30,    5.58,   15.60,    8.04,,,,,   23.90,   13.62,     52459,   37.52,    4.59,    2.49,    7.87,    5.82,,,,,   12.46,    8.31,     52460,   20.77,     36.36,     21.93,     58.29
2023-11-01,19:37:56.499,    6.62,    5.04,    9.58,    5.08,,,,,   16.20,   10.12,     52402,   26.31,    1.47,    0.79,    4.72,    4.10,,,,,    6.19,    4.89,     52401,   11.08,     22.38,     15.01,     37.39
2023-11-01,19:37:57.500,    6.79,    5.16,   10.11,    5.41,,,,,   16.90,   10.57,     52457,   27.47,    1.79,    0.83,    5.05,    4.17,,,,,    6.84,    5.00,     52452,   11.84,     23.74,     15.58,     39.31
2023-11-01,19:37:58.499,    6.65,    5.05,    9.46,    5.00,,,,,   16.11,   10.05,     52402,   26.16,    1.73,    0.94,    4.99,    4.28,,,,,    6.71,    5.22,     52402,   11.93,     22.82,     15.26,     38.09
2023-11-01,19:37:59.500,    6.78,    5.17,    9.91,    5.28,,,,,   16.69,   10.45,     52462,   27.14,    1.46,    0.63,    4.71,    3.96,,,,,    6.17,    4.59,     52456,   10.76,     22.86,     15.03,     37.90
2023-11-01,19:38:00.500,    6.69,    5.32,    9.26,    5.11,,,,,   15.95,   10.43,     52408,   26.38,    9.64,    4.76,   12.93,    8.15,,,,,   22.57,   12.91,     52414,   35.48,     38.52,     23.34,     61.86
2023-11-01,19:38:01.500,    7.14,    5.09,   10.90,    5.61,,,,,   18.05,   10.69,     52455,   28.74,    2.40,    0.70,    5.65,    4.04,,,,,    8.05,    4.74,     52455,   12.79,     26.10,     15.43,     41.53
2023-11-01,19:38:02.500,    6.78,    4.96,    9.65,    4.91,,,,,   16.43,    9.88,     52401,   26.30,    1.48,    0.63,    4.74,    3.97,,,,,    6.22,    4.60,     52401,   10.82,     22.65,     14.47,     37.12
2023-11-01,19:38:03.501,    6.80,    5.08,    9.82,    5.13,,,,,   16.62,   10.21,     52455,   26.83,    2.20,    0.81,    5.48,    4.16,,,,,    7.68,    4.97,     52454,   12.65,     24.30,     15.18,     39.48
2023-11-01,19:38:04.500,    6.52,    5.08,    8.61,    4.55,,,,,   15.13,    9.63,     52402,   24.77,    1.29,    0.55,    4.56,    3.89,,,,,    5.85,    4.44,     52401,   10.29,     20.99,     14.07,     35.06
2023-11-01,19:38:05.500,   22.09,   11.59,   62.48,   32.01,,,,,   84.57,   43.60,     52482,  128.17,   26.95,   17.27,   29.04,   20.38,,,,,   55.99,   37.65,     52494,   93.64,    140.56,     81.25,    221.81
2023-11-01,19:38:06.500,    6.93,    4.84,   11.40,    5.86,,,,,   18.32,   10.70,     52408,   29.02,    2.25,    1.23,    5.52,    4.57,,,,,    7.77,    5.79,     52403,   13.56,     26.09,     16.49,     42.58
2023-11-01,19:38:07.500,    6.60,    4.74,   10.76,    5.61,,,,,   17.36,   10.36,     52459,   27.72,    1.94,    0.85,    5.22,    4.21,,,,,    7.16,    5.07,     52455,   12.23,     24.52,     15.42,     39.94
2023-11-01,19:38:08.500,    5.97,    4.48,    8.38,    4.35,,,,,   14.35,    8.84,     52403,   23.19,    1.60,    0.70,    4.88,    4.04,,,,,    6.48,    4.74,     52406,   11.21,     20.83,     13.57,     34.40
2023-11-01,19:38:09.501,    6.24,    4.46,    9.55,    4.89,,,,,   15.80,    9.35,     52457,   25.15,    1.87,    0.79,    5.17,    4.14,,,,,    7.03,    4.93,     52454,   11.96,     22.83,     14.28,     37.11
2023-11-01,19:38:10.501,    5.83,    4.36,    8.02,    4.11,,,,,   13.85,    8.47,     52457,   22.32,    1.15,    0.51,    4.42,    3.85,,,,,    5.57,    4.36,     52455,    9.93,     19.43,     12.83,     32.25
2023-11-01,19:38:11.501,    6.42,    4.69,   10.30,    5.38,,,,,   16.72,   10.07,     52406,   26.79,    1.58,    0.56,    4.88,    3.91,,,,,    6.46,    4.48,     52400,   10.93,     23.18,     14.55,     37.73
2023-11-01,19:38:12.502,    5.92,    4.41,    8.18,    4.18,,,,,   14.10,    8.59,     52461,   22.69,    1.19,    0.52,    4.48,    3.87,,,,,    5.67,    4.38,     52454,   10.05,     19.77,     12.97,     32.74
2023-11-01,19:38:13.501,    6.15,    4.37,    9.12,    4.55,,,,,   15.27,    8.91,     52404,   24.18,    1.44,    0.84,    4.73,    4.18,,,,,    6.18,    5.03,     52401,   11.20,     21.44,     13.94,     35.39
2023-11-01,19:38:14.502,    5.84,    4.42,    8.05,    4.18,,,,,   13.89,    8.60,     52462,   22.49,    1.57,    0.67,    4.87,    4.02,,,,,    6.44,    4.70,     52454,   11.14,     20.33,     13.30,     33.63
2023-11-01,19:38:15.502,   20.52,   10.67,   56.93,   29.26,,,,,   77.45,   39.94,     52431,  117.38,   28.58,   17.85,   30.14,   20.91,,,,,   58.72,   38.77,     52429,   97.49,    136.17,     78.70,    214.87
2023-11-01,19:38:16.502,    6.11,    4.38,    9.73,    4.89,,,,,   15.84,    9.28,     52460,   25.11,    1.91,    1.02,    5.21,    4.37,,,,,    7.13,    5.40,     52457,   12.52,     22.96,     14.67,     37.64
2023-11-01,19:38:17.502,    6.34,    4.52,   10.74,    5.53,,,,,   17.07,   10.05,     52408,   27.12,    1.48,    0.65,    4.77,    4.00,,,,,    6.25,    4.65,     52403,   10.90,     23.32,     14.71,     38.02
2023-11-01,19:38:18.503,    5.68,    4.21,    8.03,    4.08,,,,,   13.71,    8.29,     52455,   21.99,    1.22,    0.56,    4.52,    3.91,,,,,    5.74,    4.47,     52456,   10.21,     19.44,     12.76,     32.20
2023-11-01,19:38:19.502,    5.82,    4.23,    8.66,    4.38,,,,,   14.49,    8.61,     52405,   23.10,    1.33,    0.60,    4.62,    3.96,,,,,    5.95,    4.56,     52400,   10.51,     20.44,     13.17,     33.61
2023-11-01,19:38:20.503,    5.83,    4.33,    8.59,    4.41,,,,,   14.42,    8.74,     52459,   23.16,    2.01,    0.93,    5.31,    4.29,,,,,    7.32,    5.22,     52456,   12.55,     21.74,     13.97,     35.71
2023-11-01,19:38:21.502,    6.06,    4.35,    9.74,    5.05,,,,,   15.80,    9.40,     52407,   25.20,    1.37,    0.68,    4.65,    4.06,,,,,    6.01,    4.74,     52400,   10.76,     21.82,     14.14,     35.96
2023-11-01,19:38:22.503,    5.71,    4.18,    8.17,    4.17,,,,,   13.88,    8.35,     52460,   22.23,    1.18,    0.63,    4.46,    3.99,,,,,    5.63,    4.62,     52454,   10.25,     19.51,     12.97,     32.48
2023-11-01,19:38:23.503,    5.93,    4.16,    9.02,    4.52,,,,,   14.95,    8.68,     52408,   23.63,    1.44,    0.78,    4.73,    4.11,,,,,    6.17,    4.89,     52403,   11.06,     21.12,     13.57,     34.69
2023-11-01,19:38:24.503,    5.96,    4.22,    9.17,    4.62,,,,,   15.12,    8.83,     52456,   23.96,    1.51,    0.85,    4.80,    4.18,,,,,    6.32,    5.02,     52454,   11.34,     21.44,     13.86,     35.30
2023-11-01,19:38:25.503,   20.59,   10.67,   59.49,   30.60,,,,,   80.08,   41.28,     52434,  121.36,   26.36,   17.41,   31.08,   20.97,,,,,   57.45,   38.38,     52433,   95.83,    137.53,     79.66,    217.18
2023-11-01,19:38:26.504,    6.48,    4.43,   11.55,    5.92,,,,,   18.03,   10.35,     52459,   28.38,    2.76,    1.35,    6.05,    4.72,,,,,    8.80,    6.07,     52456,   14.87,     26.83,     16.42,     43.26
2023-11-01,19:38:27.503,    7.39,    4.88,   15.06,    7.79,,,,,   22.45,   12.67,     52413,   35.12,    2.67,    1.36,    5.97,    4.73,,,,,    8.65,    6.09,     52406,   14.74,     31.10,     18.76,     49.86
2023-11-01,19:38:28.504,    5.73,    4.07,    8.27,    4.12,,,,,   13.99,    8.20,     52457,   22.19,    1.59,    0.88,    4.88,    4.21,,,,,    6.47,    5.09,     52455,   11.56,     20.46,     13.28,     33.75
2023-11-01,19:38:29.504,    6.58,    4.49,   10.82,    5.42,,,,,   17.39,    9.91,     52405,   27.30,    2.16,    1.15,    5.46,    4.50,,,,,    7.62,    5.66,     52401,   13.28,     25.02,     15.56,     40.58
2023-11-01,19:38:30.504,    5.68,    4.07,    7.61,    3.65,,,,,   13.29,    7.72,     52459,   21.01,    1.27,    0.54,    4.56,    3.89,,,,,    5.84,    4.43,     52453,   10.27,     19.12,     12.15,     31.27
2023-11-01,19:38:31.504,    6.30,    4.31,    9.79,    4.85,,,,,   16.10,    9.16,     52404,   25.26,    2.63,    1.38,    5.95,    4.74,,,,,    8.59,    6.12,     52403,   14.70,     24.69,     15.27,     39.96
2023-11-01,19:38:32.505,    5.68,    4.09,    7.78,    3.75,,,,,   13.46,    7.84,     52457,   21.30,    1.47,    0.67,    4.76,    4.00,,,,,    6.22,    4.67,     52453,   10.89,     19.69,     12.51,     32.19
2023-11-01,19:38:33.504,    5.86,    4.09,    8.33,    3.99,,,,,   14.19,    8.08,     52402,   22.27,    1.38,    0.69,    4.67,    4.04,,,,,    6.05,    4.73,     52402,   10.78,     20.23,     12.81,     33.04
2023-11-01,19:38:34.505,    5.56,    4.01,    7.19,    3.42,,,,,   12.75,    7.43,     52457,   20.18,    1.16,    0.54,    4.45,    3.88,,,,,    5.61,    4.41,     52455,   10.03,     18.36,     11.85,     30.21
2023-11-01,19:38:35.505,   20.46,   11.22,   57.26,   29.85,,,,,   77.71,   41.07,     52421,  118.78,   26.24,   17.31,   29.99,   20.67,,,,,   56.24,   37.99,     52438,   94.22,    133.95,     79.06,    213.01
2023-11-01,19:38:36.505,    6.58,    4.43,   11.46,    5.79,,,,,   18.04,   10.22,     52459,   28.26,    4.57,    2.08,    7.86,    5.44,,,,,   12.43,    7.52,     52467,   19.95,     30.47,     17.74,     48.22
2023-11-01,19:38:37.505,    6.55,    4.39,   11.89,    5.99,,,,,   18.44,   10.38,     52405,   28.82,    1.91,    1.05,    5.17,    4.39,,,,,    7.08,    5.44,     52403,   12.52,     25.52,     15.82,     41.34
2023-11-01,19:38:38.506,    6.60,    4.30,   11.42,    5.62,,,,,   18.02,    9.92,     52456,   27.94,    2.53,    1.61,    5.82,    4.94,,,,,    8.35,    6.54,     52458,   14.89,     26.37,     16.46,     42.83
2023-11-01,19:38:39.505,    5.96,    4.15,    9.43,    4.75,,,,,   15.39,    8.90,     52404,   24.29,    1.53,    0.67,    4.80,    3.99,,,,,    6.33,    4.67,     52402,   11.00,     21.72,     13.56,     35.28
2023-11-01,19:38:40.506,    5.69,    4.00,    8.15,    4.04,,,,,   13.84,    8.04,     52458,   21.89,    1.25,    0.63,    4.54,    3.98,,,,,    5.78,    4.61,     52453,   10.40,     19.63,     12.66,     32.28
2023-11-01,19:38:41.506,    5.86,    4.05,    9.12,    4.53,,,,,   14.98,    8.58,     52405,   23.56,    1.38,    0.66,    4.67,    3.99,,,,,    6.05,    4.66,     52403,   10.71,     21.03,     13.23,     34.27
2023-11-01,19:38:42.506,    5.48,    3.97,    7.79,    3.90,,,,,   13.28,    7.87,     52456,   21.15,    1.68,    0.72,    4.97,    4.08,,,,,    6.64,    4.80,     52454,   11.45,     19.92,     12.68,     32.60
2023-11-01,19:38:43.506,    5.92,    3.96,    9.52,    4.61,,,,,   15.43,    8.57,     52403,   24.01,    1.54,    0.85,    4.84,    4.18,,,,,    6.39,    5.03,     52402,   11.42,     21.82,     13.61,     35.42
2023-11-01,19:38:44.507,    5.64,    3.99,    8.38,    4.20,,,,,   14.02,    8.19,     52457,   22.21,    1.49,    0.63,    4.79,    3.97,,,,,    6.28,    4.59,     52453,   10.87,     20.30,     12.78,     33.08
2023-11-01,19:38:45.507,    6.31,    4.02,   10.93,    5.20,,,,,   17.24,    9.22,     52412,   26.46,    1.74,    0.94,    5.04,    4.26,,,,,    6.78,    5.20,     52444,   11.98,     24.01,     14.42,     38.43
2023-11-01,19:38:46.507,   19.60,   10.52,   55.13,   28.83,,,,,   74.73,   39.36,     52461,  114.09,   24.90,   15.98,   27.34,   19.09,,,,,   52.23,   35.07,     52422,   87.30,    126.96,     74.42,    201.39
2023-11-01,19:38:47.506,    6.63,    4.52,   12.21,    6.29,,,,,   18.85,   10.81,     52413,   29.66,    2.87,    1.35,    6.15,    4.70,,,,,    9.02,    6.05,     52405,   15.07,     27.87,     16.86,     44.72
2023-11-01,19:38:48.507,    5.91,    4.11,    8.95,    4.45,,,,,   14.86,    8.56,     52453,   23.43,    1.96,    1.05,    5.26,    4.38,,,,,    7.23,    5.43,     52451,   12.65,     22.09,     13.99,     36.08
2023-11-01,19:38:49.508,    5.92,    4.14,    9.40,    4.68,,,,,   15.32,    8.82,     52457,   24.14,    1.67,    0.71,    4.95,    4.05,,,,,    6.62,    4.77,     52456,   11.38,     21.94,     13.59,     35.53
2023-11-01,19:38:50.507,    5.66,    4.01,    8.47,    4.15,,,,,   14.13,    8.15,     52402,   22.28,    1.33,    0.69,    4.61,    4.03,,,,,    5.94,    4.72,     52401,   10.66,     20.07,     12.87,     32.94
2023-11-01,19:38:51.508,    5.86,    4.06,    9.38,    4.71,,,,,   15.24,    8.77,     52461,   24.01,    1.52,    0.75,    4.82,    4.09,,,,,    6.34,    4.84,     52454,   11.18,     21.58,     13.61,     35.19
2023-11-01,19:38:52.508,    5.44,    3.97,    7.53,    3.75,,,,,   12.97,    7.72,     52406,   20.69,    1.11,    0.55,    4.40,    3.89,,,,,    5.51,    4.44,     52403,    9.95,     18.48,     12.15,     30.64
2023-11-01,19:38:53.508,    5.80,    4.00,    8.79,    4.29,,,,,   14.59,    8.30,     52455,   22.89,    1.91,    0.96,    5.20,    4.29,,,,,    7.12,    5.25,     52454,   12.37,     21.71,     13.55,     35.26
2023-11-01,19:38:54.508,    5.50,    3.92,    7.71,    3.75,,,,,   13.20,    7.67,     52402,   20.88,    1.21,    0.65,    4.50,    3.99,,,,,    5.71,    4.64,     52401,   10.35,     18.91,     12.32,     31.23
2023-11-01,19:38:55.509,    5.68,    4.04,    8.37,    4.17,,,,,   14.05,    8.21,     52458,   22.26,    1.24,    0.59,    4.55,    3.93,,,,,    5.79,    4.51,     52454,   10.31,     19.84,     12.73,     32.57
2023-11-01,19:38:56.508,   18.56,   10.02,   50.50,   26.41,,,,,   69.06,   36.43,     52416,  105.50,   23.95,   17.46,   26.24,   20.59,,,,,   50.19,   38.05,     52439,   88.24,    119.26,     74.48,    193.74
2023-11-01,19:38:57.509,    6.21,    4.34,   10.07,    5.09,,,,,   16.28,    9.43,     52464,   25.71,    1.97,    1.24,    5.28,    4.57,,,,,    7.26,    5.81,     52458,   13.07,     23.54,     15.23,     38.77
2023-11-01,19:38:58.509,    5.55,    4.00,    7.44,    3.60,,,,,   12.99,    7.61,     52403,   20.60,    1.56,    0.79,    4.86,    4.14,,,,,    6.42,    4.93,     52399,   11.34,     19.41,     12.53,     31.94
2023-11-01,19:38:59.509,    5.89,    4.21,    8.96,    4.44,,,,,   14.85,    8.65,     52455,   23.50,    2.10,    1.06,    5.38,    4.42,,,,,    7.47,    5.48,     52453,   12.95,     22.33,     14.12,     36.45
2023-11-01,19:39:00.509,    5.50,    3.95,    7.36,    3.52,,,,,   12.86,    7.47,     52402,   20.33,    1.47,    0.66,    4.77,    3.99,,,,,    6.24,    4.65,     52400,   10.89,     19.10,     12.12,     31.21
2023-11-01,19:39:01.509,    5.82,    4.12,    8.64,    4.24,,,,,   14.46,    8.36,     52465,   22.82,    1.43,    0.67,    4.72,    4.00,,,,,    6.15,    4.68,     52454,   10.82,     20.60,     13.04,     33.64
