skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
14032788,4252808,1481424,138860358,9533818,140,714476,672,774270,43050,713104,4671282,140,745850,14032116,3478538,1438374,138147254,4862536,0,0,12414262,145334,4450950,12008808,0,33530,190862,7893032,0,2716,134344,0,32466,194572,4521230,145334,4448234,11874464,0,1064,0
14081452,4254530,1617322,117934306,9525208,140,480942,1050,752822,58338,1459724,6757422,0,464618,14080402,3501708,1558984,116474582,2767786,140,16324,12453014,146216,4489562,11737348,0,33782,190274,7923216,0,3570,595154,0,32732,194684,4529798,146216,4485992,11142194,0,1050,0
13531504,3328682,1805902,125086388,9675708,140,513058,7742,1282260,52318,2793406,7176722,0,433034,13523762,2046422,1753584,122292982,2498986,140,80024,12442500,147742,4328226,12261144,0,33166,190540,7724794,0,2674,143402,0,32788,195972,4717706,147742,4325552,12117742,0,378,0
13698188,3526446,1747326,121073512,9606604,140,475524,11648,1423184,73052,1924398,6990312,0,411726,13686540,2103262,1674274,119149114,2616292,140,63798,12590592,145782,4321268,11453792,0,33390,190722,7556892,0,2282,163618,0,33054,195762,5033700,145782,4318986,11290174,0,336,0
13214054,3557330,2182222,138275102,9560936,140,185486,17052,1487808,31626,2271290,7382550,0,231196,13197002,2069522,2150596,136003812,2178386,140,0,12688858,145138,4990860,11818142,0,33180,187866,7295540,0,2324,205744,0,32928,192332,5393318,145138,4988536,11612398,0,252,0
13277572,3501540,2518278,110561836,9524018,0,486556,266826,1483174,119238,1789998,7261618,140,378882,13010746,2018366,2399040,108771838,2262400,0,107674,12671946,144116,5136474,11098192,0,33726,193060,8081388,0,3150,313712,0,32942,188720,4590558,144116,5133324,10784480,0,784,4340
13812484,3511088,2328284,113011318,9550156,14,509684,129850,1514324,22820,2425248,7305648,140,351890,13682634,1996764,2305464,110586070,2244508,0,157794,12673276,145726,5106808,11203584,0,32956,194894,7603918,0,0,431312,0,33488,189532,5069358,145726,5106808,10772272,0,0,5362
13771086,3543120,2377872,118038760,9624244,14,510286,34258,1545138,16968,2235002,6905878,140,494214,13736828,1997982,2360904,115803758,2718366,0,16072,12679548,146188,5052908,11289012,0,32942,193774,7544026,0,0,44660,0,33278,190078,5135522,146188,5052908,11244352,0,0,3696
13559000,4133976,2482452,132925870,9517102,14,573930,15372,1474858,17164,509054,5073810,140,690354,13543628,2659118,2465288,132416816,4443292,0,0,12539422,146692,5192894,14784154,0,32816,200676,7398902,0,434,448840,0,33236,190904,5140520,146692,5192460,14335314,0,0,9772
14254660,3939194,2454774,135233798,9544206,14,685440,50946,1248128,23646,530950,4785284,140,745542,14203714,2691066,2431128,134702848,4758922,0,0,12504604,146566,5151622,11353230,0,33040,191044,7627872,0,266,308560,0,33488,189686,4876732,146566,5151356,11044670,0,0,1358
14160230,4295900,2195732,137431630,9529408,14,705166,1106,1007888,33992,577822,4621918,140,760046,14159124,3288012,2161740,136853808,4907490,0,0,12527998,147546,5307022,11417154,0,33124,188930,7697606,0,1596,30492,0,33236,190148,4830392,147546,5305426,11386662,0,0,0
14180026,4305056,1737470,139279896,9530864,0,691208,588,890708,42000,598290,4636604,140,752248,14179438,3414348,1695470,138681606,4894260,0,0,12540136,147952,4569166,11286632,0,32928,190456,7988176,0,882,62622,0,33110,189602,4551960,147952,4568284,11224010,0,0,854
14185514,4310558,1518048,139177822,9521918,140,725410,630,843934,41874,591416,4645746,322,783202,14184884,3466624,1476174,138586406,4876172,0,0,12552596,148106,4525696,11452854,0,32564,190722,7695478,0,2632,54810,0,32984,192500,4857118,148106,4523064,11398044,0,0,0
14189056,4329262,1612996,139236846,9530892,140,712782,686,811370,82824,637014,4623220,140,782320,14188370,3517892,1530172,138599832,4907672,0,0,12532618,147896,4588612,11411190,0,32634,188930,7563626,0,2520,39326,0,33110,193788,4968992,147896,4586092,11371864,0,0,0
14191072,4321114,1531880,139699672,9529338,140,700532,714,792442,49042,600670,4587492,112,760802,14190358,3528672,1482838,139099002,4941846,28,0,12540164,148568,4577370,11772964,0,28924,169050,7464800,0,2282,70476,0,29904,172158,5075364,148568,4575088,11702488,0,0,0
12332754,3668742,1579312,131012294,8388184,140,684572,12474,896224,63532,641662,4264708,0,749322,12320280,2772518,1515780,130370632,4123476,140,0,11105542,131180,4397638,10730482,0,28952,168084,6755336,0,6524,146062,0,29736,171780,4350206,131180,4391114,10584420,0,0,0
12627664,4012344,1609244,130951940,8392146,140,695100,616,772534,43358,633976,4175346,14,747334,12627048,3239810,1565886,130317964,4216800,126,0,11048800,131586,4736102,10737454,14,29106,167692,6962186,0,2590,44506,0,29092,170618,4086614,131586,4733512,10692948,14,14,0
12695970,4016810,1575308,132231932,8379126,140,715568,644,739970,88186,662354,4205502,14,749028,12695326,3276840,1487122,131569578,4173624,126,0,11099116,131936,4417196,10732148,14,28938,168672,6820296,0,2492,36456,0,29442,171962,4278820,131936,4414704,10695692,14,0,0
12768112,3975664,1646316,130307128,8389276,140,707938,616,715274,39928,660352,4197298,14,750400,12767496,3260390,1606388,129646776,4191978,126,0,11150664,130746,4720534,10974446,14,28994,170436,6648250,0,2478,64134,0,29274,171276,4502414,130746,4718056,10910312,14,0,0
12750430,4010776,1508570,129465840,8383144,140,716478,1610,716618,83482,663880,4231262,14,753914,12748820,3294158,1425088,128801960,4151882,126,0,11155872,131936,4678016,11610214,14,29036,170282,6679596,0,10920,42308,0,29162,172242,4476276,131936,4667096,11567906,14,0,0
12768364,4010440,1630160,130450712,8396178,140,740922,1106,710542,45920,685818,4216044,14,748776,12767258,3299898,1584240,129764894,4180134,126,0,11164664,131362,4688236,10906476,14,28854,172312,6586972,0,3528,95382,0,29260,171430,4577692,131362,4684708,10811094,14,0,882
12758802,4011014,1779316,129947412,8385930,140,752346,1400,709366,79394,648158,4229806,0,745164,12757402,3301648,1699922,129299254,4156124,140,7182,11148914,131292,4405142,10825878,14,29022,172074,6566658,0,2492,61334,0,29078,169932,4582256,131292,4402650,10764544,14,0,2142
12742688,3996874,1658902,128758294,8392160,322,763574,1666,696724,43540,667478,4231122,1834,736470,12741022,3300150,1615362,128090816,4161038,0,27104,11135432,132118,4560192,10903032,14,28910,173544,6592054,0,6748,159572,0,28910,169442,4543378,132118,4553444,10743460,14,0,4102
