,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-09-18,11:58:36.130,   44.99,  482.94,  183.02,  551.05,,,,,  228.01, 1033.99,    105326, 1262.00,  412.02,    4.79,  408.17,    1.39,,,,,  820.19,    6.18,     54474,  826.37,   1048.20,   1040.17,   2088.37
2023-09-18,11:58:37.130,   42.50,  482.50,  173.64,  546.99,,,,,  216.14, 1029.49,    105245, 1245.63,  407.93,    4.93,  403.02,    1.53,,,,,  810.95,    6.45,     54558,  817.41,   1027.09,   1035.94,   2063.04
2023-09-18,11:58:38.131,   43.53,  475.19,  177.06,  540.91,,,,,  220.59, 1016.10,    105421, 1236.69,  409.92,    5.42,  405.30,    2.00,,,,,  815.22,    7.42,     54325,  822.63,   1035.81,   1023.52,   2059.32
2023-09-18,11:58:39.131,   59.96,  500.36,  245.94,  591.47,,,,,  305.90, 1091.83,    105429, 1397.73,  448.42,    4.45,  442.12,    1.04,,,,,  890.54,    5.49,     54793,  896.03,   1196.44,   1097.32,   2293.76
2023-09-18,11:58:40.130,   86.32,  543.09,  359.19,  678.56,,,,,  445.51, 1221.65,    105434, 1667.16,  480.34,    7.71,  475.60,    4.33,,,,,  955.94,   12.04,     54817,  967.98,   1401.45,   1233.69,   2635.15
2023-09-18,11:58:41.130,   71.44,  568.42,  315.91,  689.20,,,,,  387.35, 1257.62,    105425, 1644.97,  470.63,    4.57,  464.90,    1.19,,,,,  935.53,    5.76,     54866,  941.29,   1322.88,   1263.38,   2586.26
2023-09-18,11:58:42.130,   76.11,  566.63,  336.10,  694.79,,,,,  412.21, 1261.41,    105288, 1673.62,  457.97,    4.56,  452.99,    1.18,,,,,  910.96,    5.74,     54586,  916.70,   1323.17,   1267.15,   2590.32
2023-09-18,11:58:43.131,   80.98,  550.12,  346.81,  681.21,,,,,  427.79, 1231.33,    105554, 1659.11,  491.93,   20.76,  486.60,   17.40,,,,,  978.53,   38.16,     54876, 1016.69,   1406.32,   1269.48,   2675.80
2023-09-18,11:58:44.131,   75.82,  567.62,  330.58,  693.83,,,,,  406.40, 1261.45,    105365, 1667.85,  509.66,    7.01,  506.24,    3.65,,,,, 1015.90,   10.66,     54833, 1026.56,   1422.29,   1272.11,   2694.41
2023-09-18,11:58:45.131,   67.72,  566.32,  302.64,  682.14,,,,,  370.36, 1248.46,    105252, 1618.82,  481.59,    4.73,  475.06,    1.36,,,,,  956.65,    6.09,     54848,  962.74,   1327.01,   1254.55,   2581.56
2023-09-18,11:58:46.131,   73.87,  564.71,  326.01,  689.10,,,,,  399.88, 1253.81,    105373, 1653.68,  469.41,    5.06,  462.28,    1.68,,,,,  931.69,    6.74,     54779,  938.43,   1331.56,   1260.55,   2592.11
2023-09-18,11:58:47.131,   73.26,  564.00,  324.70,  687.81,,,,,  397.96, 1251.81,    105309, 1649.77,  457.17,    4.39,  449.48,    1.00,,,,,  906.64,    5.39,     54851,  912.04,   1304.60,   1257.20,   2561.80
2023-09-18,11:58:48.132,   60.99,  564.23,  272.74,  668.83,,,,,  333.73, 1233.06,    105299, 1566.79,  450.98,    4.62,  444.06,    1.22,,,,,  895.05,    5.85,     54903,  900.90,   1228.78,   1238.91,   2467.69
2023-09-18,11:58:49.131,   15.21,  395.72,   69.65,  423.13,,,,,   84.86,  818.85,    104888,  903.71,  318.06,    4.43,  312.06,    1.05,,,,,  630.12,    5.47,     53807,  635.59,    714.98,    824.32,   1539.30
2023-09-18,11:58:50.132,   57.70,  525.19,  222.28,  612.69,,,,,  279.98, 1137.89,    105204, 1417.87,  319.58,   10.16,  314.43,    6.73,,,,,  634.01,   16.89,     53948,  650.90,    913.99,   1154.78,   2068.77
2023-09-18,11:58:51.133,  164.24,  402.82,  612.60,  619.40,,,,,  776.84, 1022.22,    106472, 1799.06,  320.12,    5.44,  314.94,    2.02,,,,,  635.06,    7.46,     53939,  642.53,   1411.91,   1029.68,   2441.59
2023-09-18,11:58:52.133,  168.46,  376.34,  620.49,  594.98,,,,,  788.95,  971.32,    106664, 1760.27,  314.45,    4.97,  309.75,    1.57,,,,,  624.20,    6.54,     54102,  630.74,   1413.15,    977.86,   2391.01
2023-09-18,11:58:53.136,  167.63,  377.44,  619.41,  595.81,,,,,  787.04,  973.25,    106793, 1760.29,  307.07,    4.74,  303.67,    1.33,,,,,  610.74,    6.07,     53915,  616.81,   1397.78,    979.33,   2377.10
2023-09-18,11:58:54.133,  174.04,  314.97,  629.56,  535.90,,,,,  803.60,  850.87,    106632, 1654.48,  360.68,   17.23,  354.83,   13.55,,,,,  715.51,   30.78,     54365,  746.28,   1519.11,    881.65,   2400.76
2023-09-18,11:58:55.133,  167.98,  377.95,  619.65,  596.41,,,,,  787.63,  974.36,    106639, 1761.99,  328.74,    4.95,  325.02,    1.56,,,,,  653.76,    6.51,     53916,  660.27,   1441.39,    980.87,   2422.26
2023-09-18,11:58:56.134,  168.14,  374.98,  620.10,  593.47,,,,,  788.25,  968.45,    106690, 1756.69,  318.10,    4.60,  312.73,    1.20,,,,,  630.83,    5.80,     54080,  636.64,   1419.08,    974.25,   2393.33
