SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Ch2Read,SKT1-Ch2Write,SKT1-Ch3Read,SKT1-Ch3Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  119.06,  144.70,  461.07,  319.68,,,,,  580.12,  464.39,2134453714, 1044.51,  153.66,    3.55,  158.35,    6.85,,,,,  312.01,   10.40,2134456613,  322.41,    892.14,    474.78,   1366.92
  117.99,  144.03,  457.70,  318.30,,,,,  575.70,  462.33,2132354505, 1038.03,  154.90,    2.53,  159.88,    5.82,,,,,  314.78,    8.35,2132410116,  323.13,    890.48,    470.68,   1361.16
  117.76,  143.70,  456.77,  317.60,,,,,  574.52,  461.30,2134498154, 1035.82,  152.42,    2.14,  157.00,    5.44,,,,,  309.42,    7.58,2134576144,  317.00,    883.94,    468.88,   1352.82
  118.09,  143.66,  458.11,  318.05,,,,,  576.21,  461.72,2132487712, 1037.92,  150.07,    1.72,  154.39,    5.01,,,,,  304.46,    6.74,2132427445,  311.20,    880.67,    468.45,   1349.12
  117.77,  143.68,  457.22,  317.57,,,,,  574.99,  461.25,2132561709, 1036.24,  147.01,    1.62,  151.00,    4.91,,,,,  298.01,    6.52,2132562950,  304.53,    873.00,    467.77,   1340.77
  117.65,  143.04,  457.42,  317.42,,,,,  575.07,  460.46,2134488136, 1035.53,  145.24,    1.58,  149.55,    4.88,,,,,  294.79,    6.46,2134405756,  301.25,    869.86,    466.92,   1336.79
  118.36,  143.27,  459.49,  318.05,,,,,  577.86,  461.32,2132599858, 1039.18,  146.12,    2.08,  150.79,    5.37,,,,,  296.90,    7.46,2132644940,  304.36,    874.76,    468.78,   1343.54
  143.89,  178.94,  532.52,  374.45,,,,,  676.41,  553.39,2132626925, 1229.81,  169.27,    9.54,  173.19,   12.87,,,,,  342.45,   22.40,2132628978,  364.86,   1018.87,    575.79,   1594.66
  116.18,  145.39,  450.24,  317.04,,,,,  566.42,  462.42,2134574889, 1028.84,  160.57,    2.98,  164.15,    6.30,,,,,  324.71,    9.28,2135023773,  334.00,    891.14,    471.70,   1362.84
  115.88,  143.88,  449.18,  315.11,,,,,  565.05,  458.99,2132847771, 1024.04,  154.15,    1.62,  157.08,    4.91,,,,,  311.22,    6.53,2132604242,  317.76,    876.28,    465.52,   1341.80
  115.78,  143.42,  449.10,  314.77,,,,,  564.88,  458.20,2132548702, 1023.08,  152.35,    1.86,  155.83,    5.17,,,,,  308.18,    7.04,2132390819,  315.22,    873.06,    465.23,   1338.29
  125.06,  234.40,  467.79,  412.87,,,,,  592.85,  647.27,2134770368, 1240.12,  268.28,    2.42,  273.36,    5.70,,,,,  541.63,    8.11,2134726012,  549.75,   1134.48,    655.38,   1789.87
  125.75,  260.85,  465.96,  438.58,,,,,  591.71,  699.43,2132613356, 1291.14,  302.25,    2.30,  308.63,    5.61,,,,,  610.88,    7.91,2132636893,  618.79,   1202.59,    707.34,   1909.93
  124.60,  257.59,  461.24,  433.65,,,,,  585.85,  691.24,2134549389, 1277.08,  292.83,    1.82,  300.23,    5.15,,,,,  593.06,    6.97,2134503014,  600.03,   1178.90,    698.21,   1877.11
  123.20,  254.54,  456.42,  429.41,,,,,  579.62,  683.95,2132402726, 1263.58,  286.88,    1.87,  294.62,    5.19,,,,,  581.50,    7.06,2132480837,  588.56,   1161.12,    691.02,   1852.14
  122.31,  252.61,  453.28,  426.49,,,,,  575.58,  679.10,2132418326, 1254.68,  285.70,    2.06,  292.67,    5.38,,,,,  578.37,    7.44,2132477786,  585.81,   1153.95,    686.54,   1840.49
  121.91,  251.77,  451.98,  425.24,,,,,  573.89,  677.02,2134640188, 1250.91,  285.87,    2.21,  293.86,    5.52,,,,,  579.73,    7.73,2134527260,  587.47,   1153.62,    684.75,   1838.37
  126.45,  258.68,  467.08,  437.10,,,,,  593.54,  695.78,2132660142, 1289.31,  311.54,   16.18,  318.01,   19.56,,,,,  629.56,   35.74,2133202357,  665.30,   1223.09,    731.52,   1954.61
  111.14,  252.06,  411.96,  412.93,,,,,  523.10,  664.99,2133086483, 1188.08,  333.14,    7.24,  338.18,   10.48,,,,,  671.32,   17.72,2132558664,  689.04,   1194.42,    682.71,   1877.13
  107.99,  243.76,  402.56,  401.21,,,,,  510.55,  644.97,2134586538, 1155.53,  313.18,    3.06,  318.50,    6.41,,,,,  631.68,    9.48,2134611765,  641.15,   1142.23,    654.45,   1796.68
  107.59,  242.06,  399.95,  398.20,,,,,  507.55,  640.26,2132382270, 1147.81,  300.65,    2.04,  306.33,    5.38,,,,,  606.98,    7.42,2132354496,  614.40,   1114.52,    647.68,   1762.20
  106.81,  240.99,  397.89,  396.23,,,,,  504.71,  637.22,2134477584, 1141.92,  291.80,    1.86,  297.39,    5.15,,,,,  589.19,    7.01,2134462949,  596.21,   1093.90,    644.23,   1738.13
  105.98,  239.48,  394.81,  393.79,,,,,  500.79,  633.27,2132346096, 1134.06,  288.70,    2.38,  294.39,    5.71,,,,,  583.09,    8.09,2132347090,  591.18,   1083.88,    641.36,   1725.24
  106.08,  239.23,  395.22,  393.69,,,,,  501.30,  632.92,2132336861, 1134.23,  291.96,    2.60,  296.37,    5.90,,,,,  588.33,    8.49,2132316090,  596.82,   1089.63,    641.42,   1731.05
  106.18,  238.71,  395.75,  393.47,,,,,  501.92,  632.18,2134479558, 1134.10,  291.35,    2.95,  293.81,    6.25,,,,,  585.16,    9.19,2134477570,  594.36,   1087.09,    641.37,   1728.46
  105.59,  238.45,  393.46,  392.34,,,,,  499.05,  630.79,2132343019, 1129.84,  290.47,    1.81,  293.55,    5.11,,,,,  584.02,    6.93,2132338716,  590.95,   1083.07,    637.72,   1720.79
  105.74,  238.19,  393.71,  392.24,,,,,  499.44,  630.43,2134417717, 1129.87,  285.61,    1.90,  288.93,    5.21,,,,,  574.54,    7.11,2134406948,  581.65,   1073.98,    637.54,   1711.52
  105.31,  237.99,  392.88,  392.01,,,,,  498.19,  630.00,2132265301, 1128.19,  284.08,    2.02,  288.70,    5.32,,,,,  572.78,    7.34,2132276971,  580.12,   1070.97,    637.33,   1708.30
  111.86,  254.18,  411.03,  413.88,,,,,  522.88,  668.07,2134541831, 1190.95,  357.42,   23.53,  361.06,   26.97,,,,,  718.48,   50.49,2134561113,  768.97,   1241.36,    718.56,   1959.93
  102.20,  237.52,  381.78,  388.24,,,,,  483.98,  625.76,2132340780, 1109.74,  313.22,    2.89,  316.02,    6.20,,,,,  629.24,    9.09,2132321012,  638.33,   1113.22,    634.84,   1748.07
  102.01,  236.62,  380.71,  386.11,,,,,  482.72,  622.73,2134456540, 1105.46,  299.94,    2.53,  304.68,    5.85,,,,,  604.63,    8.39,2134426044,  613.01,   1087.35,    631.12,   1718.47
   94.03,  144.42,  366.09,  287.86,,,,,  460.12,  432.27,2132268241,  892.40,  166.11,    1.52,  169.84,    4.82,,,,,  335.94,    6.34,2132329103,  342.28,    796.07,    438.61,   1234.68
   91.24,  114.15,  361.62,  256.33,,,,,  452.86,  370.48,2134456594,  823.34,  121.78,    1.61,  125.14,    4.92,,,,,  246.92,    6.53,2134404892,  253.46,    699.78,    377.01,   1076.79
   91.76,  115.48,  363.07,  258.05,,,,,  454.83,  373.53,2132265497,  828.36,  124.22,    1.99,  127.75,    5.29,,,,,  251.97,    7.29,2132277577,  259.26,    706.80,    380.82,   1087.62
   91.28,  115.76,  361.24,  257.60,,,,,  452.52,  373.36,2134358742,  825.88,  125.63,    2.24,  129.50,    5.57,,,,,  255.13,    7.81,2134328821,  262.94,    707.65,    381.17,   1088.83
   91.67,  116.23,  362.26,  258.53,,,,,  453.93,  374.76,2132315772,  828.70,  123.30,    1.34,  127.47,    4.63,,,,,  250.77,    5.98,2132388706,  256.74,    704.70,    380.74,   1085.44
   91.15,  116.43,  359.77,  257.79,,,,,  450.91,  374.22,2134485877,  825.13,  121.22,    1.29,  125.36,    4.60,,,,,  246.58,    5.89,2134433628,  252.47,    697.49,    380.11,   1077.61
   91.69,  116.59,  361.57,  258.44,,,,,  453.26,  375.02,2132283164,  828.28,  120.13,    1.23,  124.04,    4.52,,,,,  244.17,    5.75,2132260685,  249.92,    697.43,    380.77,   1078.20
  104.00,  130.70,  400.61,  285.16,,,,,  504.61,  415.86,2134410830,  920.47,  164.15,   21.43,  167.00,   24.59,,,,,  331.15,   46.01,2134665022,  377.16,    835.76,    461.87,   1297.64
   91.95,  119.05,  362.73,  261.57,,,,,  454.68,  380.62,2132584509,  835.30,  138.48,    2.91,  142.51,    6.20,,,,,  280.99,    9.10,2132321009,  290.09,    735.67,    389.72,   1125.40
   92.35,  118.58,  363.41,  261.39,,,,,  455.76,  379.97,2132423744,  835.73,  132.23,    1.83,  136.04,    5.13,,,,,  268.27,    6.96,2132500513,  275.23,    724.03,    386.93,   1110.96
   91.40,  118.43,  361.13,  260.39,,,,,  452.52,  378.82,2134485308,  831.35,  128.56,    1.27,  132.66,    4.58,,,,,  261.21,    5.85,2134469560,  267.06,    713.74,    384.67,   1098.41
   91.41,  117.71,  360.44,  259.48,,,,,  451.85,  377.19,2132358499,  829.04,  126.79,    1.60,  131.02,    4.91,,,,,  257.81,    6.51,2132337029,  264.32,    709.66,    383.70,   1093.36
   91.68,  118.21,  361.70,  260.33,,,,,  453.37,  378.54,2134444543,  831.91,  126.07,    1.67,  130.68,    4.98,,,,,  256.75,    6.64,2134453540,  263.39,    710.12,    385.18,   1095.30
   91.86,  117.87,  361.47,  259.87,,,,,  453.32,  377.74,2132291744,  831.06,  128.99,    2.88,  133.74,    6.16,,,,,  262.73,    9.05,2132307371,  271.78,    716.06,    386.78,   1102.84
   91.69,  118.14,  361.71,  260.26,,,,,  453.40,  378.40,2134415984,  831.81,  128.24,    1.85,  132.85,    5.16,,,,,  261.09,    7.02,2134390619,  268.11,    714.50,    385.42,   1099.92
   91.40,  117.68,  360.66,  259.60,,,,,  452.05,  377.29,2132315498,  829.34,  125.08,    1.38,  129.65,    4.68,,,,,  254.73,    6.05,2132278171,  260.78,    706.79,    383.34,   1090.12
   92.01,  118.40,  362.66,  260.78,,,,,  454.67,  379.18,2134549384,  833.85,  124.40,    1.25,  128.95,    4.56,,,,,  253.34,    5.82,2134561074,  259.16,    708.01,    384.99,   1093.01
  103.33,  128.63,  396.62,  281.76,,,,,  499.95,  410.38,2132310520,  910.33,  158.49,   20.26,  162.83,   23.71,,,,,  321.32,   43.97,2132519149,  365.28,    821.26,    454.35,   1275.62
   92.23,  119.67,  363.31,  262.42,,,,,  455.54,  382.09,2134743425,  837.63,  140.10,    3.05,  144.33,    6.36,,,,,  284.44,    9.40,2134571827,  293.84,    739.98,    391.49,   1131.47
   91.76,  118.50,  361.59,  260.69,,,,,  453.35,  379.19,2132335984,  832.54,  134.48,    2.75,  138.63,    6.05,,,,,  273.11,    8.80,2132355070,  281.92,    726.47,    387.99,   1114.45
  103.19,  187.51,  392.04,  340.42,,,,,  495.23,  527.93,2134457973, 1023.16,  221.63,    1.93,  226.55,    5.25,,,,,  448.18,    7.17,2134489980,  455.36,    943.42,    535.10,   1478.52
  105.67,  206.29,  396.22,  360.55,,,,,  501.89,  566.84,2132349886, 1068.73,  245.16,    2.41,  250.39,    5.72,,,,,  495.54,    8.14,2132282909,  503.68,    997.43,    574.98,   1572.41
  107.12,  206.93,  401.71,  362.64,,,,,  508.84,  569.57,2132259893, 1078.40,  240.13,    1.74,  245.53,    5.05,,,,,  485.66,    6.79,2132314537,  492.45,    994.49,    576.36,   1570.85
  100.32,  200.99,  377.14,  348.59,,,,,  477.46,  549.58,2134421361, 1027.03,  234.00,    1.67,  240.62,    4.98,,,,,  474.62,    6.65,2134362327,  481.26,    952.07,    556.22,   1508.30
  100.31,  200.20,  376.88,  347.28,,,,,  477.19,  547.48,2132300192, 1024.67,  231.85,    1.84,  237.51,    5.14,,,,,  469.37,    6.99,2132279236,  476.35,    946.56,    554.47,   1501.03
   99.52,  198.46,  374.42,  344.82,,,,,  473.94,  543.29,2134417596, 1017.23,  233.39,    2.47,  239.17,    5.79,,,,,  472.56,    8.25,2134432864,  480.81,    946.50,    551.54,   1498.04
   99.24,  197.79,  374.16,  344.31,,,,,  473.40,  542.10,2132347580, 1015.50,  232.03,    1.90,  238.06,    5.20,,,,,  470.09,    7.11,2132301039,  477.20,    943.49,    549.21,   1492.70
