SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  156.71,  214.08,  574.09,  421.64,  730.80,  635.72,2101742548, 1366.52,  227.04,    6.69,  229.79,    9.98,  456.82,   16.66,2101941347,  473.49,   1187.62,    652.38,   1840.00
  156.31,  212.45,  575.43,  421.26,  731.74,  633.70,2133214947, 1365.44,  217.50,    2.32,  220.33,    5.66,  437.83,    7.98,2133026312,  445.81,   1169.57,    641.69,   1811.25
  154.97,  210.28,  571.54,  418.00,  726.51,  628.27,2132415017, 1354.79,  208.04,    1.57,  212.31,    4.90,  420.34,    6.47,2132599262,  426.81,   1146.86,    634.74,   1781.60
  141.47,  270.21,  517.83,  463.26,  659.30,  733.47,2132728711, 1392.77,  290.55,    2.33,  297.03,    5.65,  587.57,    7.98,2132650501,  595.56,   1246.88,    741.45,   1988.33
  137.64,  267.55,  506.12,  457.22,  643.76,  724.77,2134771431, 1368.53,  288.45,    2.30,  294.34,    5.64,  582.79,    7.95,2134791473,  590.74,   1226.56,    732.72,   1959.28
  134.08,  260.57,  494.98,  447.48,  629.06,  708.05,2132526544, 1337.11,  292.58,    3.35,  298.18,    6.72,  590.76,   10.07,2132470168,  600.83,   1219.82,    718.11,   1937.93
  133.24,  259.61,  491.36,  445.35,  624.60,  704.95,2132508968, 1329.56,  295.68,    2.91,  300.27,    6.26,  595.96,    9.17,2132528911,  605.13,   1220.56,    714.12,   1934.69
  131.34,  255.47,  486.83,  440.39,  618.17,  695.86,2134714459, 1314.03,  292.33,    2.05,  295.74,    5.39,  588.08,    7.44,2134731317,  595.52,   1206.25,    703.30,   1909.55
  130.99,  256.91,  485.63,  441.34,  616.62,  698.25,2132520762, 1314.87,  286.72,    3.34,  291.03,    6.68,  577.75,   10.03,2132559260,  587.78,   1194.38,    708.28,   1902.65
  122.63,  260.26,  450.48,  432.94,  573.11,  693.20,2132699826, 1266.31,  339.97,   17.02,  344.64,   20.49,  684.61,   37.50,2132541265,  722.12,   1257.73,    730.70,   1988.43
  112.49,  242.21,  419.30,  405.50,  531.80,  647.71,2134596019, 1179.51,  311.30,    4.04,  317.21,    7.37,  628.51,   11.41,2134616379,  639.92,   1160.31,    659.12,   1819.43
  110.88,  239.00,  414.60,  400.52,  525.48,  639.52,2132476372, 1165.00,  304.92,    2.84,  310.69,    6.15,  615.60,    8.99,2132477739,  624.59,   1141.08,    648.51,   1789.59
  110.80,  238.94,  414.14,  400.42,  524.94,  639.36,2134544941, 1164.30,  293.75,    1.72,  298.77,    5.08,  592.52,    6.80,2134582973,  599.32,   1117.47,    646.16,   1763.62
  110.05,  166.47,  421.66,  329.19,  531.70,  495.66,2132390481, 1027.37,  187.93,    1.58,  191.84,    4.92,  379.76,    6.50,2132384218,  386.26,    911.47,    502.16,   1413.63
  111.36,  168.51,  425.63,  332.14,  536.99,  500.65,2134529764, 1037.64,  187.05,    1.90,  190.70,    5.21,  377.75,    7.11,2134515774,  384.86,    914.74,    507.76,   1422.50
  110.59,  168.08,  423.25,  331.23,  533.84,  499.31,2132403102, 1033.15,  189.26,    2.59,  192.85,    5.93,  382.11,    8.52,2132438340,  390.63,    915.95,    507.83,   1423.78
  111.07,  168.40,  424.53,  331.64,  535.60,  500.04,2132489827, 1035.64,  194.22,    2.75,  198.31,    6.09,  392.53,    8.84,2132482058,  401.38,    928.13,    508.89,   1437.02
  110.12,  167.77,  420.58,  329.45,  530.70,  497.22,2134521056, 1027.92,  193.47,    1.98,  196.77,    5.29,  390.25,    7.28,2134457950,  397.52,    920.95,    504.50,   1425.44
  111.35,  168.91,  424.68,  331.89,  536.03,  500.80,2132336136, 1036.83,  190.57,    1.64,  193.11,    4.98,  383.69,    6.62,2132335240,  390.30,    919.72,    507.41,   1427.13
  123.51,  193.04,  461.89,  367.52,  585.40,  560.56,2134591552, 1145.97,  224.75,   14.45,  227.44,   17.76,  452.20,   32.20,2134825747,  484.40,   1037.60,    592.77,   1630.37
  111.45,  171.69,  425.04,  335.20,  536.49,  506.89,2132647959, 1043.38,  203.83,    2.73,  207.39,    6.07,  411.22,    8.80,2132429670,  420.02,    947.71,    515.69,   1463.40
  110.21,  169.65,  420.07,  331.42,  530.28,  501.07,2132491803, 1031.35,  197.91,    2.25,  201.38,    5.57,  399.29,    7.83,2132482027,  407.12,    929.58,    508.90,   1438.47
  111.30,  170.84,  424.21,  333.96,  535.51,  504.80,2134591912, 1040.31,  202.75,    3.27,  205.97,    6.61,  408.71,    9.88,2134571599,  418.59,    944.22,    514.68,   1458.91
  110.98,  237.38,  414.75,  398.54,  525.73,  635.92,2132390765, 1161.65,  294.93,    2.42,  299.33,    5.74,  594.26,    8.17,2132590051,  602.43,   1119.99,    644.08,   1764.07
  110.97,  236.21,  414.24,  397.44,  525.20,  633.65,2134767231, 1158.85,  286.30,    1.78,  292.96,    5.12,  579.26,    6.90,2134589673,  586.16,   1104.46,    640.55,   1745.01
  110.01,  234.52,  410.83,  394.31,  520.84,  628.83,2132362015, 1149.67,  278.18,    1.81,  286.84,    5.16,  565.03,    6.98,2132391601,  572.00,   1085.87,    635.80,   1721.67
  110.04,  234.31,  410.44,  393.83,  520.49,  628.14,2132456561, 1148.63,  279.27,    2.08,  284.80,    5.43,  564.07,    7.50,2132379577,  571.58,   1084.56,    635.64,   1720.20
  109.43,  232.22,  407.76,  390.40,  517.19,  622.62,2134494437, 1139.81,  283.63,    2.88,  287.72,    6.23,  571.35,    9.12,2134804245,  580.47,   1088.55,    631.74,   1720.28
  109.69,  232.97,  409.50,  391.92,  519.18,  624.89,2132670006, 1144.07,  283.06,    2.16,  288.10,    5.51,  571.16,    7.67,2132534905,  578.83,   1090.34,    632.56,   1722.90
  116.50,  248.33,  428.90,  413.66,  545.40,  661.99,2134730735, 1207.39,  324.64,   18.46,  328.47,   21.56,  653.11,   40.02,2134679912,  693.14,   1198.52,    702.01,   1900.53
  105.26,  229.37,  393.55,  383.56,  498.81,  612.93,2132663165, 1111.74,  309.14,    4.31,  312.98,    7.59,  622.12,   11.90,2132607334,  634.02,   1120.93,    624.83,   1745.77
  104.88,  228.57,  392.12,  381.85,  496.99,  610.42,2132628578, 1107.41,  297.23,    2.13,  300.48,    5.45,  597.71,    7.58,2132595514,  605.29,   1094.71,    618.00,   1712.70
  104.52,  227.41,  391.12,  380.43,  495.64,  607.84,2134476524, 1103.48,  294.56,    2.54,  295.84,    5.88,  590.41,    8.42,2134499269,  598.82,   1086.05,    616.25,   1702.30
  104.81,  210.05,  394.14,  363.40,  498.95,  573.45,2132434092, 1072.40,  266.72,    2.49,  269.48,    5.85,  536.19,    8.34,2132427926,  544.53,   1035.14,    581.78,   1616.93
  105.42,  210.62,  395.72,  364.70,  501.14,  575.32,2134494396, 1076.46,  261.21,    1.88,  265.15,    5.20,  526.36,    7.09,2134535098,  533.44,   1027.49,    582.41,   1609.90
  106.30,  211.89,  398.32,  366.50,  504.61,  578.39,2132438785, 1083.01,  258.27,    2.07,  262.98,    5.42,  521.24,    7.48,2132484331,  528.72,   1025.85,    585.87,   1611.73
  104.56,  210.11,  391.76,  362.34,  496.32,  572.45,2132464410, 1068.76,  258.47,    2.17,  262.62,    5.51,  521.09,    7.68,2132449584,  528.77,   1017.41,    580.12,   1597.53
