SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  114.91,  316.25,  405.59,  470.75,  520.49,  787.00,1936410123, 1307.50,  374.28,    7.31,  379.22,   10.32,  753.50,   17.63,1936378772,  771.13,   1274.00,    804.63,   2078.63
  116.63,  322.10,  411.19,  480.91,  527.82,  803.01,2134929831, 1330.83,  390.68,    3.07,  394.59,    6.34,  785.27,    9.41,2134971875,  794.68,   1313.09,    812.42,   2125.52
  109.18,  306.46,  384.82,  456.17,  494.00,  762.62,2132442814, 1256.62,  381.75,    4.00,  387.02,    7.27,  768.77,   11.27,2132416944,  780.04,   1262.77,    773.90,   2036.67
  104.50,  300.55,  368.54,  445.19,  473.04,  745.74,2132421928, 1218.78,  383.93,    3.30,  389.86,    6.58,  773.79,    9.88,2132395396,  783.67,   1246.84,    755.62,   2002.46
  101.26,  294.99,  354.00,  433.38,  455.27,  728.37,2134547996, 1183.64,  384.13,    4.17,  389.11,    7.41,  773.23,   11.58,2134578780,  784.81,   1228.50,    739.95,   1968.45
   98.52,  291.64,  346.28,  428.13,  444.79,  719.78,2132366197, 1164.57,  390.02,    4.49,  395.78,    7.75,  785.80,   12.25,2132354022,  798.05,   1230.60,    732.02,   1962.62
   96.81,  290.27,  337.59,  422.28,  434.41,  712.56,2134490555, 1146.96,  388.19,    3.52,  393.70,    6.75,  781.88,   10.27,2134504415,  792.16,   1216.29,    722.83,   1939.12
   94.53,  287.76,  329.30,  417.20,  423.83,  704.96,2132379408, 1128.79,  382.81,    2.98,  388.39,    6.22,  771.20,    9.19,2132373261,  780.40,   1195.03,    714.15,   1909.18
   93.18,  286.11,  323.37,  413.23,  416.56,  699.35,2134464549, 1115.90,  374.18,    2.59,  380.55,    5.85,  754.73,    8.44,2134435900,  763.17,   1171.29,    707.78,   1879.07
  101.27,  311.88,  347.07,  446.66,  448.34,  758.54,2132293785, 1206.88,  435.22,   19.64,  440.39,   22.84,  875.61,   42.48,2132339756,  918.10,   1323.95,    801.02,   2124.97
   87.95,  284.59,  303.67,  404.44,  391.63,  689.04,2134560622, 1080.66,  401.91,    4.75,  408.25,    8.06,  810.16,   12.81,2134532853,  822.96,   1201.78,    701.84,   1903.63
   85.82,  281.67,  296.90,  399.08,  382.73,  680.76,2132354487, 1063.48,  391.05,    3.22,  395.40,    6.46,  786.45,    9.67,2132324648,  796.13,   1169.18,    690.43,   1859.61
   84.52,  279.32,  292.57,  395.76,  377.09,  675.08,2134451238, 1052.16,  377.64,    3.00,  385.42,    6.26,  763.06,    9.27,2134464643,  772.33,   1140.15,    684.34,   1824.49
   83.40,  279.24,  288.84,  394.00,  372.24,  673.23,2132354717, 1045.47,  378.80,    3.13,  385.80,    6.34,  764.60,    9.47,2132358017,  774.07,   1136.84,    682.70,   1819.54
