,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads,input_rate,output_rate,latency
491,6238739530.0,1992933949.0,5746817879.0,3856237532.0,5808435855.0,1234261526.0,413145339.0,1089417646.0,812098984.0,1169597545.0,6608084.0,2549829.0,8068324.0,5426955.0,8117473.0,6921151.0,3162974.0,8557248.0,5561277.0,8841130.0,6628.0,35226.0,22613.0,172164.0,5448.0,2490273.0,1565633.0,2544502.0,2823953.0,1671939.0,2838559731.0,1321824722.0,2743704057.0,2222454411.0,2886154090.0,4653167.0,1985051.0,3764030.0,2391976.0,2203497.0,1884552498.0,476077689.0,1908180951.0,1070261241.0,1936271485.0,5259.0,13875.0,22516.0,180503.0,4293.0,493544.0,369100.0,602859.0,378311.0,403338.0,1457054.0,1154732.0,2321631.0,1038629.0,765530.0,2095.3794653664,781.5505118882,N/A
492,6622999490.0,1602878052.0,5407507884.0,98828729.0,7101821655.0,1340749140.0,324118822.0,1107247797.0,34803975.0,1455361475.0,7228722.0,2318093.0,9421736.0,928221.0,12209865.0,7356640.0,2708267.0,8179535.0,977621.0,11587566.0,7786.0,9844.0,56786.0,240584.0,5708.0,2306148.0,702593.0,2349556.0,488984.0,1358528.0,2812050199.0,1314332111.0,2633436572.0,1315069126.0,2820923974.0,4273219.0,1480316.0,2851232.0,556905.0,1841272.0,2181364173.0,532236970.0,1889340431.0,51211493.0,1968880097.0,5605.0,4164.0,77484.0,210114.0,3096.0,595300.0,124237.0,450030.0,23213.0,397301.0,1609406.0,530733.0,1695849.0,324914.0,893652.0,1999.1415863731,920.82317029735,N/A
493,3113498374.0,2088023954.0,309743883.0,89867442.0,3714634496.0,741865818.0,494081419.0,100601974.0,27775385.0,744528385.0,8932305.0,3449814.0,2678267.0,643605.0,10629057.0,9149875.0,3593322.0,2438985.0,629494.0,8941827.0,14897.0,24240.0,249455.0,437827.0,10209.0,1412173.0,1364759.0,841361.0,801557.0,511627.0,2809790211.0,1423501859.0,2773292850.0,1469888397.0,2814317208.0,10179207.0,1425696.0,1027736.0,902811.0,761360.0,1430791036.0,534737088.0,110359794.0,38935682.0,1607083555.0,4837.0,51803.0,185855.0,380763.0,5053.0,280610.0,383073.0,41233.0,54385.0,110532.0,964784.0,982942.0,677396.0,687033.0,448771.0,2035.4021770692,801.05223842401,N/A
494,6347134508.0,160946655.0,4949273411.0,76706113.0,7642391641.0,1273120623.0,39175857.0,993370474.0,20181138.0,1519065806.0,7698797.0,2402487.0,5036064.0,1033092.0,8953908.0,7350078.0,1913202.0,5093973.0,1037546.0,8528210.0,10744.0,235809.0,182700.0,490772.0,12753.0,2052011.0,1730261.0,2628084.0,799853.0,593207.0,2757630717.0,1433231461.0,2871991843.0,1423348780.0,2855079330.0,8108271.0,1794197.0,2909782.0,898817.0,779433.0,1687818437.0,51058580.0,1344876013.0,30270090.0,2031483824.0,4648.0,174270.0,198436.0,419692.0,6994.0,430149.0,570400.0,385072.0,56715.0,95272.0,1466877.0,1056579.0,2455717.0,606426.0,399523.0,2082.760694458,229.49606074164,N/A
495,8276257958.0,852140660.0,7166903612.0,83476864.0,8535897946.0,1639968459.0,143710580.0,1439605245.0,24759781.0,1656578548.0,8876727.0,1780692.0,7361895.0,644556.0,9467515.0,9321595.0,1995251.0,8202491.0,645615.0,9249772.0,6351.0,249668.0,27869.0,452556.0,16425.0,2627945.0,2165564.0,3467135.0,1052374.0,665581.0,2872309488.0,1432317761.0,2887799283.0,1422768155.0,2857330638.0,6498391.0,2673606.0,4048144.0,1131381.0,677800.0,2662209460.0,222531925.0,2369084307.0,31904588.0,2657084851.0,7866.0,134343.0,11773.0,527064.0,6018.0,731499.0,809711.0,809848.0,89543.0,178225.0,1904705.0,1593102.0,2929793.0,1000234.0,280288.0,1883.829601072,71.714972351208,N/A
496,8696400649.0,1244994900.0,9141825032.0,87172755.0,8617107691.0,1727683501.0,259922057.0,1763821758.0,24058565.0,1726195335.0,10218061.0,1458816.0,9958214.0,1152177.0,10187885.0,9160501.0,1420245.0,10189573.0,740343.0,10279894.0,6236.0,163245.0,12774.0,411994.0,11830.0,2811992.0,1933072.0,3858633.0,1022176.0,712178.0,2879949473.0,1432110571.0,2886678392.0,1421278984.0,2888098393.0,5620847.0,2513535.0,4410357.0,1235306.0,743533.0,2791525624.0,284634274.0,2797445021.0,36448547.0,2842342815.0,5957.0,121376.0,9078.0,456945.0,5773.0,858901.0,775923.0,821083.0,95562.0,219297.0,2215014.0,1505330.0,3000341.0,1016218.0,375800.0,2100.626812047,282.08824660994,N/A
497,8954350415.0,557935880.0,8035042835.0,97878611.0,8774462828.0,1732872508.0,100483732.0,1613748966.0,28126912.0,1742428277.0,10559763.0,2727624.0,8869972.0,407782.0,11361384.0,10175000.0,2459963.0,9676890.0,556641.0,12316958.0,7682.0,267321.0,15137.0,469778.0,8485.0,3001695.0,1886068.0,3929939.0,941853.0,624302.0,2856109657.0,1435722344.0,2867346979.0,1423413263.0,2883499810.0,5656158.0,2360742.0,4241822.0,1016102.0,751743.0,2671078549.0,55345817.0,2540451648.0,28367430.0,2791270615.0,6174.0,179592.0,8926.0,536796.0,5054.0,761367.0,806014.0,795900.0,77780.0,283828.0,2147603.0,1592506.0,2971729.0,817573.0,412575.0,2102.7035302924,292.69380367244,N/A
498,9077050332.0,178210487.0,7603863639.0,87232292.0,9064177468.0,1825373000.0,44094788.0,1601435473.0,27391266.0,1763191741.0,11962450.0,913777.0,9719718.0,1501734.0,8306857.0,11923202.0,947345.0,9253452.0,1051047.0,9849102.0,6168.0,281639.0,21873.0,434757.0,12066.0,2916459.0,1834410.0,3910231.0,813943.0,541852.0,2886647191.0,1435716124.0,2881225659.0,1419490807.0,2887586412.0,6477223.0,1971642.0,4286904.0,946272.0,650428.0,2833694010.0,50718907.0,2635396217.0,24104134.0,2944850677.0,7876.0,183004.0,44032.0,534521.0,6199.0,768884.0,632090.0,714489.0,69157.0,214972.0,2017633.0,1174550.0,2737899.0,750915.0,386927.0,1890.6677713924,408.11954039461,N/A
499,8557375366.0,185660486.0,8596591747.0,86131110.0,9076091954.0,1762548424.0,45110641.0,1690115566.0,25847242.0,1766624891.0,11140060.0,1825457.0,9974928.0,584742.0,9488289.0,10648768.0,1784663.0,8547544.0,791142.0,9232915.0,6769.0,257647.0,28156.0,485310.0,13657.0,2932302.0,1897589.0,3698810.0,890937.0,607740.0,2886194519.0,1435525230.0,2870961053.0,1434926299.0,2885425711.0,6241723.0,2301096.0,4309267.0,1082500.0,652538.0,2896907360.0,52392327.0,2571089082.0,22871554.0,2879812292.0,6428.0,218425.0,12617.0,490612.0,4978.0,842088.0,531737.0,646883.0,73171.0,231435.0,2057654.0,1099554.0,2780690.0,751934.0,380962.0,1593.6697676978,334.22168294574,N/A
500,9261268246.0,2549012351.0,8539738523.0,85268324.0,9284810142.0,1857048627.0,460384291.0,1678536555.0,20318478.0,1848609200.0,8909185.0,2435773.0,8542251.0,1526501.0,10937678.0,9544927.0,2466130.0,8792994.0,1461745.0,12241860.0,6936.0,194043.0,17076.0,465605.0,11556.0,2949549.0,2676181.0,3672400.0,1050258.0,570983.0,2872362927.0,1794673730.0,2884776398.0,1429525130.0,2856594197.0,5317102.0,2609909.0,4124652.0,1153476.0,717482.0,2631416680.0,951104803.0,2515108262.0,25316175.0,2695574779.0,5618.0,43516.0,24071.0,524907.0,6725.0,768977.0,445129.0,786883.0,74348.0,183139.0,2173985.0,980852.0,3355262.0,729788.0,296246.0,1593.9218229087,300.6188560831,N/A
501,8590050441.0,8524372324.0,7948681317.0,3669400176.0,8181700337.0,1655602537.0,1679273440.0,1623118689.0,725791283.0,1685391452.0,7425446.0,9779826.0,8905057.0,4888622.0,9411916.0,7552392.0,10060178.0,7206465.0,5251446.0,9869888.0,7235.0,11052.0,12271.0,348540.0,10684.0,3117931.0,2486257.0,3825759.0,2818473.0,518851.0,2875420729.0,2855230261.0,2881509792.0,2027652327.0,2857386784.0,4847801.0,2775266.0,4287746.0,2880763.0,835062.0,2627261870.0,2558453139.0,2682182584.0,884391143.0,2753851225.0,5659.0,3336.0,10632.0,368665.0,9650.0,777411.0,805940.0,784848.0,387340.0,177108.0,2433979.0,1704732.0,2675965.0,2375916.0,288470.0,1593.7963509836,286.43129479521,N/A
502,8515067547.0,7602051885.0,8796104517.0,6995696793.0,8601045983.0,1690751618.0,1568141149.0,1767741071.0,1427355981.0,1736243003.0,8720245.0,9467198.0,10058103.0,9284208.0,11608257.0,8427549.0,9428493.0,9655285.0,7622978.0,10982239.0,5905.0,4354.0,11392.0,174738.0,4562.0,3156283.0,2943922.0,4108373.0,3927614.0,1325686.0,2884419192.0,2831603731.0,2883696234.0,2844695879.0,2889404872.0,5478802.0,3190406.0,4794025.0,4543233.0,1496947.0,2808047364.0,2595261665.0,2793108463.0,2228018617.0,2927261317.0,6020.0,3305.0,9557.0,199042.0,3094.0,850238.0,1022392.0,800547.0,900759.0,432550.0,2382495.0,1851510.0,2859979.0,2832598.0,612236.0,1593.9419786356,319.34907416939,N/A
