skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
19240984,3704568,3006136,151380488,16122078,140,632940,2487611462,2579640,19628,623896,7766710,140,635936,0,1124928,2986508,150756592,8355368,0,0,21305774,232204,5771192,15721622,0,51926,308938,164907540,0,2604,36932,0,52836,313054,0,232204,5768588,15684690,0,0,0
21477190,4324894,2211160,158508098,15908928,140,663768,100184,2008174,74004,670138,7587188,154,680624,21377006,2316720,2137156,157837960,8321740,0,0,21290696,232946,5318698,16221898,0,52360,308308,12013316,0,2772,20062,0,52304,313894,9277380,232946,5315926,16201836,0,56,0
21807954,4786656,2136988,163298730,15726312,1974,675402,78246,1676822,62328,719824,7450730,0,693322,21729708,3109834,2074660,162578906,8275582,1974,0,21294854,233954,5273254,16344314,0,51674,309386,11713212,0,2660,94808,0,53088,313600,9581642,233954,5270594,16249506,0,0,0
21998984,4979912,2160606,165846702,15656130,140,716226,49294,1445794,59528,726642,7432138,0,721728,21949690,3534118,2101078,165120060,8223992,140,0,21300524,235032,5253766,16099202,0,52472,307440,11624298,0,2282,62020,0,52892,313068,9676226,235032,5251484,16037182,0,0,0
22192870,5140352,2172478,167364064,15547112,140,743946,42406,1312864,72142,731710,7427630,0,761460,22150464,3827488,2100336,166632354,8119482,140,0,21313964,236124,5286722,16058196,0,52416,309652,11795266,0,2506,37856,0,52822,311654,9518698,236124,5284216,16020340,0,0,0
22244516,5385828,2207520,170563120,15540546,154,763952,29568,1165808,304556,742756,7946974,0,743708,22214948,4220020,1902964,169820364,7593572,154,20244,21307412,234682,5758956,16881900,0,51856,308910,11558918,0,20958,216272,0,52738,310100,9748494,234682,5737998,16665628,0,0,0
22729686,5576494,2237788,170686152,15514758,154,798714,27678,1297520,292404,628628,7410270,0,808542,22702008,4278974,1945384,170057524,8104488,154,0,21551362,233730,5428612,16489522,0,52262,308756,12666136,0,136500,181692,0,52934,311724,8885226,233730,5292112,16307830,0,0,0
22831074,5630660,2253608,171115854,15501206,154,815290,21546,1156064,348488,649138,7437290,0,823004,22809528,4474596,1905120,170466716,8063916,154,0,21538202,234710,5326720,16454718,0,52164,308504,11974970,0,25018,32774,0,52850,313250,9563232,234710,5301702,16421944,0,0,0
22888516,5678750,2243836,172234034,15488172,154,821296,30002,1108338,358428,652064,7409696,0,834134,22858514,4570412,1885408,171581970,8078476,154,0,21540624,235088,5341056,17126200,0,52388,310324,11611978,0,13720,23380,0,53018,312550,9928646,235088,5327336,17102820,0,0,0
22972754,5665058,1727922,173024530,15494808,140,835912,21518,1085210,345114,646002,7360822,14,819224,22951236,4579848,1382808,172378528,8133986,126,16688,21536620,233464,4886476,16909648,0,52388,311780,11395398,0,21168,21798,0,52794,309204,10141222,233464,4865308,16887850,0,0,2576
22716722,5747420,1790068,172945752,15475488,140,843346,22316,1064966,328580,646898,7350084,0,833420,22694406,4682454,1461488,172298854,8125404,140,9926,21269360,234010,4914560,16235282,0,52612,310478,11593470,0,35728,170016,0,52948,309456,9675890,234010,4878832,16065266,0,0,1022
22977892,5726700,1822422,174459600,15444212,140,848526,27580,1042818,365582,650594,7335986,0,832860,22950312,4683882,1456840,173809006,8108226,140,15666,21535318,233520,5072424,16144366,0,52514,310562,11535020,0,19894,23436,0,52696,309400,10000298,233520,5052530,16120930,0,0,1162
22870820,5792262,1868034,174310542,15461824,140,842926,82096,1079638,345912,612878,7349678,0,838908,22788724,4712624,1522122,173697664,8112146,140,4018,21540316,234178,5233396,16678494,0,52402,310870,11415530,0,40488,35742,0,52766,308980,10124786,234178,5192908,16642752,0,0,1890
23109408,5731040,1802472,175992670,15453480,0,848386,88186,1051554,288008,645512,7323456,140,847854,23021222,4679486,1514464,175347158,8130024,0,532,21541408,231672,5074076,16415462,0,52948,311822,11497346,0,29652,77364,0,52178,309092,10044062,231672,5044424,16338098,0,770,2730
22977710,5759180,2005584,175913976,15424500,0,859474,39410,1025752,355348,656264,7289744,140,848036,22938300,4733428,1650236,175257712,8134756,0,11438,21398160,232106,5547052,16191784,0,52920,309316,11574486,0,15820,13314,0,52430,310016,9823674,232106,5531232,16178470,0,490,0
23045974,5684742,3029124,175782404,15438066,0,701274,41216,1015882,46522,681982,7297626,154,625660,23004758,4668860,2982602,175100422,8140440,0,75614,21420406,230132,5736472,16507078,0,53270,303828,11427430,0,6272,35798,0,54124,306712,9992976,230132,5730200,16471280,0,0,0
22637132,5701570,2635430,176312430,15574482,0,869036,84574,1184708,35266,612710,7238770,168,865074,22552558,4516862,2600164,175699720,8335712,0,3962,21348488,230650,6958784,16829092,0,53004,307888,13023850,0,34496,113694,0,52136,308154,8324638,230650,6924288,16715398,0,868,0
22733704,5763002,3316306,177636536,15544760,0,882588,57260,1041404,27636,613466,7259672,238,864276,22676444,4721598,3288670,177023070,8285088,0,18312,21190512,230804,6372856,16172170,0,52934,309274,12125064,0,14392,11186,0,52290,310492,9065448,230804,6358464,16160984,0,644,0
22758652,5772270,2845136,172909226,15569624,0,880768,60354,1018402,22232,607432,7480802,154,879844,22698298,4753868,2822904,172301794,8088822,0,924,21192598,231392,6853336,16822330,0,53060,308714,11702768,0,3248,33026,0,52234,309974,9489830,231392,6850088,16789304,0,826,0
22794366,5783512,2545452,174223644,15568308,0,875784,59528,1005648,68656,704732,7924140,154,878024,22734838,4777864,2476796,173518912,7644168,0,0,21172592,230048,5423026,16840740,0,52934,309106,11682174,0,3682,93380,0,52332,310394,9490418,230048,5419344,16747360,0,602,0
22778014,5852742,1669500,182151158,15564584,0,863786,63728,1010674,51744,849856,7552440,140,883568,22714286,4842068,1617756,181301302,8012144,0,0,21201894,232512,4471838,16134538,0,53004,304808,11808552,0,4662,56826,0,52416,309834,9393342,232512,4467176,16077712,0,588,0
22818432,5701136,1683500,183805342,15551914,0,857514,89264,999936,36372,698040,7640738,140,887600,22729168,4701200,1647128,183107302,7911176,0,0,21213990,230958,4679934,16122428,0,53018,306586,11604880,0,8736,166572,0,52332,310240,9609110,230958,4671198,15955856,0,686,0
22287370,5862780,1692880,184090858,15568546,0,877044,49084,999600,27692,684082,7573202,140,885514,22238286,4863180,1665188,183406776,7995344,0,0,21067424,231560,4541320,16071944,0,53004,305424,11879196,0,4760,79254,0,52276,309638,9188228,231560,4536560,15992690,0,728,0
22784188,5833758,1958306,183964550,15580362,140,863058,60648,988750,33194,665378,7642824,140,908894,22723540,4845008,1925112,183299172,7937538,0,0,21166488,229838,4534838,15867558,0,53060,307706,12143684,0,20944,93240,0,52598,314300,9022804,229838,4513894,15774318,0,462,0
22837542,5833016,1613766,184607528,15486492,140,876512,54796,985516,18718,690354,7688282,140,899164,22782746,4847500,1595048,183917174,7798210,0,0,21201796,230412,4510352,15882174,0,52472,308854,11944996,0,4634,51688,0,52374,311150,9256800,230412,4505718,15830486,0,98,0
22871534,5833296,1560230,184154992,15496642,140,760018,60270,998592,21476,654444,7442386,112,903434,22811264,4834704,1538754,183500548,8054256,28,0,21226534,230636,4452098,16401154,0,52458,306712,11652550,0,9366,76860,0,52332,310380,9573984,230636,4442732,16324294,0,126,0
21364588,5592692,1562736,184138248,15485190,140,876736,131208,1276310,19026,602826,7584150,154,900508,21233380,4316382,1543710,183535422,7901040,0,0,20949628,230384,4397246,16494772,0,52668,306404,13432510,0,27048,291494,0,52416,310968,7517118,230384,4370198,16203278,0,252,0
22660414,5830762,1546328,185375960,15482936,112,885892,60172,1017352,47068,658616,7214466,0,904848,22600242,4813410,1499260,184717344,8268470,112,0,21077252,230328,4408628,15879346,0,52276,309554,12294240,0,16590,78820,0,52962,309372,8783012,230328,4392038,15800526,0,0,182
22748068,5963608,1625106,186172938,15336020,140,892150,58492,978166,18662,672126,7215670,0,915992,22689576,4985442,1606444,185500812,8120350,140,0,21325654,233100,4612244,16350628,0,52724,307538,12024838,0,14364,128394,0,53060,310688,9300816,233100,4597880,16222234,0,0,0
22842414,5923792,1618694,187377022,15339786,112,901292,54474,969640,48062,664006,7178304,0,908516,22787940,4954152,1570632,186713016,8161482,112,0,21341376,233296,4569600,16579402,0,52444,311514,11803218,0,3192,139482,0,52962,310380,9538158,233296,4566408,16439920,0,0,1134
22899450,5881078,1680056,187176640,15433936,140,902244,51660,970928,18998,639324,7031738,0,912142,22847790,4910150,1661058,186537316,8402198,140,0,21316316,231630,4531758,16018450,0,52164,310338,11759230,0,2870,66584,0,52864,310016,9557086,231630,4528888,15951866,0,0,322
