SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Ch2Read,SKT1-Ch2Write,SKT1-Ch3Read,SKT1-Ch3Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  137.51,  190.05,  487.56,  362.96,,,,,  625.07,  553.01,1799987569, 1178.08,  194.18,    9.37,  191.99,    6.57,,,,,  386.18,   15.94,1799851761,  402.12,   1011.25,    568.95,   1580.20
  160.45,  219.35,  570.59,  422.55,,,,,  731.04,  641.90,2133511013, 1372.94,  219.33,    8.81,  218.80,    5.32,,,,,  438.13,   14.13,2133647559,  452.26,   1169.17,    656.03,   1825.20
  159.54,  217.91,  568.26,  420.71,,,,,  727.80,  638.62,2133003805, 1366.42,  215.41,    7.57,  212.79,    4.16,,,,,  428.20,   11.72,2132863129,  439.92,   1156.00,    650.34,   1806.34
  157.54,  214.96,  562.04,  415.73,,,,,  719.58,  630.69,2132851732, 1350.27,  210.83,    6.30,  208.66,    2.90,,,,,  419.50,    9.20,2132843545,  428.70,   1139.08,    639.90,   1778.98
  157.52,  215.23,  560.21,  415.22,,,,,  717.73,  630.45,2132838837, 1348.18,  215.07,    7.87,  212.65,    4.46,,,,,  427.73,   12.33,2132883278,  440.06,   1145.45,    642.78,   1788.24
  156.54,  214.61,  558.72,  414.58,,,,,  715.26,  629.19,2135086193, 1344.45,  224.97,    9.71,  222.65,    6.28,,,,,  447.62,   15.99,2135054135,  463.62,   1162.88,    645.18,   1808.06
  164.42,  234.21,  581.72,  440.11,,,,,  746.14,  674.32,2133278090, 1420.46,  247.41,   16.11,  244.01,   12.67,,,,,  491.42,   28.78,2133210725,  520.20,   1237.56,    703.10,   1940.66
  131.24,  209.02,  470.01,  382.17,,,,,  601.25,  591.20,2132952038, 1192.45,  241.56,   10.98,  238.13,    7.49,,,,,  479.69,   18.47,2132909672,  498.16,   1080.95,    609.67,   1690.61
  126.23,  197.63,  454.93,  366.51,,,,,  581.16,  564.14,2132634600, 1145.30,  229.88,    8.74,  226.86,    5.29,,,,,  456.75,   14.03,2132550195,  470.78,   1037.91,    578.17,   1616.08
  125.44,  195.55,  451.91,  363.15,,,,,  577.35,  558.70,2134517551, 1136.04,  222.93,    7.43,  220.47,    3.97,,,,,  443.40,   11.40,2134618183,  454.80,   1020.75,    570.10,   1590.84
  125.24,  195.20,  451.29,  362.36,,,,,  576.53,  557.57,2132628377, 1134.10,  225.71,    8.29,  222.45,    4.84,,,,,  448.16,   13.13,2132694891,  461.29,   1024.69,    570.69,   1595.39
  124.97,  205.83,  449.16,  372.59,,,,,  574.13,  578.42,2132679380, 1152.55,  238.96,    7.47,  234.51,    4.05,,,,,  473.47,   11.52,2132599372,  484.99,   1047.60,    589.94,   1637.54
  126.01,  226.09,  449.54,  392.99,,,,,  575.55,  619.08,2134737101, 1194.63,  267.97,    8.15,  263.63,    4.69,,,,,  531.60,   12.83,2134785152,  544.43,   1107.15,    631.91,   1739.06
  124.14,  222.48,  443.86,  387.51,,,,,  568.00,  609.99,2132634859, 1177.99,  264.90,    7.22,  261.36,    3.75,,,,,  526.26,   10.97,2132606796,  537.23,   1094.26,    620.96,   1715.22
  124.26,  222.78,  443.67,  387.95,,,,,  567.93,  610.72,2132502075, 1178.65,  265.75,    7.73,  262.23,    4.30,,,,,  527.97,   12.04,2132459522,  540.01,   1095.90,    622.76,   1718.66
  123.28,  221.10,  440.26,  385.06,,,,,  563.53,  606.16,2134574532, 1169.69,  261.59,    7.55,  258.71,    4.13,,,,,  520.30,   11.68,2134550633,  531.98,   1083.83,    617.84,   1701.67
  123.10,  220.39,  439.83,  384.45,,,,,  562.94,  604.84,2132417724, 1167.78,  265.79,    7.90,  262.06,    4.48,,,,,  527.85,   12.38,2132416793,  540.23,   1090.79,    617.22,   1708.01
  128.46,  234.42,  453.17,  402.27,,,,,  581.63,  636.70,2134593288, 1218.33,  310.37,   26.87,  306.24,   23.29,,,,,  616.61,   50.16,2134606513,  666.77,   1198.24,    686.86,   1885.10
  120.26,  220.09,  429.28,  380.82,,,,,  549.55,  600.92,2132497534, 1150.46,  271.76,    8.29,  268.13,    4.84,,,,,  539.89,   13.13,2132465178,  553.02,   1089.43,    614.05,   1703.48
  119.53,  218.42,  426.58,  377.90,,,,,  546.11,  596.31,2132415349, 1142.43,  267.41,    8.83,  263.94,    5.36,,,,,  531.35,   14.20,2132498176,  545.54,   1077.46,    610.51,   1687.97
  120.45,  220.78,  429.35,  381.01,,,,,  549.80,  601.78,2134660700, 1151.58,  267.41,    7.29,  264.59,    3.86,,,,,  532.00,   11.15,2134695260,  543.15,   1081.80,    612.93,   1694.73
  119.30,  218.93,  425.22,  377.76,,,,,  544.52,  596.69,2132555754, 1141.21,  262.51,    7.04,  259.26,    3.67,,,,,  521.77,   10.71,2132539670,  532.48,   1066.29,    607.40,   1673.69
  119.37,  218.45,  426.68,  378.32,,,,,  546.05,  596.77,2132591364, 1142.82,  266.21,    8.18,  263.50,    4.79,,,,,  529.71,   12.97,2132539617,  542.68,   1075.77,    609.74,   1685.51
  118.45,  216.17,  422.98,  374.73,,,,,  541.44,  590.90,2134646985, 1132.34,  269.22,    8.44,  265.72,    5.03,,,,,  534.94,   13.47,2134698062,  548.41,   1076.37,    604.37,   1680.75
  118.91,  217.61,  423.48,  375.95,,,,,  542.39,  593.56,2132513446, 1135.94,  267.56,    7.98,  263.05,    4.58,,,,,  530.60,   12.56,2132466672,  543.16,   1072.99,    606.12,   1679.11
  118.31,  216.11,  422.08,  373.95,,,,,  540.39,  590.06,2134625665, 1130.45,  262.81,    7.06,  258.05,    3.62,,,,,  520.86,   10.67,2134544934,  531.53,   1061.25,    600.73,   1661.98
  118.87,  217.42,  423.56,  375.80,,,,,  542.43,  593.23,2132637977, 1135.66,  262.17,    7.28,  258.92,    3.86,,,,,  521.09,   11.14,2132656520,  532.23,   1063.52,    604.37,   1667.89
  136.09,  250.80,  475.51,  424.57,,,,,  611.60,  675.37,2132903393, 1286.96,  296.40,   19.50,  292.72,   16.03,,,,,  589.11,   35.53,2132970200,  624.64,   1200.71,    710.89,   1911.61
  111.02,  216.70,  396.11,  366.55,,,,,  507.13,  583.26,2132946541, 1090.39,  275.77,    8.21,  273.35,    4.78,,,,,  549.12,   12.99,2133020572,  562.11,   1056.25,    596.24,   1652.49
  109.63,  212.96,  390.49,  360.41,,,,,  500.12,  573.37,2133051129, 1073.49,  268.73,    8.38,  265.86,    4.95,,,,,  534.59,   13.33,2133010770,  547.92,   1034.70,    586.70,   1621.41
  110.25,  214.27,  393.62,  362.78,,,,,  503.87,  577.04,2135055317, 1080.91,  261.62,    6.61,  258.60,    3.18,,,,,  520.22,    9.78,2135016826,  530.01,   1024.09,    586.83,   1610.92
  109.44,  209.50,  391.54,  357.45,,,,,  500.98,  566.96,2132993977, 1067.93,  253.14,    6.88,  249.73,    3.47,,,,,  502.87,   10.35,2132975895,  513.22,   1003.85,    577.31,   1581.15
  109.43,  204.43,  390.95,  352.10,,,,,  500.37,  556.52,2132508834, 1056.90,  253.60,    7.85,  250.20,    4.44,,,,,  503.80,   12.29,2132476965,  516.10,   1004.18,    568.82,   1572.99
  109.21,  204.87,  389.54,  351.67,,,,,  498.75,  556.54,2134583346, 1055.28,  254.28,    7.52,  249.85,    4.07,,,,,  504.12,   11.59,2134864571,  515.72,   1002.87,    568.13,   1571.00
  109.92,  205.87,  392.13,  353.54,,,,,  502.05,  559.41,2132652026, 1061.46,  255.57,    8.01,  251.67,    4.61,,,,,  507.24,   12.62,2132896948,  519.86,   1009.29,    572.04,   1581.32
  109.54,  206.31,  391.76,  354.25,,,,,  501.30,  560.56,2132958296, 1061.86,  254.37,    7.76,  251.02,    4.29,,,,,  505.40,   12.05,2132978991,  517.45,   1006.70,    572.61,   1579.30
  110.01,  206.63,  393.25,  355.06,,,,,  503.25,  561.69,2132980516, 1064.95,  252.22,    7.58,  249.49,    4.12,,,,,  501.71,   11.70,2133008731,  513.41,   1004.97,    573.39,   1578.36
  119.45,  222.68,  426.74,  381.51,,,,,  546.19,  604.19,2134481610, 1150.38,  265.95,   13.33,  261.85,    9.82,,,,,  527.80,   23.16,2137574353,  550.95,   1073.99,    627.34,   1701.33
  124.79,  230.22,  442.45,  393.30,,,,,  567.25,  623.52,2131945160, 1190.76,  280.56,   13.92,  277.10,   10.43,,,,,  557.66,   24.35,2128460875,  582.01,   1124.90,    647.87,   1772.77
  104.54,  204.71,  371.56,  345.53,,,,,  476.10,  550.25,2134714245, 1026.35,  261.55,    9.10,  259.23,    5.70,,,,,  520.78,   14.80,2134522317,  535.57,    996.88,    565.04,   1561.92
  105.53,  206.53,  374.10,  347.93,,,,,  479.62,  554.47,2132389879, 1034.09,  259.68,    8.32,  257.20,    4.85,,,,,  516.88,   13.16,2132368862,  530.05,    996.50,    567.63,   1564.13
  103.77,  203.38,  368.81,  343.10,,,,,  472.59,  546.49,2134477340, 1019.07,  251.40,    6.54,  248.44,    3.11,,,,,  499.83,    9.66,2134511651,  509.49,    972.42,    556.14,   1528.56
