,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-14,20:58:52.668,   55.03,  171.72,  193.62,  250.69,,,,,  248.65,  422.42,     52498,  671.06,  223.14,    5.18,  227.87,    8.50,,,,,  451.01,   13.69,     53417,  464.70,    699.66,    436.11,   1135.76
2024-02-14,20:58:53.668,   47.56,  153.33,  166.78,  222.04,,,,,  214.34,  375.37,     52439,  589.71,  208.44,    1.54,  213.21,    4.86,,,,,  421.65,    6.39,     53361,  428.05,    635.99,    381.77,   1017.75
2024-02-14,20:58:54.668,   46.58,  152.45,  163.53,  220.04,,,,,  210.10,  372.49,     52485,  582.59,  202.40,    1.06,  207.20,    4.39,,,,,  409.60,    5.44,     53462,  415.05,    619.71,    377.93,    997.64
2024-02-14,20:58:55.668,   44.11,  146.92,  154.18,  210.63,,,,,  198.29,  357.55,     52450,  555.84,  197.05,    1.19,  201.78,    4.52,,,,,  398.84,    5.70,     53225,  404.54,    597.12,    363.26,    960.38
2024-02-14,20:58:56.668,   43.43,  146.36,  151.65,  208.44,,,,,  195.07,  354.80,     52489,  549.88,  195.86,    1.47,  200.06,    4.80,,,,,  395.92,    6.27,     53152,  402.19,    590.99,    361.07,    952.06
2024-02-14,20:58:57.668,   41.08,  141.20,  142.45,  199.59,,,,,  183.53,  340.79,     52436,  524.32,  198.19,    1.95,  201.70,    5.25,,,,,  399.89,    7.20,     53243,  407.09,    583.42,    347.99,    931.41
2024-02-14,20:58:58.669,   42.09,  144.28,  145.97,  203.95,,,,,  188.06,  348.24,     52497,  536.30,  196.91,    0.93,  201.22,    4.24,,,,,  398.13,    5.17,     53273,  403.29,    586.19,    353.41,    939.59
2024-02-14,20:58:59.668,   61.13,  179.38,  209.34,  261.74,,,,,  270.47,  441.12,     52474,  711.59,  244.39,   16.93,  249.33,   20.49,,,,,  493.72,   37.42,     53284,  531.14,    764.19,    478.54,   1242.73
2024-02-14,20:59:00.669,   43.00,  147.13,  149.35,  208.51,,,,,  192.35,  355.64,     52497,  547.99,  215.92,    1.45,  220.09,    4.78,,,,,  436.01,    6.23,     53413,  442.24,    628.35,    361.87,    990.23
