,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
31,2113.044738316,631.8053249335,15000.0,9800381999.0,9388441619.0,10381000577.0,10441367206.0,2301244616.0,1912946204.0,1865687162.0,2057118650.0,2071322023.0,458602480.0,7024620.0,7580262.0,7816971.0,7831131.0,1763730.0,7023520.0,7582864.0,7892818.0,7950210.0,1805606.0,2662.0,3518.0,3787.0,3319.0,2219.0,4482630.0,10346689.0,4814244.0,4783065.0,3499276.0,2891778239.0,2891560321.0,2891807543.0,2891590952.0,717225175.0,4745926.0,10977834.0,5213015.0,7777596.0,3338798.0,3021836918.0,2930336958.0,3243587966.0,3262014890.0,700348410.0,2013.0,2300.0,2238.0,2401.0,1597.0,1670856.0,4391531.0,1619345.0,1512415.0,1482577.0,2795578.0,5957161.0,3335841.0,3276169.0,2095996.0
32,2113.1543083005,642.09289987204,17.552,9906387293.0,9414418958.0,10416879547.0,9765311946.0,2300611905.0,1927451843.0,1869132683.0,2062001344.0,1940390497.0,462186898.0,6980119.0,7644753.0,7828040.0,7433358.0,1768022.0,6981562.0,7645297.0,7877462.0,7627624.0,1807990.0,1895.0,3611.0,2316.0,1895.0,2554.0,4490529.0,10529533.0,4954616.0,4797559.0,3463249.0,2891620727.0,2891731792.0,2891605602.0,2721609255.0,722850921.0,4779384.0,10959837.0,5213855.0,7819673.0,3402730.0,3038792540.0,2953257045.0,3262891030.0,3086750090.0,719580909.0,2833.0,1750.0,1901.0,1778.0,3144.0,1695160.0,4408636.0,1618896.0,1508773.0,1544225.0,2782968.0,5867415.0,3223641.0,3263713.0,2047813.0
33,2113.5438978724,648.05988159562,15000.0,9895661535.0,9528545089.0,10494418433.0,10562943381.0,2241322687.0,1925981918.0,1884873391.0,2072106564.0,2088033535.0,453234385.0,6967406.0,7679853.0,7999660.0,8052208.0,1737932.0,6921581.0,7678521.0,7865459.0,7888961.0,1800240.0,2987.0,4251.0,3412.0,3089.0,3817.0,4424752.0,10309001.0,4864739.0,4768137.0,3491352.0,2891826001.0,2891872039.0,2891645559.0,2891741345.0,732253228.0,4739605.0,10811212.0,5164782.0,7413633.0,3363400.0,3013306798.0,2946778397.0,3235504772.0,3255571060.0,731510350.0,2762.0,2114.0,1675.0,1738.0,1763.0,1676545.0,4479405.0,1590319.0,1482612.0,1522279.0,2766579.0,5854292.0,3149352.0,3271637.0,2035740.0
34,2113.0157251242,629.1621930318,15000.0,9684296103.0,9614847037.0,10391682282.0,10449527722.0,2285291081.0,1896544808.0,1867770378.0,2058670913.0,2073333891.0,457724704.0,7065724.0,7639593.0,7820846.0,7835453.0,1759226.0,6924711.0,7643207.0,7822558.0,7838275.0,1803028.0,2922.0,2718.0,3001.0,3056.0,2377.0,4449084.0,10602158.0,4795484.0,4779518.0,3462376.0,2891804681.0,2891794879.0,2891790306.0,2891746354.0,718791254.0,4759786.0,10935033.0,5282473.0,8045266.0,3254926.0,3039097454.0,2932290168.0,3263581787.0,3283694850.0,711007483.0,1960.0,1500.0,1375.0,1888.0,1476.0,1689452.0,4479272.0,1597204.0,1492015.0,1504356.0,2790729.0,5928777.0,3360242.0,3326224.0,2008536.0
35,2113.0337927351,634.68918077618,15000.0,9792413837.0,9031165859.0,10496915207.0,10564170815.0,2288949206.0,1910546897.0,1768563075.0,2072400851.0,2088162839.0,458532189.0,7169670.0,7439999.0,7862682.0,7879894.0,1760338.0,6962222.0,7438639.0,7865665.0,7880745.0,1803335.0,2261.0,2861.0,2169.0,1725.0,2603.0,4489963.0,10482089.0,4949635.0,4821143.0,3428793.0,2891585089.0,2722701781.0,2891434792.0,2891736338.0,718955279.0,4734969.0,10952323.0,5218002.0,7931789.0,3439594.0,3009006307.0,2750634791.0,3231073613.0,3251696286.0,711585722.0,2153.0,2398.0,1903.0,1612.0,1275.0,1612041.0,4446482.0,1580650.0,1470204.0,1438406.0,2751151.0,5895549.0,3157862.0,3204423.0,1807978.0
36,2113.069618158,633.33894794717,29.555,9690344180.0,9620268673.0,10367181683.0,10449898324.0,3730056039.0,1897634217.0,1884427171.0,2053726232.0,2074035176.0,747700142.0,6932268.0,7753840.0,7805095.0,7837281.0,2908076.0,6978773.0,7758001.0,7805924.0,7836965.0,2957253.0,2967.0,3151.0,2955.0,2409.0,2582.0,4531650.0,10502151.0,5179146.0,4863293.0,4840012.0,2891858138.0,2891807051.0,2891801817.0,2891735557.0,1171453910.0,4785969.0,10974969.0,5517142.0,7125317.0,4760115.0,3019262935.0,2931257735.0,3237596585.0,3264459411.0,1196290257.0,1575.0,2438.0,2088.0,1850.0,2245.0,1664592.0,4582127.0,1626023.0,1513080.0,1930168.0,2790148.0,6040485.0,3486304.0,3259348.0,2870280.0
37,2113.3138958263,918.79459781255,7.05,9664567749.0,9675571041.0,10277246159.0,10401426412.0,9751386735.0,1893205360.0,1909320395.0,2035388117.0,2064301063.0,1927020364.0,7083604.0,7610612.0,7892544.0,7973267.0,7507151.0,7090487.0,7614646.0,7892125.0,7973600.0,7508210.0,4006.0,10923.0,4861.0,6422.0,3555.0,4460024.0,9342436.0,5908568.0,4773236.0,8460281.0,2891505586.0,2891296374.0,2891298885.0,2891467577.0,2891333398.0,4648443.0,10024536.0,6245551.0,6554333.0,8546258.0,3024317809.0,2969103723.0,3219310673.0,3261769676.0,3015721015.0,3669.0,11879.0,4247.0,6216.0,2702.0,1500054.0,4282503.0,1531552.0,1465333.0,3425469.0,2782824.0,5139200.0,4175613.0,3149688.0,5033815.0
38,2113.2630213408,2111.724037751,10.087,9816875095.0,9607307107.0,10457066685.0,10595240112.0,9844920577.0,1915758228.0,1895971284.0,2063379968.0,2093464355.0,1904295393.0,6981994.0,7684331.0,7814452.0,7891452.0,7862578.0,6981402.0,7677670.0,7813443.0,7888307.0,7861022.0,2612.0,2532.0,2975.0,2440.0,2550.0,4775080.0,10778373.0,6517137.0,5152400.0,9702648.0,2891814208.0,2891587708.0,2891785692.0,2891754594.0,2891580094.0,5028383.0,11229334.0,6756925.0,7048457.0,9853601.0,3019924018.0,2921254150.0,3241742691.0,3284440183.0,3001906975.0,1311.0,2693.0,1822.0,1805.0,1263.0,1725145.0,4707956.0,1742648.0,1612547.0,3838886.0,2930443.0,6011024.0,4636486.0,3441994.0,5769760.0
39,2113.2151553425,2111.4438797055,13.965,9711720967.0,9287877120.0,10569968585.0,10702404866.0,9857113772.0,1900834265.0,1848852179.0,2047570713.0,2076422791.0,1926569930.0,6940537.0,7793670.0,7768706.0,7837081.0,7527161.0,6942194.0,8127481.0,7773564.0,7837967.0,7527482.0,3644.0,2978.0,3589.0,3714.0,2311.0,4767289.0,10572381.0,6484140.0,5157812.0,9677040.0,2891769447.0,2891703645.0,2891689304.0,2891792439.0,2891555946.0,5018322.0,11204323.0,6795354.0,7065673.0,9849084.0,3043866417.0,2924044340.0,3223939265.0,3265749676.0,3023626672.0,1938.0,1925.0,2138.0,1713.0,2301.0,1726765.0,4722579.0,1734716.0,1607932.0,3832481.0,2956197.0,5980829.0,4649438.0,3431333.0,5845001.0
40,2113.2025054813,2109.9876222818,6.71,9822119421.0,9401481900.0,10568459295.0,10701900761.0,9845055759.0,1917180071.0,1866062537.0,2063500840.0,2092312249.0,1925312878.0,6954381.0,7634599.0,7819226.0,7885130.0,7467672.0,6954953.0,7680400.0,7817340.0,7887000.0,7467719.0,2406.0,2125.0,2791.0,2111.0,2534.0,4788096.0,10731598.0,6518526.0,5145111.0,9686974.0,2891896809.0,2891614368.0,2891863599.0,2891675660.0,2891878875.0,5054252.0,11280590.0,6828974.0,6883142.0,9825356.0,3046043291.0,2944399809.0,3243784105.0,3286297066.0,3000798916.0,1181.0,1789.0,3253.0,3085.0,1751.0,1759573.0,4690700.0,1738072.0,1611368.0,3823209.0,2925926.0,6048735.0,4731353.0,3491927.0,5885693.0
41,2113.3478996986,2111.6167153584,9.254,9827829442.0,9497512974.0,10562755788.0,10228567636.0,9840941940.0,1904239275.0,1880246580.0,2063291428.0,1999541237.0,1938246177.0,6903749.0,7685148.0,7767388.0,7489108.0,7461870.0,6903599.0,7684137.0,7765913.0,7481338.0,7466937.0,3707.0,2490.0,2695.0,2378.0,2861.0,4814718.0,10660504.0,6508151.0,5127259.0,9558452.0,2891944814.0,2891777830.0,2891845678.0,2758515007.0,2891722467.0,4990575.0,11226726.0,6747711.0,7275995.0,9902084.0,3029370989.0,2926133816.0,3225487914.0,3010958335.0,3018985918.0,1726.0,1450.0,2576.0,2388.0,1913.0,1757712.0,4598664.0,1703162.0,1572245.0,3864485.0,2985570.0,5966871.0,4721001.0,3480860.0,5843557.0
42,2113.096509935,2109.990594736,11.005,9933686897.0,9394250696.0,10571278269.0,10707312145.0,9842681839.0,1901686773.0,1866689304.0,2081177788.0,2111137232.0,1938637212.0,6865496.0,7629457.0,7956557.0,7997173.0,7527801.0,6868091.0,7633709.0,7954820.0,7996557.0,7527545.0,2541.0,3261.0,3051.0,2256.0,1921.0,4812717.0,10679595.0,6457948.0,5118317.0,9684642.0,2891590407.0,2891615680.0,2891635325.0,2891648875.0,2891405375.0,5043332.0,11272477.0,6798136.0,6748889.0,9852556.0,3046420360.0,2939270801.0,3243129292.0,3286763221.0,2995770178.0,2028.0,1500.0,2301.0,1913.0,2792.0,1773719.0,4669103.0,1739329.0,1608859.0,3824097.0,2971980.0,6031352.0,4761810.0,3527966.0,5843008.0
43,2113.0824500257,2109.7982669525,9.021,9930331324.0,9401078852.0,10567406752.0,10701923707.0,9720092483.0,1919090109.0,1866295212.0,2079966767.0,2109803312.0,1921635900.0,6975335.0,7718784.0,7825291.0,7893683.0,7504334.0,6974252.0,7670804.0,7824026.0,7893457.0,7462128.0,2331.0,1944.0,2861.0,1975.0,3679.0,4799582.0,10695212.0,6478781.0,5117543.0,9636121.0,2891844950.0,2891579165.0,2891555727.0,2891566059.0,2891786001.0,5008045.0,11218326.0,6767159.0,6810690.0,9877599.0,3021190749.0,2926040778.0,3220868614.0,3264490042.0,2998408717.0,3056.0,1278.0,2764.0,2667.0,1650.0,1780048.0,4611908.0,1751069.0,1621118.0,3825024.0,3006923.0,5929929.0,4784949.0,3536262.0,5829888.0
44,2113.4594456503,2111.1271109351,12.025,9881507600.0,6754990497.0,10405021553.0,10536737740.0,9618374516.0,1922536383.0,1345349187.0,2053892069.0,2083126632.0,1905915689.0,6856966.0,5668144.0,7783073.0,7848067.0,7777953.0,6856533.0,5669894.0,7912288.0,7792374.0,7509108.0,2734.0,3500.0,2990.0,2912.0,2076.0,4722709.0,10709284.0,6457977.0,5097838.0,9754251.0,2891813540.0,2095544254.0,2891799909.0,2891646810.0,2891605432.0,5020217.0,11163377.0,6789723.0,7036196.0,9986649.0,3011039428.0,2094494318.0,3209327863.0,3250507856.0,3017301272.0,2188.0,1488.0,2563.0,1938.0,2341.0,1720264.0,4773685.0,1712784.0,1582478.0,3821629.0,2993599.0,5842737.0,4719965.0,3471534.0,5899287.0
