,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
10,2113.1020663554,2110.5512128864,7.683,8357717842.0,9497877167.0,10143438378.0,10446851339.0,9737864255.0,1621495818.0,1887875888.0,2010511885.0,2074131384.0,1932296285.0,5882835.0,7797591.0,7685670.0,7797120.0,7529459.0,5885854.0,7790566.0,7690564.0,7800880.0,7546351.0,15382.0,3634.0,3230.0,2522.0,2195.0,4544239.0,10077807.0,5715922.0,4915261.0,7555252.0,2479372870.0,2891664736.0,2891867023.0,2891807172.0,2891704055.0,4555843.0,10721136.0,5897537.0,5222445.0,8355959.0,2559500555.0,2964559858.0,3186305582.0,3285377176.0,3063034522.0,1688.0,1525.0,2151.0,1650.0,1150.0,1502329.0,4422143.0,1595749.0,1598416.0,3060509.0,2808336.0,5709769.0,4112398.0,3318459.0,4695178.0
11,2113.0685581765,2099.4113416247,14.24,4759358782.0,9675325708.0,10328789727.0,10636073980.0,10043917364.0,915599311.0,1916083746.0,2039621913.0,2103440562.0,1982100953.0,3339907.0,7878404.0,7893862.0,7885888.0,7643508.0,3274342.0,7800499.0,7892484.0,7886569.0,7644709.0,12065.0,2001.0,2435.0,1938.0,2036.0,2929497.0,9522203.0,5610566.0,4807373.0,7171477.0,1424332904.0,2891764881.0,2891988554.0,2891927281.0,2891787405.0,3154914.0,9865950.0,5694814.0,5035579.0,7743769.0,1418728534.0,2983113733.0,3186205784.0,3281873300.0,3108442294.0,10421.0,1153.0,2681.0,1556.0,1459.0,887200.0,3939388.0,1563514.0,1541508.0,2883115.0,2327902.0,5235240.0,3850578.0,3094919.0,4187986.0
12,2113.2198029911,2005.3668331574,11.315,4829747633.0,9565999074.0,9604901993.0,10528083721.0,10069890592.0,926353101.0,1899733375.0,1897893525.0,2086957817.0,1953822526.0,3320477.0,8054762.0,7245605.0,7839516.0,7562981.0,3365954.0,8062439.0,7233094.0,7839004.0,7561807.0,12102.0,3054.0,3047.0,2683.0,2673.0,3075466.0,9483470.0,5582751.0,4793617.0,7162695.0,1445396824.0,2891688467.0,2703109004.0,2891866826.0,2891849054.0,3048433.0,10009263.0,5707286.0,5054309.0,7872943.0,1459933118.0,2972823784.0,2969280528.0,3276955188.0,3067268993.0,10225.0,1850.0,2113.0,1738.0,1428.0,910495.0,4178951.0,1602183.0,1584129.0,2976976.0,2010618.0,5426457.0,3979520.0,3227019.0,4506092.0
13,2112.4446900579,1960.3387917529,9.462,4889454523.0,9550003274.0,10223254598.0,10531915317.0,10158521709.0,936290393.0,1896188351.0,2022518150.0,2086401963.0,1970248507.0,3386830.0,7893149.0,7716185.0,7834362.0,7790794.0,3391884.0,7885656.0,7714949.0,7833469.0,7777482.0,6732.0,2767.0,3161.0,2645.0,3219.0,3099851.0,9614638.0,5650507.0,4821018.0,7512552.0,1451632973.0,2891797691.0,2891896948.0,2891704060.0,2891798371.0,3147962.0,10102127.0,5701503.0,5036053.0,7604357.0,1471831372.0,2995962402.0,3221818222.0,3321728554.0,3109443400.0,4946.0,1763.0,1626.0,1188.0,1425.0,933749.0,3982530.0,1548635.0,1528498.0,2589280.0,2231425.0,5270990.0,4077739.0,3322968.0,4262374.0
14,2113.0393397243,1909.3668860674,10.899,4803117232.0,9662130870.0,10432967729.0,10749086138.0,10115461759.0,929922535.0,1903002988.0,2039046818.0,2104357070.0,1995845161.0,3382939.0,7828388.0,7963200.0,7883745.0,7638726.0,3332709.0,7822814.0,7964207.0,7883744.0,7637948.0,5149.0,2846.0,2386.0,2261.0,2135.0,3082768.0,9636503.0,5693329.0,4865481.0,7279626.0,1439738001.0,2891758145.0,2891896265.0,2891866131.0,2891927689.0,3242469.0,9996669.0,5724856.0,5068327.0,7861713.0,1505210295.0,2975437386.0,3176809298.0,3275190792.0,3080352129.0,3847.0,1640.0,2446.0,1904.0,2167.0,891606.0,4057859.0,1621019.0,1600103.0,2917775.0,2085367.0,5278228.0,3913397.0,3129417.0,4442229.0
15,2113.3169766817,1936.2783191412,16.208,4866198183.0,9542016075.0,10430958886.0,10751329303.0,10142998421.0,929537797.0,1893945093.0,2021097279.0,2086238496.0,1995660570.0,3345504.0,7821721.0,7863891.0,7831721.0,7735150.0,3360771.0,7825045.0,7864809.0,7832797.0,7731217.0,4442.0,4301.0,2434.0,2706.0,2378.0,3067009.0,9330674.0,5656057.0,4829119.0,7262943.0,1436386719.0,2891832409.0,2891969673.0,2891997485.0,2891992226.0,3232741.0,10085790.0,5660652.0,4992672.0,7536424.0,1455673516.0,2988886328.0,3180728743.0,3278738474.0,3086118069.0,4642.0,1375.0,1782.0,1959.0,2438.0,915734.0,4081870.0,1612617.0,1574639.0,2785997.0,1960458.0,5430176.0,3958351.0,3163996.0,4120338.0
16,2113.0957090124,1921.0322129219,6.765,4963231140.0,9657174294.0,10418154335.0,10739442555.0,10074733977.0,948673598.0,1910529944.0,2037647167.0,2103946068.0,1980350363.0,3413888.0,7737994.0,7756975.0,7879892.0,7612115.0,3400035.0,7741187.0,7760371.0,7882413.0,7618772.0,3891.0,2961.0,2341.0,2031.0,2521.0,3136384.0,9571186.0,5662395.0,4835399.0,7103850.0,1460812993.0,2891724078.0,2891770401.0,2891835299.0,2891805316.0,3141667.0,10186209.0,5749044.0,5079175.0,7773579.0,1536077071.0,2987979351.0,3199496674.0,3297641109.0,3095471470.0,3837.0,1563.0,3545.0,2981.0,3775.0,920011.0,4146488.0,1624456.0,1606340.0,2975979.0,2258336.0,5343446.0,3980959.0,3193241.0,4317067.0
17,2113.308616569,1921.8365182859,21.962,4785369842.0,9784718374.0,10420342440.0,10088432469.0,9952293403.0,933950685.0,1904057168.0,2053304251.0,1990608916.0,1965119789.0,3352042.0,7682013.0,7727347.0,7391926.0,7604576.0,3345743.0,7682361.0,7732640.0,7397016.0,7578459.0,8202.0,9400.0,3257.0,5148.0,2484.0,3071274.0,9478551.0,5407514.0,4635484.0,6688563.0,1446627756.0,2891764686.0,2891796316.0,2707969129.0,2891679791.0,3273755.0,9927533.0,5687120.0,5009693.0,7788511.0,1493181684.0,2971388795.0,3107766161.0,2840471076.0,3054096467.0,2966.0,3909.0,3535.0,3841.0,2188.0,886373.0,4180876.0,1609575.0,1587332.0,2975428.0,1797753.0,5322017.0,3973689.0,3187869.0,4471276.0
18,2112.9493147418,1894.9762840196,10.777,4625638162.0,9793282161.0,10441277718.0,10727559313.0,9931426232.0,865027077.0,1900333448.0,2055159577.0,2114541818.0,1963604861.0,3209506.0,7748531.0,7902713.0,7853037.0,7702928.0,3080133.0,7749343.0,7900219.0,7849165.0,7573938.0,19638.0,15722.0,4926.0,7085.0,3354.0,2848018.0,9098490.0,5333987.0,4630781.0,6840679.0,1446037377.0,2891836824.0,2891514642.0,2891649882.0,2891321545.0,2967512.0,9400599.0,5426190.0,4841250.0,7134311.0,1377786648.0,2995274469.0,3196977742.0,3286191583.0,3102342386.0,15303.0,13629.0,3675.0,5313.0,2101.0,848132.0,3769864.0,1537385.0,1487167.0,2627409.0,2085945.0,5017103.0,3649680.0,3011752.0,3872028.0
19,2112.8550772821,1982.6720024908,6.295,4924767792.0,9725707567.0,10413582599.0,10733591831.0,9975959062.0,943451178.0,1921212029.0,2051285748.0,2117250909.0,1977997299.0,3386150.0,7867879.0,7809157.0,7932863.0,7638164.0,3352915.0,7869889.0,7764785.0,7886753.0,7685756.0,6051.0,2571.0,2366.0,1751.0,1760.0,3012830.0,9629655.0,5624807.0,4809360.0,7241670.0,1443149067.0,2891843506.0,2891848797.0,2891897378.0,2891906995.0,3330866.0,10055034.0,5684288.0,5008282.0,7776227.0,1503077339.0,2956528080.0,3184205192.0,3281154611.0,3082746282.0,7615.0,2347.0,2681.0,2445.0,1445.0,911131.0,4155004.0,1611318.0,1594450.0,2891647.0,2009695.0,5419534.0,3972832.0,3174118.0,4624514.0
