Unnamed: 0,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,429.42547614564,398.0893158782,15.428,9720476009.0,9405181613.0,10454120755.0,10473325388.0,9680502090.0,1907425672.0,1872652275.0,2052123119.0,2079137984.0,1926006299.0,6945938.0,7735982.0,7805918.0,7840308.0,7500940.0,6950171.0,7677050.0,7813640.0,7886294.0,7505822.0,4485.0,4157.0,5004.0,4070.0,3990.0,4744701.0,10693212.0,6307587.0,5131327.0,9548850.0,2893035264.0,2892786436.0,2893173622.0,2892899045.0,2892897178.0,5025057.0,11147550.0,6820842.0,6754579.0,9832855.0,3047060422.0,2948439666.0,3241697589.0,3284243807.0,3023475964.0,1813.0,2376.0,1814.0,1801.0,5828.0,1725382.0,4634181.0,1734795.0,1579920.0,3737329.0,2976658.0,6018772.0,4639650.0,3529356.0,5710953.0
1,1949.3388730713,2110.7074197871,8.95,9831879541.0,9509039843.0,10559865271.0,10590755146.0,9759740633.0,1918630989.0,1881937226.0,2063494378.0,2094467832.0,1927511388.0,6982785.0,7666072.0,7852840.0,7890001.0,7531423.0,6984429.0,7668167.0,7854342.0,7893027.0,7532284.0,2526.0,3886.0,2966.0,2600.0,2931.0,4719836.0,10559995.0,6466343.0,5067325.0,9493370.0,2891985509.0,2891629447.0,2892386449.0,2891876487.0,2891563880.0,5000168.0,11100656.0,6724620.0,7125146.0,9773635.0,3025896619.0,2924902759.0,3216474420.0,3259454536.0,3002050368.0,1445.0,1320.0,2906.0,2084.0,1084.0,1745726.0,4580293.0,1743950.0,1560785.0,3762933.0,2938749.0,5937736.0,4674646.0,3475825.0,5686125.0
2,2112.9823378517,2110.5693123811,15.283,9713599062.0,9377884463.0,10569108697.0,10440609278.0,9641702967.0,1899347991.0,1863415603.0,2046516603.0,2072361948.0,1907694108.0,6871619.0,7601560.0,7952733.0,7820134.0,7622268.0,6876083.0,7605046.0,7953105.0,7822091.0,7624305.0,2817.0,2092.0,3390.0,3482.0,2195.0,4759951.0,10619647.0,6543378.0,5086594.0,9634145.0,2891800764.0,2891497801.0,2891874990.0,2819974238.0,2891687718.0,4978206.0,11183248.0,6772997.0,6853781.0,9824821.0,3049048088.0,2907650415.0,3226056167.0,3101359400.0,3019503475.0,1401.0,1400.0,2113.0,1438.0,1576.0,1746841.0,4626773.0,1718510.0,1568986.0,3828364.0,2956195.0,5921459.0,4726595.0,3444223.0,5766608.0
3,2112.7234635317,2109.7579980001,7.299,9939056703.0,9506664206.0,10557354002.0,4678122024.0,9613500102.0,1918889015.0,1883063508.0,2078718505.0,926193395.0,1878541766.0,6929945.0,7647809.0,7838597.0,3562545.0,7357757.0,6932495.0,7648501.0,7840775.0,3563138.0,7361107.0,2346.0,2481.0,2821.0,2281.0,1871.0,4762598.0,10579758.0,6599253.0,4893174.0,10082011.0,2891914742.0,2891665532.0,2891939039.0,1293693481.0,2891861415.0,5029372.0,11092017.0,6944267.0,5775273.0,10295377.0,3048460057.0,2930680220.0,3242249192.0,1442450958.0,2948428904.0,2949.0,2081.0,3407.0,2410.0,2685.0,1719819.0,4399026.0,1696079.0,1454698.0,4054681.0,2863291.0,5760903.0,4842715.0,3238221.0,5702339.0
4,2113.1621332994,2111.3184501947,13.414,9940064520.0,9426231747.0,10347235477.0,4634950432.0,9626807319.0,1904962046.0,1869612910.0,2037565805.0,919377933.0,1867814996.0,7096346.0,7807347.0,7632227.0,3541062.0,7698232.0,7100122.0,7809667.0,7658402.0,3540114.0,7704433.0,3060.0,2559.0,3481.0,3170.0,2717.0,4765061.0,10436470.0,6566801.0,4807759.0,10096820.0,2891897256.0,2891643973.0,2890787389.0,1293716001.0,2891836246.0,4967750.0,11011051.0,6898298.0,5716300.0,10181396.0,3025208820.0,2944075994.0,3222233878.0,1451926573.0,2928430912.0,2372.0,1679.0,3199.0,1695.0,2317.0,1725372.0,4570394.0,1689680.0,1508686.0,4062025.0,2962416.0,5896009.0,4841785.0,3281081.0,5929688.0
5,2113.0597375071,2109.8834924074,10.557,9943399209.0,9519599897.0,10552762998.0,4678158250.0,9621331035.0,1919675555.0,1868055699.0,2078042204.0,917410640.0,1881184242.0,7022067.0,7589340.0,7832510.0,3537978.0,7502303.0,7022716.0,7593203.0,7967593.0,3540700.0,7501052.0,3804.0,3361.0,3697.0,3444.0,3006.0,4744679.0,10650271.0,6496398.0,4918982.0,9991805.0,2891903189.0,2891702249.0,2832181950.0,1293699758.0,2891799509.0,5035785.0,11100626.0,6928644.0,5854729.0,10334581.0,3047002397.0,2946438437.0,3174366050.0,1451282645.0,2946340471.0,3301.0,1864.0,2088.0,1376.0,1876.0,1749617.0,4598448.0,1709385.0,1521547.0,4111721.0,2988925.0,5821768.0,4888818.0,3247681.0,5973365.0
6,2113.3203661363,2110.9010505826,18.314,9929594466.0,9659513274.0,10443231620.0,4722067007.0,9645397634.0,1931392350.0,1893336745.0,2062335130.0,924648704.0,1899211925.0,6926837.0,7663092.0,7842060.0,3559609.0,7376888.0,6933332.0,7665308.0,7977570.0,3560241.0,7386127.0,3356.0,6531.0,3586.0,4416.0,2536.0,4417206.0,9741531.0,6130842.0,4551377.0,9108278.0,2891700314.0,2891590308.0,2891797046.0,1293663147.0,2891633827.0,4798291.0,10449975.0,6496000.0,5657264.0,9666445.0,3021950931.0,2937075668.0,3221113835.0,1436635780.0,2936455549.0,3598.0,6427.0,2409.0,4043.0,2848.0,1699462.0,4499510.0,1658856.0,1493924.0,3981157.0,2952913.0,5609069.0,4774471.0,3192916.0,5776866.0
7,2113.0003405689,2110.8753354162,7.136,9808132602.0,9582783692.0,10281294719.0,4666052574.0,9150409983.0,1913267142.0,1866855906.0,2022043339.0,908588147.0,1809433145.0,7384186.0,7485085.0,7716723.0,3504223.0,7140726.0,7393114.0,7481563.0,7722347.0,3502845.0,7135043.0,4173.0,32871.0,5296.0,4774.0,3356.0,4434518.0,9765946.0,6096936.0,4619507.0,8998192.0,2891613610.0,2891719309.0,2891741576.0,1293680212.0,2779442547.0,4730562.0,10096409.0,6448480.0,5470713.0,9300140.0,3020627253.0,2953386645.0,3179781106.0,1426093857.0,2765611227.0,2875.0,7714.0,2963.0,4251.0,3150.0,1628151.0,4372004.0,1572454.0,1465986.0,3734813.0,2916033.0,5576896.0,4609743.0,3233174.0,5554576.0
8,2113.3199472457,2110.0909801987,20.618,9790860916.0,9611123146.0,10332177735.0,4734481230.0,9511651347.0,1913209895.0,1897927539.0,2047527772.0,934580847.0,1879334409.0,6962719.0,7648070.0,7876639.0,3565059.0,7358202.0,6971159.0,7648493.0,7926208.0,3565825.0,7368950.0,2281.0,3341.0,2456.0,1980.0,3336.0,4777497.0,10627210.0,6627598.0,4894020.0,10085376.0,2891795395.0,2891779743.0,2891852075.0,1293706119.0,2891846393.0,5013188.0,11057917.0,6932450.0,5879763.0,10282064.0,3048425499.0,2950479889.0,3246521810.0,1453058362.0,2952367282.0,2282.0,2513.0,2151.0,2101.0,1784.0,1749928.0,4602096.0,1654955.0,1521712.0,4123098.0,2985538.0,6024478.0,4915765.0,3354444.0,5965383.0
9,2113.2352840312,2110.4748344109,14.496,9832588112.0,9611596800.0,10452780289.0,4731393328.0,9509738070.0,1918767979.0,1897673117.0,2063467753.0,933998639.0,1878751703.0,7038169.0,7598558.0,7797774.0,3542211.0,7500095.0,6881331.0,7594041.0,7798363.0,3542066.0,7693083.0,2806.0,3051.0,3018.0,2341.0,2254.0,4718813.0,10500853.0,6564890.0,4839965.0,9942952.0,2891478461.0,2891644053.0,2891654757.0,1293528522.0,2891646305.0,5018194.0,11032046.0,6924028.0,5913534.0,10266970.0,3023303629.0,2924811760.0,3217401055.0,1439926554.0,2922789998.0,2309.0,2750.0,2153.0,2528.0,1613.0,1738827.0,4640832.0,1666937.0,1531977.0,4085412.0,3010941.0,5970620.0,4897512.0,3329626.0,6016716.0
10,2113.3243995077,2110.9071428805,10.102,9707273244.0,9597974026.0,10325656587.0,4725298310.0,9401713135.0,1901044932.0,1895096584.0,2045486704.0,932885341.0,1863491704.0,7160989.0,7635332.0,8052166.0,3560294.0,7716264.0,6910633.0,7582213.0,8051302.0,3536993.0,7357310.0,2795.0,2451.0,2796.0,2451.0,2846.0,4755310.0,10567550.0,6602213.0,4882133.0,10028727.0,2891565905.0,2891710638.0,2891529475.0,1293687681.0,2891521640.0,5026051.0,11132495.0,7000710.0,5896842.0,10353989.0,3048067389.0,2947579583.0,3243612311.0,1452132876.0,2949831231.0,1613.0,1963.0,1638.0,2025.0,1100.0,1722105.0,4633056.0,1677121.0,1528519.0,4070561.0,3002410.0,6004329.0,4872574.0,3350926.0,6007998.0
11,2113.2297462653,2109.9958801137,12.487,9838480058.0,9515869270.0,10451829138.0,4681472653.0,9526259708.0,1919820725.0,1884613172.0,2064508995.0,926971066.0,1881353984.0,6935414.0,7653171.0,7810860.0,3562458.0,7364731.0,6935427.0,7658898.0,7813337.0,3564450.0,7366869.0,2401.0,3386.0,2461.0,2036.0,1901.0,4706716.0,10540547.0,6557162.0,4847382.0,9934535.0,2891918056.0,2891570425.0,2891826745.0,1293700903.0,2891827949.0,4991799.0,11111726.0,6917771.0,5754621.0,10236707.0,3027956010.0,2927867364.0,3226115457.0,1443334741.0,2929446028.0,1584.0,1966.0,2000.0,1979.0,1556.0,1699742.0,4649327.0,1653006.0,1534042.0,3986393.0,3030542.0,6030036.0,4770464.0,3366090.0,6008459.0
12,2113.2017403993,2110.6132041374,15.076,9729034904.0,9403179971.0,10350750874.0,4628651430.0,9413280643.0,1903807701.0,1866835760.0,2048879370.0,918607437.0,1864074077.0,6867613.0,7736451.0,7775333.0,3537953.0,7318200.0,6867177.0,7594695.0,7775272.0,3540953.0,7318670.0,2904.0,2494.0,3333.0,2659.0,2490.0,4742415.0,10501316.0,6601178.0,4835903.0,9984396.0,2891891437.0,2891648151.0,2891934942.0,1293555030.0,2891377406.0,4998256.0,11046239.0,6916806.0,5690517.0,10256583.0,3025238061.0,2923701480.0,3243553549.0,1441295711.0,2928715005.0,1425.0,1650.0,1763.0,1438.0,1288.0,1744571.0,4559842.0,1707964.0,1509991.0,4086466.0,2971705.0,5993273.0,4917400.0,3318635.0,5927702.0
13,2112.7720682835,2110.2679755418,10.377,9708283758.0,9383750279.0,10459470774.0,4616873003.0,9389462717.0,1899975801.0,1864009933.0,2044606100.0,916969714.0,1861024772.0,6860917.0,7580145.0,7922006.0,3534186.0,7494251.0,6863214.0,7627945.0,7919149.0,3556581.0,7494755.0,2909.0,3218.0,3590.0,2781.0,2645.0,4742152.0,10484194.0,6619832.0,4854331.0,9954644.0,2891838813.0,2891660738.0,2891992271.0,1293692670.0,2891741015.0,4999915.0,10970460.0,6906613.0,5794531.0,10215648.0,3045784614.0,2948998097.0,3240435760.0,1451010944.0,2949148783.0,1814.0,1775.0,1913.0,1613.0,1488.0,1686456.0,4458208.0,1696842.0,1477089.0,3981632.0,2925040.0,5983713.0,4759861.0,3335531.0,5774266.0
14,2113.2630352096,2111.3388628191,20.192,9071654959.0,9509399664.0,10567361922.0,4683258851.0,9508031962.0,1786564129.0,1882924133.0,2064858963.0,926808504.0,1877755860.0,6492538.0,7649078.0,7820252.0,3613460.0,7346598.0,6550259.0,7651694.0,7819357.0,3614361.0,7347038.0,2271.0,2324.0,2406.0,2084.0,2036.0,4719284.0,10522196.0,6653147.0,4860105.0,9963435.0,2772070040.0,2891709969.0,2891915196.0,1293629385.0,2891624459.0,4997680.0,11091398.0,6915361.0,5880261.0,10251859.0,2909774560.0,2927999164.0,3223194618.0,1441862774.0,2945844389.0,1695.0,1625.0,2449.0,1487.0,1334.0,1704975.0,4478550.0,1714413.0,1484903.0,4012541.0,2944820.0,6039901.0,4798943.0,3368437.0,5814778.0
15,2113.1267456532,2110.356916504,14.416,9839711379.0,9402238895.0,10566107764.0,4626901303.0,9518122871.0,1904194151.0,1866887681.0,2063846823.0,918652901.0,1865397009.0,6874917.0,7591546.0,7788686.0,3536954.0,7305123.0,6875528.0,7592512.0,7789267.0,3537468.0,7305698.0,2906.0,2364.0,3573.0,2470.0,2317.0,4792669.0,10513464.0,6646123.0,4845532.0,10138295.0,2891948249.0,2891616702.0,2891862388.0,1282575690.0,2891885469.0,4982601.0,10968361.0,6911817.0,5948771.0,10221924.0,3030986813.0,2949510908.0,3222369926.0,1451619362.0,2929786775.0,1513.0,1613.0,2325.0,1313.0,1125.0,1741866.0,4541164.0,1700326.0,1500474.0,4115946.0,2965707.0,5964277.0,4888286.0,3313141.0,5891115.0
16,2113.1458303013,2110.6943036724,16.723,9242152795.0,9524782852.0,10573942685.0,4680633354.0,9636548384.0,1782704911.0,1886219282.0,2081059855.0,926664840.0,1883608382.0,6425204.0,7650763.0,7845294.0,3563359.0,7361570.0,6426427.0,7652264.0,7844823.0,3562945.0,7359600.0,3432.0,3621.0,2771.0,2571.0,2010.0,4433727.0,10369703.0,6546175.0,4835532.0,9846431.0,2689028649.0,2891738033.0,2891753646.0,1293712345.0,2891460079.0,4717115.0,10890028.0,6857930.0,5722725.0,9953726.0,2788145503.0,2932195599.0,3246193213.0,1444055612.0,2958248115.0,1141.0,1638.0,3686.0,2840.0,2989.0,1610491.0,4444111.0,1699948.0,1499619.0,4008771.0,2740837.0,5822869.0,4846492.0,3277697.0,5697150.0
17,2113.2152011664,2100.7241265811,12.326,4380286273.0,9464864197.0,10564790857.0,4633938837.0,9809315847.0,796897578.0,1879945683.0,2078821603.0,920555280.0,1909951038.0,2944535.0,7687247.0,7806039.0,3547435.0,7364113.0,2743088.0,7685167.0,7812646.0,3545395.0,7368240.0,30264.0,19600.0,6337.0,7476.0,3799.0,2514502.0,8917858.0,5555677.0,4471223.0,7931728.0,1433350132.0,2890704269.0,2891398916.0,1293563992.0,2891436613.0,2679966.0,9307763.0,6146115.0,5325529.0,8224954.0,1301152452.0,2959472176.0,3218974742.0,1447130131.0,2980737102.0,46235.0,15107.0,4580.0,6589.0,2661.0,664195.0,3972701.0,1554399.0,1461397.0,3250965.0,1776533.0,5055366.0,4344695.0,3022817.0,4911060.0
18,2112.9758495145,2065.394924626,17.056,4759709522.0,9681204269.0,10478967938.0,4754322407.0,9790976753.0,925263004.0,1878666799.0,2069799759.0,922828987.0,1928095131.0,3303875.0,7633644.0,7838377.0,3555053.0,7348864.0,3310338.0,7640324.0,7789479.0,3556021.0,7347695.0,15304.0,5812.0,3561.0,3476.0,3695.0,2871964.0,9984092.0,6383306.0,4800688.0,8997432.0,1444968004.0,2891859335.0,2891614399.0,1293522637.0,2891725261.0,3056179.0,10537490.0,6741251.0,5802258.0,9334054.0,1469956227.0,2964588411.0,3255410915.0,1458312231.0,3000753523.0,14507.0,1900.0,2325.0,1963.0,1313.0,870641.0,4242440.0,1676742.0,1528243.0,3589781.0,1919639.0,5544159.0,4656239.0,3143787.0,5305809.0
19,2113.0419566493,1980.4967507982,6.845,4785466184.0,9696795309.0,10495753976.0,4760847911.0,9844840202.0,913620207.0,1897834489.0,2073262079.0,931868798.0,1938179402.0,3437005.0,7699752.0,7840058.0,3580840.0,7418163.0,3484012.0,7701045.0,8000475.0,3581668.0,7408952.0,9325.0,3231.0,2456.0,2056.0,1661.0,2870543.0,10018595.0,6351581.0,4762884.0,9184356.0,1435718152.0,2891827870.0,2891899445.0,1293710757.0,2891902023.0,2990007.0,10410320.0,6660330.0,5648163.0,9163801.0,1410761215.0,2948455518.0,3236771200.0,1450819664.0,2996168488.0,6955.0,2774.0,1883.0,2969.0,2431.0,860660.0,4315846.0,1676894.0,1545174.0,3794373.0,1996316.0,5688209.0,4737569.0,3213550.0,5391307.0
20,2112.7892246744,1954.9664855493,14.33,4855903210.0,9069146559.0,10341292433.0,4747884233.0,9775407772.0,946776606.0,1775223834.0,2048203695.0,930140315.0,1923433247.0,3379426.0,7189167.0,7760638.0,3546332.0,7546435.0,3422523.0,7180072.0,7814394.0,3546762.0,7493947.0,6838.0,4275.0,3961.0,3056.0,2117.0,2877861.0,10119323.0,6388991.0,4850310.0,9011762.0,1454913967.0,2703183631.0,2891923881.0,1293699013.0,2891638307.0,2981141.0,10524507.0,6768114.0,5797766.0,9468623.0,1487651657.0,2744925884.0,3223092779.0,1446228534.0,2978489996.0,4694.0,2738.0,2438.0,2050.0,1363.0,882071.0,4297505.0,1657783.0,1537924.0,3808376.0,2093599.0,5678146.0,4723783.0,3215777.0,5256622.0
21,2113.1175334797,1934.5020577313,10.544,4867064531.0,9670094748.0,10392763220.0,4753925470.0,9610034543.0,945829739.0,1908159847.0,2057934263.0,938093907.0,1900951188.0,3303182.0,7686865.0,7781444.0,3572712.0,7352353.0,3355225.0,7685580.0,7781057.0,3572991.0,7380863.0,6981.0,4824.0,2703.0,2255.0,1990.0,2903405.0,9978534.0,6400183.0,4759481.0,9187806.0,1458051007.0,2891684994.0,2891802842.0,1293650012.0,2891830431.0,3074535.0,10530736.0,6729200.0,5748245.0,9282636.0,1464354780.0,2959483687.0,3259012111.0,1458579970.0,3004261160.0,6747.0,3702.0,1675.0,2738.0,1717.0,876619.0,4203292.0,1628349.0,1538850.0,3493495.0,1898365.0,5683437.0,4641582.0,3206849.0,5180438.0
