Unnamed: 0,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,436.82345759531,400.85315520317,176.23,9900352823.0,9560910504.0,9972569300.0,9885644058.0,9369254884.0,1970474297.0,1899400097.0,1976587621.0,1927867148.0,1864123140.0,8086386.0,7599458.0,7604226.0,7610813.0,7293513.0,8080383.0,7601666.0,7605144.0,7613396.0,7293378.0,4724.0,5732.0,5446.0,5125.0,3938.0,8558662.0,10998441.0,7433386.0,9040481.0,10547718.0,2892905184.0,2892772573.0,2892835156.0,2892644807.0,2892759255.0,9433673.0,11885506.0,7778005.0,10189389.0,10964886.0,3119674020.0,2983423251.0,3128212463.0,3027776785.0,2933048467.0,2264.0,3526.0,2714.0,2514.0,975.0,3134906.0,4454949.0,2481271.0,2497825.0,3175684.0,5411746.0,6347967.0,4811241.0,6752599.0,7266488.0
1,1870.2540013418,2052.7269071113,122.137,10102177143.0,9650967667.0,10098607258.0,9882438067.0,9507452775.0,1978641576.0,1910915597.0,1992726898.0,1949007603.0,1860674539.0,7733112.0,7652884.0,7829858.0,7456461.0,7304132.0,7734807.0,7655803.0,7832129.0,7458278.0,7307726.0,2501.0,3391.0,2896.0,2731.0,1625.0,8617800.0,10879339.0,7377011.0,9149552.0,10633744.0,2891826956.0,2891869264.0,2891725524.0,2892270354.0,2891905308.0,9362138.0,11697654.0,7686272.0,10050080.0,10876525.0,3081004577.0,2967436104.0,3107282332.0,3008758248.0,2897614865.0,1987.0,2792.0,2265.0,2876.0,1403.0,3137269.0,4417897.0,2467347.0,2499943.0,3179734.0,5362879.0,6343633.0,4801184.0,6741622.0,7289259.0
2,2113.2070778983,2109.2468376638,124.307,10102129772.0,9519982672.0,9979697842.0,9875597405.0,9503649643.0,1960161659.0,1891183771.0,1975957574.0,1948809666.0,1842328909.0,7807668.0,7599395.0,7590302.0,7439332.0,7235589.0,7811849.0,7601536.0,7590378.0,7439863.0,7238939.0,2678.0,3673.0,3134.0,2706.0,2634.0,8620785.0,10873690.0,7349892.0,9130159.0,10639929.0,2891929597.0,2891916061.0,2891744669.0,2891824720.0,2892119556.0,9406521.0,11792431.0,7728717.0,10132027.0,10919560.0,3077619458.0,2981792491.0,3126558678.0,3009614071.0,2894019019.0,2276.0,2676.0,2526.0,2450.0,1581.0,3127101.0,4548304.0,2544815.0,2477423.0,3165772.0,5474793.0,6412817.0,4839819.0,6751575.0,7481384.0
3,2113.0229808709,2109.780252327,127.223,10112596897.0,9654257117.0,10109977892.0,9867877540.0,9517792504.0,1980078439.0,1909181939.0,1993010829.0,1948549538.0,1861725730.0,7721504.0,7654047.0,7648008.0,7496204.0,7292564.0,7722517.0,7652388.0,7646178.0,7497495.0,7294065.0,2256.0,3156.0,3271.0,2381.0,1935.0,8680828.0,11077862.0,7495773.0,9184156.0,10584121.0,2891980373.0,2891888681.0,2891812764.0,2891521371.0,2891822974.0,9392849.0,11747817.0,7707248.0,10082653.0,10821051.0,3101923289.0,2984053588.0,3126694620.0,3032799016.0,2916743342.0,4087.0,3513.0,3123.0,4828.0,2969.0,3136663.0,4540763.0,2535428.0,2496436.0,3084830.0,5472832.0,6304845.0,4772274.0,6759229.0,7425757.0
4,2113.0396566099,2109.1904558725,194.749,10090719185.0,9725898888.0,10185063869.0,9787886961.0,9498907009.0,1989774782.0,1891690706.0,1974488212.0,1935049978.0,1871739471.0,7812664.0,7600222.0,7588337.0,7499240.0,7389254.0,7814661.0,7599446.0,7588818.0,7640875.0,7389660.0,3096.0,3695.0,3611.0,3023.0,2171.0,8566612.0,11012692.0,7445966.0,9181013.0,10518665.0,2891770693.0,2891597230.0,2891723070.0,2891545595.0,2891791497.0,9376247.0,11782049.0,7720585.0,10084149.0,10876507.0,3075516049.0,2958882600.0,3103748185.0,3009611746.0,2893812930.0,2922.0,3299.0,2818.0,2653.0,1939.0,3170834.0,4571949.0,2556327.0,2511516.0,3213398.0,5509586.0,6385904.0,4817596.0,6817617.0,7496207.0
5,2113.2677395164,2110.439524194,17.088,10231405671.0,9811875978.0,10155429404.0,9723198702.0,9572446241.0,2016465896.0,1904362330.0,1964937924.0,1927528344.0,1883653955.0,7858518.0,7589617.0,7571981.0,7462846.0,7432187.0,7857216.0,7593442.0,7572446.0,7459766.0,7426270.0,12316.0,6540.0,6704.0,7675.0,3823.0,7782333.0,9895346.0,6847487.0,8262007.0,9323624.0,2891456224.0,2891412589.0,2891704561.0,2891340271.0,2891374624.0,8439643.0,10476114.0,7048422.0,9030043.0,9649771.0,3137688736.0,3009391911.0,3108351374.0,3034981877.0,2930134566.0,10714.0,5539.0,5664.0,5376.0,2738.0,2720689.0,4022285.0,2256417.0,2179446.0,2805327.0,4963232.0,5713875.0,4479573.0,5912307.0,6427396.0
6,2112.7170046926,2111.0207508756,11.946,9800888204.0,9723878900.0,10192142090.0,9764294177.0,9498976535.0,1933723173.0,1919942292.0,2006173430.0,1932188846.0,1872238243.0,7560320.0,7639149.0,7762803.0,7604068.0,7348752.0,7913816.0,7640525.0,7764168.0,7538093.0,7305623.0,2621.0,3396.0,3211.0,2641.0,1660.0,8606271.0,11026233.0,7461881.0,9179477.0,10568533.0,2812009102.0,2891785750.0,2891891826.0,2891855437.0,2891884120.0,9403879.0,11783303.0,7731866.0,10101771.0,10955397.0,2987555128.0,2960472041.0,3107446404.0,3008838472.0,2893159782.0,2930.0,3404.0,2779.0,2084.0,2000.0,3158605.0,4567930.0,2551659.0,2414293.0,3207113.0,5500199.0,6498996.0,4889021.0,6817403.0,7549993.0
7,2113.0214371688,2109.9783346371,9.703,9876956372.0,9723151505.0,10178832950.0,9659065326.0,9300322569.0,1958250346.0,1918882091.0,2002798716.0,1915878256.0,1841825753.0,7655543.0,7577301.0,7736770.0,7427279.0,7234131.0,7765997.0,7569576.0,7734589.0,7421131.0,7617121.0,3129.0,3579.0,3712.0,2916.0,2256.0,8589831.0,10925091.0,7409335.0,9201304.0,10537922.0,2891836157.0,2891785276.0,2891795826.0,2891778226.0,2891646993.0,9418815.0,11826640.0,7751925.0,10111037.0,10935958.0,3071996207.0,2959361646.0,3101276136.0,3005555116.0,2887208299.0,2347.0,2976.0,2788.0,1650.0,1841.0,3149400.0,4556396.0,2548631.0,2437004.0,3183828.0,5478761.0,6469598.0,4861733.0,6753135.0,7491137.0
8,2113.0166034051,2109.3583467199,8.461,9883276088.0,9727785264.0,10186761779.0,9666432655.0,9304040485.0,1960438862.0,1920808961.0,2004706101.0,1919189335.0,1844044745.0,7806231.0,7650396.0,7634735.0,7443062.0,7238963.0,7716179.0,7653614.0,7636055.0,7444644.0,7287060.0,2281.0,3196.0,2881.0,3328.0,2086.0,8660237.0,11077091.0,7480454.0,9252306.0,10635851.0,2891839734.0,2891595212.0,2891778074.0,2891504675.0,2891654217.0,9468621.0,11871860.0,7778156.0,10263121.0,10999594.0,3099417529.0,2962383669.0,3110149886.0,3031511871.0,2913862605.0,1913.0,2438.0,3550.0,2726.0,1063.0,3087528.0,4551169.0,2547934.0,2426724.0,3111637.0,5473173.0,6508156.0,4925062.0,6625452.0,7484537.0
9,2113.1077703951,2109.2114748568,12.067,9991389188.0,9620179552.0,10072195364.0,9772292166.0,9396709311.0,1975232631.0,1904635322.0,1987510398.0,1932382565.0,1855742400.0,7712667.0,7647773.0,7633678.0,7465207.0,7281966.0,7712068.0,7594297.0,7584520.0,7463285.0,7285783.0,3366.0,4181.0,3766.0,2486.0,2911.0,8617568.0,10971996.0,7429670.0,9206374.0,10570857.0,2891827887.0,2891674026.0,2891822382.0,2891596423.0,2891907288.0,9362117.0,11753916.0,7720047.0,10147284.0,10863691.0,3073522050.0,2958116560.0,3098044085.0,3003477953.0,2887792603.0,2223.0,2615.0,2930.0,1737.0,1320.0,3051086.0,4596321.0,2567095.0,2404158.0,3082203.0,5557989.0,6549305.0,4942918.0,6564430.0,7494350.0
