,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads
102,7345.6136867336,7342.0479407406,17.005,8817164931.0,6737682196.0,9112214361.0,9509022261.0,1696804146.0,1343653412.0,1802486025.0,1862893098.0,6512428.0,6790701.0,7129130.0,7397463.0,6521410.0,6802696.0,7179594.0,7334989.0,7533.0,7844.0,8950.0,21843.0,12152654.0,26771577.0,12358100.0,12217148.0,2891116931.0,2891015264.0,2891046559.0,2891259707.0,13340544.0,29342773.0,13068687.0,12906154.0,2661049186.0,2065935660.0,2859204034.0,2912885104.0,7112.0,7323.0,37652.0,7902.0,4399531.0,11754940.0,3893395.0,4185263.0,7842420.0,15340428.0,8333801.0,8138242.0
103,7351.9358774231,7323.4279593213,19.37,8726363666.0,6685113379.0,9203250117.0,9507935566.0,1683360521.0,1331018246.0,1814324481.0,1877812612.0,6510327.0,6808752.0,7163642.0,7347761.0,6397368.0,6903332.0,7168791.0,7349292.0,30239.0,8541.0,9397.0,8332.0,12107644.0,26779926.0,12388537.0,12195744.0,2890911167.0,2891028174.0,2891180715.0,2890815423.0,13200137.0,28994123.0,13066070.0,12806721.0,2641335609.0,2049347793.0,2838474757.0,2891030839.0,5561.0,8081.0,6336.0,7529.0,4512786.0,12027000.0,3971424.0,4163260.0,7826862.0,15249237.0,8508286.0,8157530.0
104,7352.1455410505,7347.5297322285,21.559,8592147719.0,6557573945.0,9078271071.0,9477155672.0,1664117230.0,1313436937.0,1795747264.0,1872777243.0,6436065.0,6737575.0,7097967.0,7333185.0,6445755.0,6751475.0,7093947.0,7332777.0,7786.0,8330.0,8472.0,8570.0,12175753.0,26879635.0,12406174.0,12214837.0,2891063219.0,2890891756.0,2891491489.0,2891398009.0,13328497.0,29357607.0,13206299.0,12879483.0,2658404832.0,2061366896.0,2856238293.0,2910643717.0,5702.0,5189.0,6427.0,7598.0,4424355.0,11811743.0,4033609.0,4169783.0,7840439.0,15306363.0,8372726.0,8162451.0
105,7351.3524693778,7348.2010059258,16.509,8735812294.0,6656371502.0,9214190851.0,9485235718.0,1685138195.0,1323069022.0,1814874852.0,1874238567.0,6503518.0,6785862.0,7155161.0,7434939.0,6548446.0,6831843.0,7159984.0,7392393.0,7488.0,8903.0,7728.0,7372.0,12276368.0,27143613.0,12547992.0,12307556.0,2891350104.0,2891425772.0,2891402714.0,2891294572.0,13179822.0,29107460.0,13173022.0,12793619.0,2646927519.0,2047964146.0,2840547870.0,2893523772.0,7264.0,6064.0,5815.0,7827.0,4313501.0,11521262.0,3930491.0,4160952.0,7849809.0,15304494.0,8181604.0,8202818.0
106,7352.1544735544,7349.2467704658,15.859,8704044917.0,7023152433.0,9178416918.0,9410517219.0,1683159293.0,1399700809.0,1814834227.0,1866896289.0,6608114.0,6676847.0,7398478.0,7438179.0,6608286.0,6663250.0,7397139.0,7439176.0,8925.0,9893.0,9975.0,10145.0,10978393.0,23661214.0,11150009.0,11045899.0,2890938284.0,2890013415.0,2890836897.0,2890300801.0,12016007.0,25705644.0,11731860.0,11524632.0,2655561902.0,2155425173.0,2858900904.0,2919627562.0,6690.0,6822.0,6683.0,7868.0,3856809.0,10284587.0,3533590.0,3661869.0,7197605.0,13572234.0,7607258.0,7501376.0
107,7354.6974570371,7316.1224624362,85.005,8610670707.0,6646593457.0,9132139328.0,9273747630.0,1668216504.0,1330207416.0,1800628973.0,1845754219.0,6475235.0,6749663.0,7135298.0,7345046.0,6480087.0,6751842.0,7134468.0,7400966.0,8454.0,8789.0,9562.0,7947.0,11934032.0,26214382.0,12179841.0,11971232.0,2890919482.0,2890865204.0,2891452916.0,2891155027.0,13076167.0,28558423.0,12760464.0,12497755.0,2671715772.0,2101231648.0,2889869802.0,2925725419.0,5714.0,7939.0,6944.0,7414.0,4228370.0,11278681.0,3972342.0,3924699.0,7459503.0,14475778.0,8042150.0,8030928.0
108,7351.2284262987,7348.6868780722,18.749,8741918264.0,6715648996.0,9338286753.0,9403635637.0,1685731458.0,1337634063.0,1819308698.0,1863178762.0,6515811.0,6824235.0,7181636.0,7407034.0,6514521.0,6825840.0,7180110.0,7405096.0,7268.0,7587.0,7703.0,7632.0,12152142.0,26861998.0,12552298.0,12168733.0,2891304322.0,2891187324.0,2891614460.0,2891317599.0,13240631.0,29083743.0,13040150.0,12813858.0,2644668625.0,2053047808.0,2843247735.0,2889462251.0,5487.0,6668.0,6091.0,6169.0,4358169.0,11628447.0,4120677.0,4043459.0,7618534.0,14866423.0,8215622.0,8203658.0
109,7313.8721579928,7284.7196035009,12.362,8751902630.0,6924556008.0,9479987233.0,9424230211.0,1695805151.0,1378776509.0,1832593143.0,1873185308.0,6442905.0,6810461.0,7145028.0,7358041.0,6443016.0,6809440.0,7147700.0,7361431.0,7537.0,8026.0,8236.0,6324.0,11109358.0,24855165.0,11529829.0,11180427.0,2891060193.0,2891328063.0,2891730607.0,2891375917.0,12135571.0,27114964.0,12060446.0,11919068.0,2705055080.0,2156037714.0,2887296613.0,2958185937.0,5427.0,4739.0,5006.0,5454.0,4168693.0,11156049.0,3809491.0,3797472.0,7015291.0,13912889.0,7710915.0,7261084.0
110,6308.3230145419,6305.79892707,9.341,8885021082.0,7053115831.0,9515278709.0,9576470930.0,1716852471.0,1402717184.0,1855234972.0,1897022278.0,6499636.0,6877830.0,7214106.0,7428499.0,6498297.0,6875593.0,7215984.0,7429528.0,6770.0,7981.0,7899.0,6025.0,11126857.0,24992763.0,11371045.0,11068261.0,2890834198.0,2890922797.0,2891314697.0,2891110332.0,12094579.0,26857888.0,11922142.0,11674036.0,2714505947.0,2176352111.0,2916788567.0,2946388308.0,4079.0,6168.0,7138.0,4914.0,4082989.0,10954978.0,3727691.0,3733073.0,6847344.0,13630502.0,7566822.0,7176083.0
111,6306.8267268744,6305.0119453134,10.144,8996350330.0,7106081575.0,9497914992.0,9347668147.0,1692958545.0,1376938963.0,1866441845.0,1861101300.0,6417050.0,6760162.0,7094299.0,7315090.0,6421802.0,6763139.0,7098488.0,7319109.0,7487.0,9046.0,8587.0,9034.0,11154500.0,24942204.0,11117174.0,10972203.0,2890821791.0,2890793766.0,2890971677.0,2891353044.0,11931059.0,26708064.0,11834005.0,11626641.0,2698249200.0,2158269172.0,2892334508.0,2941146873.0,6030.0,11506.0,6225.0,5278.0,4129658.0,11028442.0,3753690.0,3768956.0,6917640.0,13765050.0,7604947.0,7210704.0
