Unnamed: 0,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads
10,2113.2762534448,2110.2143669957,8.733,9625243306.0,9385106648.0,10459082615.0,10528296792.0,1884778034.0,1864198080.0,2024784576.0,2089490731.0,6796269.0,7697132.0,8232762.0,8042633.0,6798486.0,7700613.0,8236014.0,8043821.0,3672.0,2623.0,2701.0,2951.0,5109402.0,10807336.0,5191645.0,5112360.0,2891616668.0,2891712252.0,2891953039.0,2891656701.0,5242578.0,11316301.0,5347282.0,5385439.0,3001950109.0,2927476157.0,3196125504.0,3285799131.0,1513.0,1788.0,2773.0,1575.0,1586317.0,4497662.0,1603411.0,1748663.0,3499317.0,6318393.0,3500492.0,3391821.0
11,2113.0380811148,2110.1227953965,10.294,9648311510.0,8848095247.0,10434266805.0,10537342500.0,1885648385.0,1753796286.0,2024437555.0,2089194225.0,6793475.0,7146349.0,7679358.0,7869034.0,6794016.0,7145366.0,7678817.0,7868702.0,2906.0,2401.0,3961.0,2005.0,5183614.0,10981108.0,5268002.0,5198980.0,2891800096.0,2721878951.0,2892000684.0,2891671210.0,5309407.0,11457132.0,5450875.0,5493950.0,3030649308.0,2778715581.0,3199775740.0,3300809628.0,1806.0,1959.0,2320.0,2015.0,1613966.0,4609475.0,1609902.0,1726746.0,3478179.0,6225856.0,3576681.0,3336517.0
12,2113.3089473005,2111.0504298564,10.999,9853712268.0,9600201806.0,10446516971.0,10676301498.0,1903638940.0,1882209157.0,2056767941.0,2110478880.0,6850522.0,7613030.0,7753483.0,7928958.0,6850850.0,7613607.0,7758838.0,7927685.0,2489.0,2623.0,2667.0,2512.0,5202643.0,11013474.0,5179701.0,5145286.0,2891808407.0,2891680476.0,2891788245.0,2891763329.0,5265118.0,11364479.0,5394828.0,5384914.0,3000044135.0,2926915432.0,3187420572.0,3286398217.0,1388.0,1951.0,3251.0,1450.0,1607621.0,4553363.0,1609495.0,1739264.0,3479493.0,6261784.0,3527507.0,3341341.0
13,2112.9006855364,2110.1650967347,8.391,9854207300.0,9599711914.0,10445846487.0,10527071815.0,1885465764.0,1862588145.0,2056755816.0,2089825028.0,6799694.0,7547283.0,7731632.0,7868379.0,6801809.0,7548789.0,7738685.0,7872163.0,3126.0,2890.0,2914.0,2916.0,5189296.0,11005425.0,5175524.0,5161554.0,2891961444.0,2891810046.0,2891659121.0,2891874698.0,5264971.0,11368475.0,5385223.0,5410206.0,3005302130.0,2929674629.0,3189825266.0,3312914499.0,2431.0,1878.0,2175.0,2364.0,1622741.0,4600872.0,1617767.0,1779352.0,3546727.0,6394814.0,3585909.0,3344334.0
14,2113.2019758954,2110.2435218005,17.651,9777695765.0,9538238473.0,10441587796.0,10587160243.0,1894317756.0,1873765539.0,2044024607.0,2096819305.0,6820274.0,7975233.0,7729571.0,7894379.0,6820061.0,7977793.0,7733482.0,7893943.0,2520.0,2300.0,2711.0,2151.0,5209518.0,11034096.0,5185790.0,5193956.0,2891835509.0,2891732235.0,2891601994.0,2891847861.0,5267368.0,11384834.0,5395306.0,5394465.0,3023412099.0,2950201331.0,3211744840.0,3311852645.0,2959.0,2807.0,2847.0,1792.0,1610421.0,4569443.0,1608906.0,1780652.0,3547127.0,6410773.0,3557523.0,3328542.0
15,2113.0153852863,2109.8725189227,9.756,9828399425.0,9644897455.0,10317917324.0,10747490261.0,1912402641.0,1903115578.0,2037887762.0,2086751057.0,6794919.0,7547617.0,7744214.0,8054551.0,6804680.0,7550516.0,7699776.0,8058716.0,4068.0,10631.0,5057.0,6474.0,4699826.0,9793396.0,4741221.0,4776528.0,2891296699.0,2891524750.0,2891423948.0,2891752872.0,4919349.0,10462888.0,5023167.0,5055246.0,2999657778.0,2947378467.0,3187304600.0,3284595137.0,3826.0,9102.0,3356.0,6185.0,1515430.0,4268250.0,1528750.0,1659634.0,3311802.0,5859696.0,3325571.0,3143337.0
16,2112.9422282333,2111.8341960286,10050.381,9852142122.0,9624466037.0,10222843571.0,10760005921.0,1915958429.0,1897473610.0,2024621530.0,2091355665.0,6803211.0,7677400.0,7852363.0,7871890.0,6798223.0,7672746.0,7710201.0,7874405.0,3456.0,4382.0,2766.0,3311.0,4986822.0,10742067.0,5143777.0,5127749.0,2891490441.0,2891606591.0,2891653350.0,2891899719.0,5111185.0,11214685.0,5313271.0,5352878.0,3024855901.0,2954853015.0,3214020283.0,3310230403.0,3597.0,4364.0,2766.0,3617.0,1605944.0,4547077.0,1575433.0,1773163.0,3522954.0,6340225.0,3523029.0,3363237.0
17,2113.0947848309,2066.0366793674,15000.0,9862281710.0,9600006739.0,10352022999.0,10778383164.0,1919155520.0,1895590093.0,2043668181.0,2125132665.0,6900655.0,7659812.0,7891570.0,8148088.0,6858732.0,7615364.0,7807478.0,8150603.0,2803.0,2463.0,2790.0,2109.0,4663175.0,10981785.0,5216769.0,5201563.0,2891807377.0,2891664418.0,2891976193.0,2891811927.0,4612376.0,11417595.0,5408278.0,5447648.0,3004192317.0,2923679645.0,3186395437.0,3287135639.0,3210.0,2735.0,1947.0,2875.0,1244825.0,4565392.0,1565123.0,1784864.0,3281718.0,6462476.0,3572996.0,3385917.0
18,2113.2402296121,1825.883750429,15000.0,9645787707.0,9390553588.0,10213658498.0,10775746936.0,1888279110.0,1864351656.0,2024379659.0,2124838349.0,6808390.0,7549405.0,7699704.0,7873617.0,6814823.0,7556561.0,7702597.0,7875507.0,3437.0,3189.0,3893.0,3381.0,4504489.0,10864368.0,5174291.0,5132019.0,2891735665.0,2891622674.0,2891532233.0,2891786529.0,4726281.0,11311451.0,5359658.0,5394946.0,3009656151.0,2931505140.0,3195057224.0,3291276031.0,1971.0,1859.0,1700.0,2126.0,1343298.0,4562250.0,1581849.0,1765268.0,3328359.0,6361971.0,3551501.0,3365794.0
19,2112.9170264942,1833.0033626975,15000.0,9671303738.0,9387617139.0,10236716025.0,10763172865.0,1892227887.0,1863651711.0,2026640724.0,2123167602.0,6944954.0,7838498.0,7864772.0,7928685.0,6863435.0,7607774.0,7868487.0,7931471.0,2456.0,2131.0,2511.0,2126.0,4644915.0,10932351.0,5188867.0,5176197.0,2891792460.0,2891675469.0,2891835708.0,2891651337.0,4692105.0,11383725.0,5399109.0,5429111.0,3025443671.0,2947211531.0,3212558190.0,3307913819.0,2667.0,1806.0,1681.0,3000.0,1259815.0,4486982.0,1585005.0,1780918.0,3326946.0,6420433.0,3514968.0,3412683.0
