,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads
31,2112.7602494627,1739.656353332,9.321,2327076653.0,9435719724.0,10222055182.0,10533159250.0,453008039.0,1873684260.0,2024515766.0,2088972232.0,1561780.0,7579935.0,7703665.0,7868968.0,1614730.0,7579970.0,7708499.0,7873617.0,3413.0,9906.0,4288.0,5708.0,2046774.0,9858521.0,4952344.0,4946559.0,720544965.0,2891528361.0,2890794799.0,2891765023.0,2006663.0,10218906.0,5136074.0,5240431.0,707296769.0,2952439874.0,3192239181.0,3288515494.0,8542.0,7928.0,2576.0,4590.0,376961.0,3996625.0,1583917.0,1761682.0,1538848.0,5910528.0,3445987.0,3257696.0
32,2113.1517278565,1771.4530425568,14.167,1489052014.0,9472459633.0,10258693511.0,10556685492.0,312800819.0,1875796312.0,2031023727.0,2091485894.0,1010162.0,7564545.0,7725624.0,7885909.0,1132605.0,7566833.0,7728677.0,7929127.0,34025.0,17205.0,3607.0,6716.0,1707433.0,9636965.0,4954678.0,4914778.0,717353171.0,2891831704.0,2890005093.0,2891555084.0,1752056.0,9975407.0,5079682.0,5143818.0,410383485.0,2974308013.0,3208841412.0,3302348529.0,32243.0,11991.0,2514.0,5363.0,369724.0,3885396.0,1505185.0,1632038.0,1315424.0,5549232.0,3200405.0,3126054.0
33,2112.9818006892,1865.8272551993,27.123,2238766215.0,9669104260.0,10366507369.0,10418937585.0,439291102.0,1894233044.0,2045276195.0,2070928570.0,1513207.0,7667024.0,7930324.0,7830099.0,1540475.0,7663267.0,7933058.0,7873093.0,7413.0,2791.0,2856.0,3252.0,1997271.0,10298114.0,5120300.0,5084193.0,717270664.0,2891700822.0,2891016016.0,2891753284.0,2010037.0,10554306.0,5292266.0,5321718.0,676757623.0,2947831217.0,3195598476.0,3293817084.0,6237.0,2191.0,1663.0,1888.0,421831.0,4140708.0,1588803.0,1740191.0,1580118.0,6001810.0,3417632.0,3314529.0
34,2113.2055039182,1775.0362006692,13.696,2266830940.0,9662189795.0,10255873335.0,10510543795.0,443867491.0,1879768653.0,2029509715.0,2071453996.0,1530954.0,7606596.0,7752732.0,7783672.0,1592079.0,7605940.0,7754957.0,7744654.0,4989.0,3791.0,3251.0,3240.0,2001993.0,10351952.0,5101187.0,5058654.0,717127323.0,2891880023.0,2891392728.0,2812061301.0,1964164.0,10539093.0,5304618.0,5375110.0,692110005.0,2952621685.0,3214577423.0,3222519387.0,5412.0,2001.0,1838.0,1625.0,428245.0,4060148.0,1604021.0,1762865.0,1587360.0,6028209.0,3462087.0,3293784.0
35,2113.0203139825,1751.3736785461,12.195,2362835270.0,9673942869.0,10474518033.0,10691148698.0,461007414.0,1909097169.0,2048135328.0,2113017251.0,1569695.0,7667992.0,7808724.0,7948645.0,1636778.0,7668227.0,7809476.0,7945509.0,4798.0,2731.0,2526.0,2320.0,2099879.0,10194038.0,5137398.0,5104428.0,739378331.0,2891783225.0,2891490646.0,2891946672.0,2065364.0,10658566.0,5307618.0,5376745.0,723703990.0,2965666667.0,3210152332.0,3293700495.0,3036.0,3834.0,1820.0,1945.0,451751.0,4094236.0,1623416.0,1734430.0,1638188.0,6135585.0,3413776.0,3244806.0
36,2113.0480446046,1747.4536665425,14.592,2297454360.0,9660039764.0,10453666109.0,10540268482.0,447964418.0,1904890481.0,2024849703.0,2089888224.0,1539891.0,7596227.0,7734421.0,7882018.0,1592456.0,7589515.0,7734891.0,7882924.0,4472.0,3623.0,3268.0,2951.0,2019019.0,10132059.0,5164292.0,5073701.0,717514166.0,2891810701.0,2891466766.0,2891916316.0,1995158.0,10572914.0,5296286.0,5349780.0,691516066.0,2948016971.0,3193778310.0,3314596754.0,3310.0,2625.0,3197.0,2101.0,441917.0,4150372.0,1627917.0,1781362.0,1582299.0,6129225.0,3491611.0,3282191.0
37,2113.0984540073,1742.194115384,12.851,9171056436.0,9019307995.0,10424289834.0,10654625018.0,1789185530.0,1780949139.0,2039004670.0,2089746640.0,6424110.0,7201748.0,7736348.0,7867619.0,6443870.0,7155846.0,7738173.0,7865489.0,3463.0,4356.0,3146.0,3156.0,4941250.0,10907180.0,5194042.0,5202352.0,2739330378.0,2731685009.0,2890998733.0,2891666557.0,4972813.0,11383316.0,5398324.0,5449910.0,2832425959.0,2775130353.0,3201531532.0,3301394285.0,1500.0,3386.0,3628.0,3577.0,1514595.0,4587788.0,1624273.0,1778419.0,3292988.0,6445553.0,3577603.0,3326301.0
38,2112.9430682375,2098.3135405998,17.027,9627556371.0,9478857035.0,10445271043.0,10765361322.0,1884887901.0,1875711268.0,2056813170.0,2105551214.0,6794649.0,7595336.0,7919281.0,7919625.0,6796109.0,7596355.0,7921992.0,7920010.0,3033.0,2770.0,3098.0,2792.0,5184004.0,10984910.0,5193914.0,5236342.0,2891685917.0,2891746317.0,2891436506.0,2891866577.0,5235843.0,11430607.0,5392916.0,5429745.0,3019819648.0,2916944578.0,3182154139.0,3282629104.0,1476.0,2469.0,2816.0,2692.0,1624064.0,4582999.0,1630742.0,1794087.0,3488648.0,6495899.0,3596180.0,3327700.0
39,2112.8798760649,2110.778040449,14.185,9850731355.0,9356248756.0,10436971947.0,10757632314.0,1904395487.0,1856741099.0,2054827196.0,2087731523.0,6852472.0,7535300.0,7717796.0,7853138.0,6854630.0,7539944.0,7718336.0,7858082.0,2266.0,3353.0,3661.0,3405.0,5200329.0,10989388.0,5204976.0,5231545.0,2891856916.0,2891810817.0,2891135354.0,2891794197.0,5288492.0,11431491.0,5407068.0,5452173.0,3020479343.0,2922793847.0,3188830220.0,3286517401.0,1556.0,1663.0,2313.0,2388.0,1648436.0,4518078.0,1622465.0,1776835.0,3463582.0,6446891.0,3546414.0,3366599.0
40,2113.0618272927,2111.1128728437,15.254,9843432502.0,9379057746.0,10329698239.0,10764810021.0,1882491821.0,1861743231.0,2039200386.0,2122707874.0,6784377.0,7669127.0,7764572.0,7922247.0,6784892.0,7592710.0,7766216.0,7924830.0,2940.0,2396.0,2511.0,2376.0,5219541.0,11078328.0,5205904.0,5199358.0,2891815293.0,2891824863.0,2891323084.0,2891948002.0,5269009.0,11522412.0,5421302.0,5456260.0,2998977068.0,2935477922.0,3203542638.0,3304184222.0,2385.0,1750.0,2917.0,3404.0,1636861.0,4452979.0,1621465.0,1787702.0,3569843.0,6454421.0,3565169.0,3368899.0
41,2113.3308453288,2110.7964496463,12.028,9851391072.0,9427318768.0,10330808795.0,10771717976.0,1904167682.0,1867318389.0,2039603924.0,2123865375.0,6803504.0,7562102.0,7763025.0,7873901.0,6803837.0,7562065.0,7712449.0,7872076.0,2511.0,2595.0,3651.0,2912.0,5222606.0,11029446.0,5199992.0,5187917.0,2891805139.0,2891755228.0,2890869869.0,2891816854.0,5279000.0,11421196.0,5398931.0,5398493.0,3021461334.0,2899037604.0,3184216482.0,3284448083.0,3136.0,2339.0,1944.0,2763.0,1615002.0,4486033.0,1609045.0,1792679.0,3561458.0,6420574.0,3569996.0,3405583.0
42,2113.2137622293,2111.0565028002,12.982,9820044871.0,9419090539.0,9559556032.0,10727553854.0,1911085432.0,1872631538.0,1896748838.0,2115612272.0,6839464.0,7675612.0,7283303.0,7897028.0,6837198.0,7682234.0,7345798.0,7795551.0,4300.0,14370.0,4906.0,7693.0,4846222.0,10053215.0,4783339.0,4734085.0,2891185088.0,2891444699.0,2719211222.0,2732267104.0,4880079.0,10259557.0,4950350.0,5030496.0,2986012982.0,2967380932.0,2944628646.0,3096912041.0,4531.0,12853.0,2601.0,6753.0,1498532.0,4194068.0,1511048.0,1672427.0,3290341.0,5818657.0,3303184.0,3156829.0
43,2113.0320655399,2112.0332714267,13.751,9859229001.0,9501734266.0,10345852880.0,10010311082.0,1918465140.0,1879716645.0,2042594607.0,1980576261.0,6932201.0,7741439.0,7791262.0,7607918.0,6930892.0,7742418.0,7790410.0,7462254.0,3469.0,1995.0,2371.0,2391.0,5129639.0,10999363.0,5183743.0,5153637.0,2891668538.0,2891809390.0,2891331950.0,2714151230.0,5274472.0,11314309.0,5342227.0,5362095.0,3006311759.0,2908205034.0,3166352028.0,3164688086.0,2363.0,1445.0,1348.0,2197.0,1628140.0,4422979.0,1563954.0,1769424.0,3546214.0,6211846.0,3541128.0,3346305.0
44,2112.8484416657,2109.6305646567,13.232,9746885468.0,9383106996.0,10227789836.0,10539176501.0,1901821301.0,1865234343.0,2026304617.0,2090315917.0,6845482.0,7552449.0,7738262.0,7876140.0,7046550.0,7549573.0,7740421.0,7878249.0,2106.0,4123.0,2684.0,3084.0,5169883.0,10836985.0,5161838.0,5159365.0,2891791330.0,2891716717.0,2891323217.0,2891803407.0,5311742.0,11419859.0,5440800.0,5458646.0,3018942099.0,2941308408.0,3188244049.0,3288135601.0,2528.0,2063.0,1600.0,1888.0,1597198.0,4595624.0,1577218.0,1759719.0,3526592.0,6312870.0,3530772.0,3378328.0
45,2113.27743201,2111.2683764512,19.914,9756407713.0,9510588299.0,10250969784.0,10561840426.0,1903366658.0,1866748029.0,2029479907.0,2093496513.0,6848964.0,7563282.0,7754654.0,7886598.0,6797807.0,7562467.0,7756250.0,7931244.0,4323.0,2280.0,2930.0,2711.0,5159145.0,10996196.0,5198556.0,5189086.0,2891667872.0,2891736705.0,2891137378.0,2891824138.0,5240931.0,11464806.0,5443576.0,5447630.0,3002128481.0,2942558368.0,3210667969.0,3310063601.0,2080.0,1709.0,1708.0,2250.0,1591651.0,4594628.0,1578801.0,1736906.0,3508067.0,6287211.0,3508020.0,3374541.0
