Unnamed: 0,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads
0,259.12185755586,255.51574582513,7.888,10210724064.0,10821962556.0,11040958768.0,11100046225.0,2003502401.0,2145464995.0,2187973482.0,2201421102.0,7201256.0,8048062.0,8229985.0,8184062.0,7200487.0,8050147.0,8230373.0,8224953.0,2917.0,3623.0,2728.0,3436.0,1056443.0,2652810.0,1075734.0,1040832.0,2893630341.0,2893342793.0,2893507325.0,2893452343.0,5199313.0,2895982.0,1210758.0,1207637.0,3194925002.0,3401225399.0,3465092126.0,3452992169.0,813.0,1201.0,750.0,1324.0,430519.0,1204302.0,391797.0,415546.0,698724.0,1641898.0,743807.0,703390.0
1,517.46915886616,528.24303847487,6.71,10331594855.0,10927825768.0,11159695718.0,11258485362.0,2020975392.0,2158759635.0,2202906253.0,2223046707.0,7290487.0,8078995.0,8190882.0,8223700.0,7291550.0,8079870.0,8190895.0,8224843.0,685.0,1561.0,840.0,1355.0,1155135.0,2869942.0,1167433.0,1162359.0,2892151081.0,2892326291.0,2892513723.0,2892062507.0,3327645.0,3147345.0,1286430.0,1256512.0,3195598084.0,3388918481.0,3442391186.0,3474558525.0,639.0,1431.0,709.0,889.0,432318.0,1206326.0,391589.0,416207.0,699041.0,1642240.0,747019.0,687973.0
2,528.21363325075,528.22890501618,5.757,10245202874.0,11017963756.0,11056029651.0,10904284278.0,2008675815.0,2145051492.0,2187267081.0,2159199087.0,7252890.0,8036458.0,8153674.0,8293871.0,7253401.0,8037261.0,8155230.0,8293283.0,639.0,950.0,706.0,1195.0,1142202.0,2852880.0,1150630.0,1160236.0,2892345846.0,2892258877.0,2892462687.0,2892349163.0,3106889.0,3175924.0,1287537.0,1258217.0,3215851901.0,3374972276.0,3458831219.0,3354455761.0,363.0,775.0,525.0,838.0,431838.0,1198700.0,392443.0,418261.0,688648.0,1636130.0,738790.0,713013.0
3,528.24228335989,528.27231135077,5.837,10315620687.0,11019883501.0,11146625012.0,11135875225.0,2017262436.0,2160227769.0,2200343984.0,2204984187.0,7276365.0,8081784.0,8198284.0,8163488.0,7276075.0,8082053.0,8198005.0,8163600.0,530.0,1360.0,565.0,12619.0,1144100.0,2877994.0,1157373.0,1164637.0,2892216916.0,2892198376.0,2892085141.0,2892240482.0,3273774.0,3163988.0,1313697.0,1261426.0,3205905718.0,3390478163.0,3433864621.0,3473347622.0,1560.0,54566.0,1215.0,2202.0,447939.0,1224839.0,404824.0,422846.0,706168.0,1688912.0,755312.0,707785.0
4,528.33248790953,528.29093884571,5.754,9702068509.0,11019243746.0,11149187273.0,11165294483.0,1873756319.0,2160102722.0,2187463407.0,2209498422.0,6824961.0,8040919.0,8267250.0,8195850.0,6743320.0,8038264.0,8268820.0,8193633.0,22014.0,1795.0,986.0,1455.0,1142695.0,2864332.0,1161880.0,1149556.0,2602853915.0,2892053003.0,2892358172.0,2892171643.0,3134439.0,3138514.0,1280434.0,1248358.0,3005179386.0,3371058533.0,3437802681.0,3396037684.0,812.0,1620.0,770.0,880.0,431741.0,1181471.0,392133.0,423625.0,698125.0,1635252.0,751026.0,714034.0
5,528.34138584982,528.36389072949,6.682,10392125765.0,11001924591.0,11232413896.0,10300436396.0,2005127419.0,2169457439.0,2186962231.0,2008435250.0,7189598.0,8031779.0,8304497.0,7590717.0,7193785.0,8033756.0,8304733.0,7501253.0,1309.0,1433.0,1240.0,1245.0,1157481.0,2870373.0,1171283.0,1160178.0,2892153752.0,2892139627.0,2892523537.0,2606269355.0,3314901.0,3198245.0,1311372.0,1266903.0,3208831809.0,3390296261.0,3458130556.0,3284385582.0,388.0,700.0,401.0,650.0,438259.0,1203736.0,398350.0,423651.0,697652.0,1647908.0,746282.0,706388.0
6,528.28979438344,528.27482038852,6.819,10392998252.0,11013281194.0,10569252825.0,11260469673.0,2017964837.0,2170386622.0,2070434607.0,2223140512.0,7229429.0,8083445.0,7713429.0,8354636.0,7231008.0,8082232.0,7714805.0,8353724.0,625.0,1735.0,740.0,1075.0,1174134.0,2892013.0,1185133.0,1170063.0,2892335602.0,2891916614.0,2722833240.0,2892404143.0,3208475.0,3216730.0,1300074.0,1260457.0,3191016312.0,3371748506.0,3297581895.0,3490628661.0,847.0,1569.0,847.0,834.0,437279.0,1172322.0,397824.0,433343.0,699283.0,1648455.0,756223.0,714026.0
7,528.33398401382,528.36416980617,5.581,10415362137.0,10917538012.0,11234025926.0,11103404666.0,2032460434.0,2156990134.0,2212653731.0,2169119945.0,7699254.0,8241018.0,8333969.0,8205360.0,7707028.0,8035329.0,8336573.0,8204437.0,845.0,1817.0,806.0,1128.0,1163394.0,2888302.0,1185895.0,1177208.0,2892339166.0,2892037284.0,2892388947.0,2892356131.0,3488220.0,3181048.0,1296791.0,1263812.0,3194519293.0,3370147686.0,3365344244.0,3438723285.0,663.0,1300.0,713.0,850.0,437793.0,1192991.0,396935.0,433360.0,701328.0,1646450.0,753402.0,710327.0
8,528.27488996208,528.2385693528,5.642,10411386987.0,10793980570.0,11215125346.0,11083860422.0,2032249788.0,2139597864.0,2209598887.0,2163688507.0,7205731.0,8013404.0,8146041.0,8759833.0,7206183.0,8590477.0,8149503.0,8750967.0,1980.0,4271.0,1755.0,2921.0,1148674.0,2833147.0,1172711.0,1161584.0,2891147550.0,2891585624.0,2891667633.0,2891986034.0,3220983.0,3101291.0,1269601.0,1241230.0,3204280415.0,3379511082.0,3445029702.0,3479190787.0,2200.0,3679.0,2412.0,2720.0,432339.0,1198163.0,394301.0,422889.0,693196.0,1608202.0,747577.0,715569.0
9,544.23336533355,557.96028168081,12.416,10274042339.0,10529798818.0,11089211469.0,10994981498.0,2003604116.0,2081567101.0,2184590666.0,2155368323.0,7116654.0,8139064.0,8125860.0,8292234.0,7077737.0,8065905.0,8203941.0,8281178.0,1221.0,2650.0,1615.0,3116.0,2074649.0,5080697.0,2101618.0,2062283.0,2892028465.0,2891851695.0,2891931697.0,2891876068.0,3487894.0,5540235.0,2264190.0,2231153.0,3141811201.0,3240571109.0,3386230273.0,3418876725.0,1736.0,2167.0,1583.0,2862.0,796738.0,2152460.0,733210.0,779508.0,1253327.0,2921621.0,1354894.0,1280846.0
