Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661884279,Device: id=1,RX,0.085012084769715,240.54190074652,254.14383430968,87321,30885302
1661884280,Device: id=1,RX,0.1760442137403,500.00247319731,528.16954739576,263393,93395476
1661884281,Device: id=1,RX,0.17700494841775,500.00120381554,528.32199556238,440452,155914712
1661884282,Device: id=1,RX,0.17688164397149,499.97405042219,528.27511345763,617346,218415834
1661884283,Device: id=1,RX,0.17759256986325,499.99012571765,528.40493689577,794953,280919678
1661884284,Device: id=1,RX,0.17706864770842,499.98786763953,528.31885127288,972043,343425698
1661884285,Device: id=1,RX,0.17749871713342,499.98694782312,528.38674256447,1149579,405937194
1661884286,Device: id=1,RX,0.17672954487954,499.98773991865,528.26446709937,1326349,468449968
1661884287,Device: id=1,RX,0.17648312946785,499.98533965774,528.2226403726,1502896,530970754
1661884288,Device: id=1,RX,0.18789185876339,529.69455949932,559.75725690147,1690804,597188262
1661884289,Device: id=1,RX,0.35337551226403,999.96578782716,1056.5058697894,2044180,722184158
1661884290,Device: id=1,RX,0.3539772114083,999.9612368339,1056.5975906592,2398166,847182416
1661884291,Device: id=1,RX,0.35377570357609,999.96901771777,1056.5731302899,2751989,972195254
1661884292,Device: id=1,RX,0.35275007837945,999.97477796173,1056.4147905024,3104792,1097210854
1661884293,Device: id=1,RX,0.35335908548169,999.97828764498,1056.5157413221,3458173,1222215892
1661884294,Device: id=1,RX,0.35228103865405,999.97338231925,1056.3383485039,3810460,1347214680
1661884295,Device: id=1,RX,0.35373087233528,999.97385216618,1056.5707917398,4164192,1472211810
1661884296,Device: id=1,RX,0.35385809514841,999.97446954026,1056.591764764,4518083,1597220242
1661884297,Device: id=1,RX,0.35361657496853,999.96960837967,1056.5482603746,4871714,1722221542
1661884298,Device: id=1,RX,0.37395143824143,1059.7805519729,1119.6127820916,5245666,1854694310
1661884299,Device: id=1,RX,0.7065136539311,1998.4176982765,2111.4598829055,5952242,2104518566
1661884300,Device: id=1,RX,0.70655696084999,1998.3158718241,2111.3649855601,6658854,2354327508
1661884301,Device: id=1,RX,0.70658939792473,1998.4320147442,2111.4863184122,7365467,2604139854
1661884302,Device: id=1,RX,0.70481674809983,1997.5156303404,2110.2863100364,8070303,2853836128
1661884303,Device: id=1,RX,0.70573354756458,1999.2458634155,2112.1632310259,8776045,3103744854
1661884304,Device: id=1,RX,0.70626461715074,1998.1730220225,2111.1753607667,9482342,3353527934
1661884305,Device: id=1,RX,0.70714867476224,1998.6220599843,2111.7658479463,10189545,3603374884
1661884306,Device: id=1,RX,0.70800374514584,1997.3584625606,2110.6390617839,10897562,3853049366
1661884307,Device: id=1,RX,0.70504632122226,1997.6244077411,2110.4318191367,11602637,4102762574
1661884308,Device: id=1,RX,0.72709894576938,2055.9227278833,2172.2585592064,12329776,4359767072
1661884309,Device: id=1,RX,1.0554196989482,2991.0886253723,3159.955777204,13385248,4733671678
1661884310,Device: id=1,RX,1.0566316359388,2989.9613448805,3159.0224066307,14441932,5107435368
1661884311,Device: id=1,RX,1.0596543723443,2991.1705002664,3160.7151998415,15501587,5481331902
1661884312,Device: id=1,RX,1.0559215470987,2991.3948734934,3160.3423210292,16557562,5855275190
1661884313,Device: id=1,RX,1.0575570558607,2991.1457665219,3160.3548954596,17615174,6229187836
1661884314,Device: id=1,RX,1.0572399110347,2990.9138198093,3160.0722055748,18672443,6603062350
1661884315,Device: id=1,RX,1.0583669975324,2991.8140566474,3161.1527762525,19730847,6977052182
1661884316,Device: id=1,RX,1.0569384438057,2991.7148547082,3160.8250057172,20787806,7351023812
1661884317,Device: id=1,RX,1.0590355350031,2989.9465620944,3159.3922476949,21846846,7724768708
1661884318,Device: id=1,RX,1.0787872032121,3049.9176483073,3222.5236008213,22925640,8106010816
1661884319,Device: id=1,RX,1.4080554476809,3979.0181128252,4204.3069844542,24333750,8603407350
1661884320,Device: id=1,RX,1.4076569001507,3978.1373518121,4203.3624558363,25741464,9100694690
1661884321,Device: id=1,RX,1.4039298472296,3978.6386592349,4203.2674347916,27145425,9598035558
1661884322,Device: id=1,RX,1.4079359031872,3978.8868777208,4204.1566222308,28553377,10095402104
1661884323,Device: id=1,RX,1.4066073311164,3979.2301145517,4204.2872875303,29960003,10592812470
1661884324,Device: id=1,RX,1.4055274349389,3978.23532641,4203.1197160002,31365560,11090102346
1661884325,Device: id=1,RX,1.4080030712748,3978.3544544353,4203.6349458393,32773612,11587413934
1661884326,Device: id=1,RX,1.4040483641029,3979.5305901208,4204.1783283773,34177678,12084861506
1661884327,Device: id=1,RX,1.4078289151285,3977.840403202,4203.0930296226,35585542,12582103948
1661884328,Device: id=1,RX,1.4305173692136,4040.3344902908,4269.217269365,37016081,13087153396
1661884329,Device: id=1,RX,1.7562752159,4968.7879455163,5249.7919800603,38772364,13708254642
1661884330,Device: id=1,RX,1.7586580515645,4968.2813249035,5249.6666131538,40531065,14329304974
1661884331,Device: id=1,RX,1.7545051172781,4967.7892904293,5248.5101091938,42285596,14950287796
1661884332,Device: id=1,RX,1.7595551399347,4970.9712621507,5252.5000845403,44045191,15571673280
1661884333,Device: id=1,RX,1.7587597602792,4969.6481513371,5251.0497129818,45804011,16192900576
1661884334,Device: id=1,RX,1.7542748947501,4969.5874196345,5250.2714027945,47558336,16814116746
1661884335,Device: id=1,RX,1.7563339683006,4961.0709782382,5242.0844131663,49314700,17434261222
1661884336,Device: id=1,RX,1.7585674419775,4969.6716175638,5251.0424082802,51073291,18055478496
1661884337,Device: id=1,RX,1.7560320235959,4966.1642978875,5247.1294216629,52829337,18676253974
1661884338,Device: id=1,RX,1.7775067992464,5026.1341583469,5310.5352462263,54606882,19304534246
1661884339,Device: id=1,RX,2.1114000525183,5967.3238552991,6305.147863702,56718320,20050463134
1661884340,Device: id=1,RX,2.1068262758907,5967.5894008837,6304.6816050262,58825187,20796426228
1661884341,Device: id=1,RX,2.1113207651991,5968.639981739,6306.4513041708,60936525,21542512316
1661884342,Device: id=1,RX,2.1120278984193,5966.6923500811,6304.6168138282,63048592,22288362668
1661884343,Device: id=1,RX,2.112418961037,5968.9962025413,6306.9832363073,65161025,23034492152
1661884344,Device: id=1,RX,2.1098310045356,5965.3773820483,6302.950342774,67270865,23780167504
1661884345,Device: id=1,RX,2.1079477190962,5967.5461442502,6304.8177793056,69378871,24526131396
1661884346,Device: id=1,RX,2.1071716218615,5954.302864994,6291.4503244918,71486086,25270434576
1661884347,Device: id=1,RX,2.1105100496564,5960.4815429169,6298.163150862,73596624,26015504636
1661884348,Device: id=1,RX,2.1279751948951,6025.2867844023,6365.7628155855,75724615,26768671078
1661884349,Device: id=1,RX,2.4615835666733,6955.7842094332,7349.6375801009,78186244,27638160152
1661884350,Device: id=1,RX,2.4483326678438,6930.7874057008,7322.5206325558,80634599,28504516480
1661884351,Device: id=1,RX,2.4565284562332,6951.3571356396,7344.4016886369,83091193,29373459306
1661884352,Device: id=1,RX,2.4567684684665,6950.8934603658,7343.9764153205,85547993,30242332140
1661884353,Device: id=1,RX,2.4564231144222,6954.2572446287,7347.2849429363,88004442,31111623456
1661884354,Device: id=1,RX,2.4601429529789,6954.584288463,7348.2071609396,90464630,31980962410
1661884355,Device: id=1,RX,2.4584975522295,6956.2423567317,7349.6019650884,92923150,32850500644
1661884356,Device: id=1,RX,2.4503330262733,6933.9830731601,7326.0363573638,95373530,33717265144
1661884357,Device: id=1,RX,2.4440832023716,6917.9074665649,7308.9607789443,97817622,34582006690
1661884358,Device: id=1,RX,2.5067157007202,7097.8617136576,7498.9362257729,100324375,35469252606
1661884359,Device: id=1,RX,3.3127271910169,9372.7895193026,9902.8258698653,103637133,36640862192
1661884360,Device: id=1,RX,3.3118286633606,9369.141267676,9899.0338538137,106948966,37812006384
1661884361,Device: id=1,RX,3.3119523825734,9369.1283609989,9899.0407422107,110260933,38983152598
1661884362,Device: id=1,RX,3.3108168270698,9363.7498585202,9893.4805508514,113571804,40153640482
1661884363,Device: id=1,RX,3.3118600509269,9369.6617201624,9899.5593283107,116883728,41324870812
1661884364,Device: id=1,RX,3.3088809587223,9370.2926879539,9899.7136413495,120192644,42496169802
1661884365,Device: id=1,RX,3.3129857285383,9366.4820964694,9896.5598130356,123505650,43666987228
1661884366,Device: id=1,RX,3.3155688428911,9369.9649010432,9900.4559159057,126821238,44838239608
1661884367,Device: id=1,RX,3.1997963662164,9017.6942148879,9529.6616334826,130021078,45965466756
1661884368,Device: id=1,RX,3.1649601956248,8882.8152125634,9389.2088438634,133186078,47075832622
1661884369,Device: id=1,RX,3.3117932211666,9371.2881589535,9901.1750743401,136497911,48247257712
1661884370,Device: id=1,RX,3.311503654386,9364.4965607547,9894.3371454564,139809431,49417825560
1661884371,Device: id=1,RX,3.3156214030651,9372.9605787009,9903.4600031914,143125055,50589446550
1661884372,Device: id=1,RX,3.3120931363436,9362.8158328438,9892.7507346588,146437165,51759804488
1661884373,Device: id=1,RX,3.3150435924665,9371.252415949,9901.6593907437,149752209,52931211184
1661884374,Device: id=1,RX,3.3159623263659,9374.5498119297,9905.1037841482,153068199,54103039690
