,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads,bridge_mem-stores,bridge_iTLB-loads,bridge_mem-loads,bridge_bus-cycles
0,4758.5138650596,0.0,127.574,993819973.0,164538454.0,751252.0,798404.0,13493.0,1860456.0,403182767.0,2372213.0,353344282.0,2908.0,1189097.0,1603453.0,0.0,0.0,0.0,15515771.0
1,5590.8000808659,4409.171915045,30.288,7035962350.0,1367377951.0,6830121.0,6832579.0,3197.0,18257068.0,2592634535.0,18570045.0,2154094178.0,1589.0,8069865.0,10099904.0,0.0,150.0,0.0,99710483.0
2,5749.7083215554,5718.286967849,37.513,7014872313.0,1378109948.0,6862436.0,6862163.0,2002.0,18130638.0,2592270141.0,18474490.0,2143977395.0,1725.0,8103300.0,10067120.0,0.0,44.0,0.0,99700451.0
3,5746.6706224664,5735.3704508659,23.991,6995859747.0,1374752652.0,6698653.0,6691591.0,890.0,18052054.0,2592262405.0,18535864.0,2137285103.0,1264.0,8119430.0,10081690.0,0.0,44.0,0.0,99703796.0
4,5748.7589237241,5737.63124116,84.16,6966852690.0,1370409621.0,6526509.0,6527343.0,967.0,18220744.0,2577607147.0,18634810.0,2143414543.0,1188.0,8145109.0,10085700.0,0.0,183.0,0.0,99708770.0
5,5749.6256878553,5743.2727937332,62.215,7009748640.0,1381384385.0,6683326.0,6346102.0,1766.0,16519478.0,2592359470.0,17223236.0,2162452132.0,1916.0,7650209.0,9537036.0,0.0,139.0,0.0,99748723.0
6,5626.8813917238,4724.9755485178,15.507,6856482728.0,1352858376.0,7087791.0,6709177.0,13595.0,18241576.0,2596417201.0,18895347.0,2123313922.0,1433.0,8246318.0,9975285.0,0.0,108.0,0.0,99824903.0
7,5748.5574167269,5737.1704839078,22.419,6860615717.0,1350932528.0,6970998.0,6971881.0,734.0,18563296.0,2592628189.0,18874041.0,2111144530.0,775.0,8187753.0,10276225.0,0.0,117.0,0.0,99713054.0
8,5754.1855233865,5755.4409418432,21.069,6823347085.0,1344794588.0,6837740.0,6839200.0,600.0,18550964.0,2592431564.0,18977530.0,2107493064.0,1296.0,8287335.0,10200958.0,0.0,56.0,0.0,99707132.0
9,5795.5310713435,5795.7319977889,19.258,6812792303.0,1343536771.0,7105229.0,7118289.0,803.0,18640782.0,2592543785.0,19017062.0,2112221154.0,734.0,8256270.0,10170375.0,0.0,175.0,0.0,99712574.0
10,5795.2185419061,5794.0625524408,21.04,6857360768.0,1349366105.0,6629473.0,6633022.0,952.0,18087401.0,2592472803.0,18963922.0,2104405465.0,338.0,8278462.0,10119559.0,0.0,0.0,0.0,99709994.0
11,5771.2737397619,5771.9309595617,18.995,6808725152.0,1342485541.0,6753446.0,6754068.0,470.0,18670030.0,2592463714.0,18950263.0,2110902381.0,806.0,8386447.0,10234635.0,0.0,9.0,0.0,99708175.0
12,5794.5215842423,5795.0674535434,13.411,6899254833.0,1347292955.0,6755698.0,6758604.0,383.0,18808134.0,2592433005.0,19102886.0,2110213985.0,463.0,8421774.0,10134602.0,0.0,0.0,0.0,99707028.0
13,5794.7849561594,5790.3147917954,13.171,6907521533.0,1335643874.0,7069297.0,7060543.0,730.0,18842631.0,2592302636.0,19032359.0,2102097570.0,600.0,8389029.0,10312862.0,0.0,408.0,0.0,99705245.0
14,5791.0723402602,5795.1885038524,121.881,6889357843.0,1346428929.0,6868682.0,6872069.0,440.0,18811988.0,2592257766.0,19105373.0,2110100659.0,597.0,8426025.0,10371326.0,0.0,0.0,0.0,99702001.0
15,5795.5886011023,5795.416827625,187.287,6897494240.0,1354729461.0,6992371.0,6991671.0,367.0,18762935.0,2592323886.0,19072888.0,2099293730.0,663.0,8395722.0,10333439.0,0.0,183.0,0.0,99704622.0
16,5780.4717011812,5469.2031923279,5.645,6929133756.0,1342183635.0,6598614.0,6563741.0,1591.0,17826828.0,2592056651.0,18544239.0,2109255640.0,1723.0,8339938.0,10285099.0,0.0,417.0,0.0,99697679.0
17,5793.8150247315,5791.2777845272,7.35,6836206924.0,1344843401.0,6614993.0,6928392.0,932.0,18853573.0,2592631695.0,19208231.0,2103690001.0,3114.0,8463692.0,10450806.0,0.0,83.0,0.0,99713946.0
