,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads,bridge_mem-stores,bridge_iTLB-loads,bridge_mem-loads,bridge_bus-cycles
3329,894.23155670533,894.2315902838,5.757,9297163758.0,1833995412.0,6975144.0,6974558.0,602.0,6202346.0,2592682459.0,6265837.0,2863508357.0,717.0,2541014.0,3647637.0,0.0,83.0,0.0,99718722.0
3330,894.23158736906,894.23378579168,5.254,9215308131.0,1821812995.0,7656712.0,7650281.0,936.0,6199595.0,2592643306.0,6261703.0,2865944263.0,488.0,2548628.0,3601281.0,0.0,78.0,0.0,99714567.0
3331,894.23215765702,894.23220970809,4.976,9238960603.0,1825402515.0,7165753.0,7167321.0,676.0,6166633.0,2592647911.0,6244649.0,2878474374.0,528.0,2516420.0,3557053.0,0.0,70.0,0.0,99716320.0
3332,894.23160527385,894.23165580612,5.655,9300726741.0,1834349928.0,6976512.0,6976489.0,595.0,6177464.0,2592695768.0,6235149.0,2865750255.0,488.0,2542509.0,3581526.0,0.0,0.0,0.0,99717990.0
3333,894.23146495031,894.23135404109,7.168,9224582123.0,1823085188.0,7335352.0,7330033.0,595.0,6154908.0,2592660252.0,6231087.0,2878696287.0,425.0,2581535.0,3633445.0,0.0,9.0,0.0,99715814.0
3334,894.23212211388,894.23232671893,10.051,9363716252.0,1834513367.0,6973578.0,6901365.0,434.0,5966779.0,2590595249.0,6097460.0,2811423531.0,333.0,2577406.0,3576815.0,0.0,0.0,0.0,99622292.0
3335,894.2316248442,894.23146786504,7.568,9292922590.0,1807110873.0,7200229.0,7226516.0,1417.0,6262639.0,2592533227.0,6322324.0,2861284131.0,795.0,2575732.0,3615366.0,0.0,350.0,0.0,99708812.0
3336,894.2320139961,894.23164524733,16.457,9362193910.0,1834711282.0,7284905.0,7285529.0,735.0,6200299.0,2592808737.0,6270705.0,2878748050.0,1719.0,2557808.0,3625181.0,0.0,0.0,0.0,99722142.0
3337,894.23172909074,894.23215572335,12.156,7168449699.0,1408389127.0,6738106.0,6743880.0,1037.0,16777710.0,2592249440.0,17013967.0,2214634183.0,1212.0,7113121.0,8620069.0,0.0,251.0,0.0,99700677.0
3338,1771.8018316351,1952.644763183,12.537,6231641443.0,1222184441.0,6592198.0,6583747.0,1226.0,21881584.0,2592190598.0,22376909.0,1899027331.0,725.0,10115347.0,11979486.0,0.0,64.0,0.0,99706439.0
3339,7540.8246135484,7540.6699065238,17.52,6205739367.0,1218562984.0,6228466.0,6266526.0,765.0,22038887.0,2592395450.0,22472495.0,1903632725.0,959.0,10090809.0,11954722.0,0.0,110.0,0.0,99706807.0
3340,7538.3148211489,7535.7739419089,14.928,6182236125.0,1215529460.0,6226829.0,6550225.0,784.0,21937303.0,2592435440.0,22376473.0,1894844117.0,596.0,10034436.0,11892020.0,0.0,67.0,0.0,99708108.0
3341,7531.9363775854,7534.4401958244,16.906,6136068479.0,1208790088.0,6566817.0,6500293.0,990.0,22017590.0,2592220603.0,22492594.0,1904559672.0,663.0,10034847.0,11981000.0,0.0,139.0,0.0,99699574.0
3342,7533.9084842364,7533.914050978,19.177,6191386403.0,1215900761.0,6447157.0,6455360.0,700.0,22114650.0,2592362047.0,22456048.0,1891402001.0,389.0,9887141.0,12015918.0,0.0,83.0,0.0,99705113.0
3343,7541.8962884043,7541.7170180055,15.507,6124532905.0,1206478049.0,6513739.0,6512361.0,1325.0,21923019.0,2592373867.0,22536945.0,1893106368.0,600.0,10074373.0,11917827.0,0.0,59.0,0.0,99706319.0
3344,7514.7131948313,7513.0098346192,17.081,6131337839.0,1207640831.0,6215138.0,6213127.0,331.0,22158093.0,2592402524.0,22572407.0,1900756853.0,445.0,9928069.0,11789464.0,0.0,338.0,0.0,99706086.0
3345,7533.8220325573,7533.9928623872,53.081,6004627011.0,1189398716.0,5979632.0,6014561.0,2413.0,21610822.0,2591863264.0,20766801.0,1893510586.0,1813.0,9446063.0,11059807.0,0.0,859.0,0.0,99686388.0
3346,7535.6697042747,7503.9078224419,20.934,5754293914.0,1137379953.0,6112950.0,6129085.0,1666.0,20889091.0,2591924097.0,21889729.0,1790800606.0,900.0,9579554.0,11414842.0,0.0,102.0,0.0,99692276.0
3347,7381.5985303339,6722.8461885151,23.469,1652189361.0,326225657.0,1671680.0,1685936.0,1620.0,7533049.0,745220995.0,8027234.0,517768344.0,1528.0,3371418.0,4234678.0,0.0,185.0,0.0,28651838.0
3348,7280.9674560592,4826.8838065593,15000.0,1187027409.0,228738135.0,1201255.0,1183872.0,1183.0,5674203.0,530301996.0,5921949.0,358842068.0,3198.0,2600837.0,3075699.0,0.0,51.0,0.0,20397013.0
3349,7721.9678093409,1701.410064507,15000.0,1118663018.0,223044990.0,1181342.0,1210673.0,1744.0,5671392.0,518179923.0,5505465.0,332996248.0,975.0,2579381.0,3048138.0,0.0,183.0,0.0,19929993.0
3350,7710.1135656022,1736.6302996137,15000.0,1118460194.0,221289157.0,1167435.0,1202844.0,1794.0,5626249.0,518117237.0,5839860.0,337007288.0,750.0,2589934.0,3095161.0,0.0,117.0,0.0,19922389.0
3351,7710.3198203119,1687.8804703493,15000.0,1106066399.0,219920668.0,1155881.0,1183646.0,3493.0,5752752.0,518192886.0,5646881.0,339722477.0,888.0,2542461.0,2977724.0,0.0,92.0,0.0,19929236.0
3352,7720.819193282,1712.8790504096,15000.0,1119517227.0,221211170.0,1175867.0,1208736.0,1381.0,5572804.0,518219343.0,5762146.0,338489654.0,913.0,2577152.0,3032564.0,0.0,125.0,0.0,19934115.0
3353,7723.1572826786,1702.5838137906,13.453,1114825202.0,219442560.0,1165636.0,1183490.0,1881.0,5628335.0,514489412.0,5835238.0,343403784.0,869.0,2530647.0,2915008.0,0.0,124.0,0.0,19792134.0
3354,7720.8610115036,1665.545193536,15000.0,1142313820.0,218922324.0,1207019.0,1443845.0,1145.0,5511744.0,511442925.0,6179217.0,335591846.0,1924.0,2567859.0,3079951.0,0.0,33.0,0.0,19667131.0
3355,7726.1122214821,1724.260277064,15000.0,1147229948.0,221252374.0,1213561.0,1181582.0,1005.0,5733964.0,518215501.0,6249197.0,348963280.0,1338.0,2694099.0,3140340.0,0.0,50.0,0.0,19931039.0
3356,7714.6002496585,1722.1645312925,17.331,576764095.0,113627529.0,841063.0,656178.0,54406.0,4627665.0,517938019.0,5726081.0,365281117.0,2338.0,2516281.0,2861630.0,0.0,50.0,0.0,19924855.0
3357,7638.17484801,1468.3547035943,14.282,5128657010.0,1005317743.0,5599646.0,5562391.0,1873.0,18028016.0,2104351643.0,18402931.0,1579302756.0,3363.0,7798664.0,9633605.0,0.0,97.0,0.0,80950285.0
3358,7519.6753059747,2977.181439169,11.511,6384382335.0,1255045374.0,6665203.0,6821377.0,600.0,21736379.0,2592346736.0,21909563.0,1959721322.0,920.0,9639062.0,12108236.0,0.0,117.0,0.0,99703907.0
3359,6185.5651319474,6185.5661838645,12.352,6332777887.0,1248846788.0,6620328.0,6619887.0,734.0,21635992.0,2592506164.0,22142273.0,1951848858.0,725.0,9595796.0,12173948.0,0.0,58.0,0.0,99710132.0
3360,6187.3109356337,6187.3171911708,12.755,6316116412.0,1244482134.0,6630732.0,6629741.0,585.0,21790140.0,2592406383.0,22222658.0,1959484709.0,458.0,9457372.0,12134223.0,0.0,157.0,0.0,99706783.0
3361,6185.3749922568,6185.3726876257,11.821,6358720846.0,1250862618.0,6659533.0,6660488.0,929.0,21722454.0,2592310263.0,22256847.0,1950581585.0,388.0,9517819.0,11961790.0,0.0,800.0,0.0,99707950.0
3362,6184.7189737967,6184.7280614691,8.772,6309450178.0,1244519742.0,6957004.0,6952552.0,755.0,21702272.0,2592358958.0,22211577.0,1956105236.0,525.0,9606111.0,12104439.0,0.0,130.0,0.0,99702338.0
3363,6187.5558692623,6187.5441674044,10.56,6359352643.0,1250218469.0,6954094.0,6952773.0,490.0,21884131.0,2592450577.0,22339323.0,1945309007.0,236.0,9599002.0,12006821.0,0.0,0.0,0.0,99705889.0
3364,6185.7419100691,6185.7492309641,10.637,6287220529.0,1239404466.0,7069619.0,7056601.0,928.0,21902969.0,2592353805.0,22257897.0,1954398938.0,363.0,9722131.0,12147553.0,0.0,17.0,0.0,99709380.0
3365,6186.2786773707,6186.2535527622,299.5,6399601310.0,1244935266.0,6882273.0,6882343.0,595.0,21941001.0,2592253200.0,22373474.0,1953942307.0,1095.0,9723841.0,12021510.0,0.0,0.0,0.0,99703859.0
3366,6180.6087237401,6180.6328838887,15000.0,6459652766.0,1251522173.0,6481073.0,6414448.0,1771.0,20833082.0,2591000079.0,21860059.0,1908527216.0,1676.0,9628484.0,12141186.0,0.0,592.0,0.0,99659762.0
3367,6175.1544991572,6023.3995712109,15000.0,3050659576.0,594012334.0,2979154.0,2971896.0,4901.0,11098688.0,1399267178.0,11445310.0,945169171.0,1269.0,5088070.0,6290311.0,0.0,198.0,0.0,53809261.0
3368,5990.6786516796,5270.0828872338,11.881,2093803510.0,410612350.0,2186570.0,2202090.0,1392.0,8928471.0,880104176.0,9014657.0,635121620.0,1147.0,3804868.0,4649034.0,0.0,217.0,0.0,33849773.0
3369,6058.2839949517,2200.2419119117,15000.0,2043392114.0,397644348.0,2158835.0,2176199.0,1368.0,8299075.0,861241094.0,9274755.0,609548571.0,1384.0,3968783.0,4763590.0,0.0,90.0,0.0,33109580.0
3370,6060.2646803306,2297.6707976631,15000.0,2032676440.0,397839714.0,2129028.0,2123918.0,1214.0,8319854.0,849930429.0,8737441.0,607306357.0,1736.0,3741906.0,4877324.0,0.0,109.0,0.0,32689697.0
3371,6059.7667833741,2251.5039182598,15000.0,2046474466.0,396712551.0,2142419.0,2148628.0,1382.0,8634559.0,870506295.0,8822976.0,628439257.0,1120.0,3834575.0,4823543.0,0.0,103.0,0.0,33477604.0
3372,6061.2717537344,2239.3503765646,15000.0,2055779336.0,402985550.0,2174955.0,2174457.0,1775.0,8708434.0,870533954.0,9062386.0,623629655.0,3668.0,3844709.0,4707117.0,0.0,65.0,0.0,33482559.0
3373,6060.17823897,2283.1798181591,11.194,2002034417.0,386091139.0,2098999.0,2099183.0,1804.0,8524040.0,852857913.0,8878159.0,605006305.0,1091.0,3895568.0,4743712.0,0.0,101.0,0.0,32805235.0
3374,6061.1094170952,2287.71635917,15000.0,2027984364.0,397248760.0,2150421.0,2157994.0,1302.0,8674012.0,861525654.0,8871979.0,596704967.0,1164.0,3770795.0,4607141.0,0.0,102.0,0.0,33135805.0
3375,6059.9193508003,2229.7395819537,9.316,2034351984.0,400686987.0,2183286.0,2179902.0,1744.0,8883235.0,881748526.0,9342458.0,632801535.0,1532.0,3946377.0,4956781.0,0.0,380.0,0.0,33913010.0
3376,6057.3855573231,2264.2500930213,15000.0,2069124642.0,401044369.0,2106053.0,2130353.0,4338.0,8713899.0,860923038.0,8313874.0,620008393.0,1191.0,3643800.0,4324567.0,0.0,766.0,0.0,33098400.0
