,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-03-09,23:16:59.288,   87.85,  147.97,  319.08,  270.56,,,,,  406.93,  418.52,2133043485,  825.45,  188.27,    6.38,  185.50,    2.99,,,,,  373.77,    9.37,2132888731,  383.15,    780.70,    427.89,   1208.60
2024-03-09,23:17:00.288,   84.65,  143.61,  308.16,  262.40,,,,,  392.81,  406.01,2132506906,  798.82,  179.38,    5.21,  175.76,    1.83,,,,,  355.14,    7.03,2132519997,  362.17,    747.96,    413.04,   1160.99
2024-03-09,23:17:01.289,   84.96,  143.56,  308.93,  262.52,,,,,  393.89,  406.08,2134517792,  799.97,  176.60,    5.35,  172.70,    1.95,,,,,  349.30,    7.29,2134551965,  356.60,    743.19,    413.38,   1156.56
2024-03-09,23:17:02.288,   85.76,  143.52,  311.90,  263.69,,,,,  397.65,  407.21,2132426707,  804.86,  177.79,    6.30,  174.12,    2.89,,,,,  351.91,    9.19,2132453632,  361.09,    749.56,    416.40,   1165.96
2024-03-09,23:17:03.288,   84.67,  142.49,  308.62,  261.77,,,,,  393.29,  404.26,2132565788,  797.55,  173.30,    4.86,  169.87,    1.44,,,,,  343.18,    6.31,2132485891,  349.48,    736.47,    410.57,   1147.04
2024-03-09,23:17:04.289,   83.33,  140.80,  303.75,  258.04,,,,,  387.08,  398.84,2134489481,  785.93,  169.42,    4.65,  166.71,    1.27,,,,,  336.13,    5.92,2134509244,  342.05,    723.22,    404.76,   1127.98
2024-03-09,23:17:05.288,   85.28,  142.38,  311.27,  262.32,,,,,  396.55,  404.71,2132400854,  801.26,  169.74,    5.51,  166.93,    2.13,,,,,  336.67,    7.64,2132385096,  344.30,    733.21,    412.35,   1145.56
2024-03-09,23:17:06.289,   83.44,  140.30,  304.70,  258.05,,,,,  388.14,  398.35,2134461622,  786.49,  171.10,    5.19,  167.45,    1.79,,,,,  338.54,    6.98,2134434616,  345.52,    726.68,    405.33,   1132.02
2024-03-09,23:17:07.289,   84.45,  141.43,  308.12,  260.28,,,,,  392.57,  401.71,2132361600,  794.28,  169.64,    4.92,  165.70,    1.51,,,,,  335.34,    6.43,2132364987,  341.77,    727.91,    408.14,   1136.05
2024-03-09,23:17:08.291,   83.35,  140.45,  304.29,  257.73,,,,,  387.64,  398.18,2134563766,  785.82,  171.83,    5.29,  167.61,    1.91,,,,,  339.44,    7.20,2137482639,  346.65,    727.08,    405.38,   1132.47
2024-03-09,23:17:09.291,  106.16,  167.17,  381.01,  309.67,,,,,  487.16,  476.85,2133363399,  964.01,  219.78,   22.34,  214.52,   18.61,,,,,  434.29,   40.95,2133134937,  475.25,    921.46,    517.80,   1439.25
2024-03-09,23:17:10.291,   84.04,  142.34,  307.17,  261.35,,,,,  391.21,  403.69,2135582797,  794.89,  178.66,    5.01,  175.27,    1.62,,,,,  353.93,    6.63,2132997079,  360.56,    745.14,    410.31,   1155.45
2024-03-09,23:17:11.291,   84.61,  142.75,  308.84,  261.99,,,,,  393.45,  404.73,2130390482,  798.18,  173.31,    4.79,  170.06,    1.38,,,,,  343.38,    6.17,2132996590,  349.55,    736.82,    410.91,   1147.73
2024-03-09,23:17:12.291,   82.95,  140.82,  303.23,  258.18,,,,,  386.19,  399.00,2133090055,  785.19,  169.09,    4.81,  166.33,    1.44,,,,,  335.42,    6.25,2133109580,  341.67,    721.60,    405.25,   1126.85
2024-03-09,23:17:13.291,   84.12,  141.87,  307.75,  260.63,,,,,  391.87,  402.50,2133005858,  794.38,  170.46,    5.81,  167.47,    2.44,,,,,  337.93,    8.26,2133004004,  346.19,    729.80,    410.76,   1140.56
2024-03-09,23:17:14.291,   82.96,  140.31,  302.51,  257.06,,,,,  385.48,  397.37,2132955656,  782.84,  169.06,    4.87,  165.48,    1.47,,,,,  334.54,    6.34,2133083936,  340.88,    720.01,    403.71,   1123.72
2024-03-09,23:17:15.291,   84.01,  141.34,  307.15,  259.80,,,,,  391.15,  401.14,2133093277,  792.30,  167.40,    4.77,  163.66,    1.36,,,,,  331.06,    6.13,2132947323,  337.19,    722.21,    407.28,   1129.49
2024-03-09,23:17:16.291,   83.58,  139.27,  305.01,  257.02,,,,,  388.59,  396.30,2133959087,  784.89,  166.79,    5.77,  164.05,    2.38,,,,,  330.84,    8.15,2131295338,  338.99,    719.44,    404.45,   1123.88
2024-03-09,23:17:17.292,   84.14,  141.05,  307.42,  259.54,,,,,  391.56,  400.59,2134503438,  792.15,  170.20,    5.00,  167.79,    1.62,,,,,  337.98,    6.62,2134474520,  344.60,    729.54,    407.21,   1136.75
2024-03-09,23:17:18.292,   82.20,  138.71,  302.14,  255.59,,,,,  384.34,  394.30,2132354530,  778.64,  166.23,    4.78,  164.24,    1.39,,,,,  330.46,    6.17,2132355659,  336.63,    714.80,    400.47,   1115.27
2024-03-09,23:17:19.292,  105.74,  175.90,  377.61,  317.38,,,,,  483.34,  493.27,2132525366,  976.62,  213.51,   18.72,  210.25,   15.45,,,,,  423.76,   34.17,2132591089,  457.93,    907.10,    527.44,   1434.55
2024-03-09,23:17:20.291,   83.90,  144.38,  305.96,  262.90,,,,,  389.86,  407.28,2134900206,  797.14,  181.11,    5.36,  177.45,    1.95,,,,,  358.56,    7.30,2134942753,  365.86,    748.42,    414.58,   1163.00
