1 15000000
2 15000000
3 15000000
4 15000000
5 84966
6 483898
7 25072
8 557968
9 15000000
10 15000000
11 30448
12 137197
13 28263
14 326349
15 17049
16 15000000
17 15000000
18 232355
19 15000000
20 15000000
21 331155
22 174800
23 14016
24 15000000
25 138170
26 317053
27 42515
28 15000000
29 15000000
30 275245
31 20153
32 14819
33 12941
34 15000000
35 15000000
36 23078
37 31386
38 24749
39 15000000
40 328825
41 15000000
42 14973
43 14224
44 17232
45 15000000
46 146979
47 11812
48 25824
49 14778
50 31191
51 15000000
52 15000000
53 15000000
54 16409
55 15000000
56 354387
57 689206
58 15000000
59 19594
60 1611600
61 19724
62 15000000
63 15000000
64 15000000
65 15000000
66 15000000
67 15000000
68 15000000
69 1688326
70 2660701
71 15000000
72 15000000
73 3412432
74 29705
75 15000000
76 15000000
77 1456070
78 28439
79 329168
80 20496
81 196870
82 22954
83 31495
84 40854
85 15788
86 13129
87 288883
88 18441
89 15488
90 65763
91 22605
92 14996
93 277488
94 21081
95 3655135
96 258503
97 21318
98 16234
99 12547
100 1292025
101 16326
102 19277
103 27872
104 26339
105 17863
106 15000000
