,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-15,10:10:28.971,  152.74,  210.84,  557.38,  410.54,,,,,  710.13,  621.39,     53533, 1331.51,  217.67,    5.79,  223.16,    9.18,,,,,  440.83,   14.97,     53420,  455.80,   1150.96,    636.35,   1787.31
2024-02-15,10:10:29.971,  149.01,  205.47,  546.00,  402.06,,,,,  695.01,  607.54,     52861, 1302.54,  208.45,    2.70,  212.94,    6.05,,,,,  421.38,    8.75,     53109,  430.13,   1116.39,    616.28,   1732.68
2024-02-15,10:10:30.971,  147.16,  202.93,  540.63,  398.00,,,,,  687.79,  600.93,     52825, 1288.72,  203.98,    1.62,  209.35,    4.98,,,,,  413.33,    6.59,     53086,  419.93,   1101.13,    607.52,   1708.65
2024-02-15,10:10:31.971,  143.61,  198.48,  529.61,  390.49,,,,,  673.22,  588.97,     52820, 1262.19,  199.29,    1.12,  204.54,    4.45,,,,,  403.84,    5.57,     53167,  409.41,   1077.05,    594.54,   1671.60
2024-02-15,10:10:32.972,  141.33,  197.27,  523.38,  387.46,,,,,  664.70,  584.74,     52732, 1249.44,  197.19,    1.13,  202.01,    4.49,,,,,  399.20,    5.62,     53210,  404.82,   1063.90,    590.35,   1654.26
2024-02-15,10:10:33.971,  138.73,  194.23,  514.87,  382.08,,,,,  653.61,  576.31,     52790, 1229.91,  198.34,    1.64,  203.00,    4.97,,,,,  401.34,    6.61,     53162,  407.95,   1054.95,    582.92,   1637.87
2024-02-15,10:10:34.973,  143.13,  205.26,  525.34,  395.37,,,,,  668.47,  600.63,     52783, 1269.11,  212.91,    8.36,  217.72,   11.91,,,,,  430.63,   20.27,     53231,  450.90,   1099.10,    620.91,   1720.01
2024-02-15,10:10:35.972,  118.94,  199.71,  436.47,  362.12,,,,,  555.42,  561.84,     52596, 1117.25,  230.44,    7.41,  234.36,   10.76,,,,,  464.80,   18.17,     53167,  482.97,   1020.21,    580.01,   1600.22
2024-02-15,10:10:36.971,  106.55,  184.04,  405.55,  339.01,,,,,  512.10,  523.05,     83410, 1035.16,  212.75,    1.90,  217.38,    5.25,,,,,  430.13,    7.15,     53156,  437.27,    942.23,    530.20,   1472.43
2024-02-15,10:10:37.972,   89.47,  170.48,  353.14,  310.70,,,,,  442.61,  481.18,    105375,  923.79,  204.26,    0.94,  209.34,    4.30,,,,,  413.60,    5.24,     53108,  418.85,    856.21,    486.42,   1342.64
2024-02-15,10:10:38.972,   88.92,  167.39,  350.87,  306.51,,,,,  439.79,  473.90,    105316,  913.69,  200.03,    0.91,  204.51,    4.25,,,,,  404.54,    5.17,     53056,  409.71,    844.33,    479.07,   1323.41
2024-02-15,10:10:39.973,   87.86,  165.44,  348.17,  303.67,,,,,  436.04,  469.11,    105360,  905.15,  200.11,    1.41,  203.42,    4.76,,,,,  403.53,    6.17,     53045,  409.70,    839.57,    475.28,   1314.85
2024-02-15,10:10:40.972,   89.37,  166.85,  353.69,  307.03,,,,,  443.07,  473.88,    105251,  916.94,  198.14,    1.16,  202.43,    4.51,,,,,  400.57,    5.67,     53091,  406.24,    843.64,    479.55,   1323.19
2024-02-15,10:10:41.972,   87.13,  163.10,  345.08,  300.46,,,,,  432.21,  463.57,    105283,  895.78,  194.46,    0.91,  200.16,    4.29,,,,,  394.62,    5.20,     52961,  399.82,    826.83,    468.77,   1295.60
2024-02-15,10:10:42.973,   82.78,  151.25,  329.56,  282.04,,,,,  412.34,  433.29,    105338,  845.63,  177.78,    1.16,  182.68,    4.51,,,,,  360.46,    5.67,     52949,  366.13,    772.80,    438.96,   1211.76
2024-02-15,10:10:43.972,   45.91,   51.91,  198.32,  132.38,,,,,  244.22,  184.29,    105034,  428.51,   58.49,    1.13,   62.08,    4.49,,,,,  120.57,    5.63,     52548,  126.20,    364.79,    189.92,    554.71
2024-02-15,10:10:44.973,   48.87,   54.93,  209.03,  139.40,,,,,  257.90,  194.33,    105192,  452.23,   62.73,    2.48,   66.32,    5.83,,,,,  129.05,    8.32,     52653,  137.36,    386.95,    202.65,    589.60
2024-02-15,10:10:45.973,   72.01,   81.48,  289.12,  193.80,,,,,  361.13,  275.28,    105271,  636.41,   84.93,   10.55,   88.78,   14.07,,,,,  173.71,   24.62,     52664,  198.33,    534.83,    299.90,    834.74
