skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total
4792788,3939670,1965992,127261162,8187984,140,122318,10887688,128702,4888562,10334212,0,28532,168658
12490576,3973564,5086970,91562478,8279992,140,523740,10908674,128660,5779956,8180396,0,28308,169652
5949146,3955770,1719844,84689612,8201620,140,773654,10835496,128436,4442200,10301858,0,28266,168756
1603938,3958584,1853264,105756000,8313998,140,771680,10909556,129206,4556118,10509954,0,28364,168672
8135582,3467772,2168460,127984878,8204350,0,768852,10907582,127904,5073544,10285576,0,28518,169890
12521614,3236352,2432990,128405732,8182622,0,770868,10919524,127400,5254956,10098410,0,28490,169596
12517834,3342332,2436812,128797802,8179696,0,771400,10912454,127554,5126366,10243534,0,28406,168980
12329352,3229366,2479064,128295146,8247554,0,773332,10830190,127442,5168604,10343522,0,28462,169960
12431174,3905566,2947434,105233576,9003162,0,731486,10839822,127148,5755008,15467956,0,28672,166866
12415088,3913504,2916984,129944150,8254638,0,147098,10851680,126336,5836558,10464258,0,28560,168182
12434940,3909850,3565016,85940708,8240876,0,55580,10825276,127120,6419112,10427074,0,28616,166880
11589662,3919426,3310944,123445714,8371552,140,380436,10857056,127036,6232198,10296678,0,28364,167398
1601124,3919426,3549126,130279618,8245594,140,762286,10853906,127092,6396950,10417176,0,28210,167902
1585836,3073784,3532508,130756052,8397410,140,752878,10837652,127568,6368992,11055002,0,28238,167762
12477234,3268748,3133214,131093452,8194466,140,380030,10865456,128226,6178564,11186672,0,28336,165830
12477682,3615346,2744294,128190356,8190308,140,211064,10863650,128814,5940802,10382316,0,28406,166194
12514250,3962308,2895536,85381254,8191302,140,764526,10888864,128282,6156682,10085894,0,28224,167580
1586438,3925642,3010070,96247466,10438330,140,823214,10854214,127344,6202728,12012448,0,36204,214088
15249290,4134354,2634548,122422678,10449320,140,713902,14042882,164010,5518814,12199880,0,35854,201740
15732710,4235770,2635850,140199640,10420438,140,814254,14037408,162918,5567156,12320196,0,35952,211848
15828582,4757158,2408182,145335988,10452918,140,437668,14033320,163436,5604886,12236182,0,36106,211988
15770846,4754694,2798880,109117890,10474226,140,606172,14034398,163660,5512318,12064598,0,36036,213430
14996324,4551330,5451446,49499576,9515940,140,654794,14069440,163058,11026694,14746508,0,36022,215152
1937922,4698876,1795752,58575622,10133396,0,495852,14029876,163338,4814628,12203310,0,36344,214858
14,4642302,1912624,43144234,10462914,0,812700,14030086,162778,4976986,12214608,0,36386,213402
1943088,1335152,1912302,111876324,10453828,0,732326,14026516,162960,4910724,12356960,0,36344,213654
6898556,2281594,1814288,124575304,10466890,0,73234,14036582,161490,4787314,12368902,0,36540,215236
15748222,4009992,1581370,131738978,10416056,0,71330,14025032,162820,4674670,12242986,0,36582,214186
15534106,4124232,1710492,74793824,10518326,0,71456,13871802,161770,4595626,12367530,0,36554,212520
1723344,4501840,1717576,70491540,10301914,0,640486,13923000,160902,4718602,12469982,0,36358,211190
1934744,4188842,1756188,131306784,10519684,0,786548,13940836,160972,4689888,12421738,0,36302,211386
3970806,3986738,1784328,126665854,10331510,14,615804,13905206,161294,4563048,12491402,0,36400,209580
15598086,3967670,1445472,123687410,10248252,0,89404,13915776,161000,4703622,12796994,0,36372,213612
15610140,4034828,1728160,94036054,10512600,140,70910,13920018,159698,4819780,12285700,0,36232,212800
15596546,4631690,1535576,67298588,10517164,168,767746,13906186,161882,4917010,12176388,0,36218,212422
5082812,4618810,1869994,30056320,10514182,196,773794,13925674,161532,4938654,12234012,0,36064,212380
937734,4320638,1818530,119991774,10514882,140,219674,13909112,160412,4777486,12055092,0,36162,213038
13642342,1550682,1690108,73670646,4256098,154,28952,13927354,160762,4590964,7311332,0,14728,86576
6676964,1821428,1622670,88785718,4236596,182,29106,5611046,65590,4785452,7030856,0,14812,86828
4875262,2136904,1776670,76645086,4238948,182,28924,5615806,66150,4947628,7218848,0,14658,86590
908684,2351524,1662822,39204606,4237772,154,176806,5597200,64806,4766902,7247464,0,14658,86296
908740,2271346,1981896,78653022,4236008,126,519596,5600280,67186,4827606,7400106,0,14560,87304
291438,503398,1558634,67803218,4230408,140,64610,5609478,67550,4553136,8839530,0,14714,86310
4185972,1993040,1645574,54416600,4234048,140,520072,5611900,65772,4780790,7456022,0,14588,87584
3157784,2346638,1474956,85567356,4247026,168,534982,5602968,66150,4860954,7459256,0,14756,87794
915852,2359490,2153186,13223112,4229932,0,537068,5605754,66822,4683910,7578466,0,14700,87724
4913650,2082612,1809010,14895958,4238598,0,536970,5606972,66668,4652312,7546980,0,14658,86352
6691006,1783432,2207212,88428998,4243498,0,121898,5608372,66108,4768064,7725914,0,15078,86996
6684720,2088058,1639134,88578448,4240544,0,32746,5602072,66136,4656610,7619598,0,15120,87724
6678364,2311498,3640322,81997314,4240124,0,373870,5603780,66458,8620220,7817586,0,15050,86982
913654,2346456,1384614,88609514,4232368,0,28994,5599076,67046,4729816,8193962,0,15190,87514
923902,1913730,1947834,23110402,4231192,0,442974,5598404,66276,4598286,7547106,0,14714,86898
1690808,1869322,1647842,6981618,4234902,0,28868,5592174,66444,4567724,7232022,0,14714,87094
