,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads,firewall_mem-stores,nf_router_mem-stores,ndpi_stats_mem-stores,payload_scan_mem-stores,bridge_mem-stores,firewall_iTLB-loads,nf_router_iTLB-loads,ndpi_stats_iTLB-loads,payload_scan_iTLB-loads,bridge_iTLB-loads,firewall_mem-loads,nf_router_mem-loads,ndpi_stats_mem-loads,payload_scan_mem-loads,bridge_mem-loads
0,438.83012080761,406.2724547312,14.643,10092731604.0,9667280049.0,10037593091.0,9971320769.0,9962645006.0,1967960485.0,1917411063.0,1951131685.0,1977605285.0,1974095434.0,8318958.0,7670059.0,7881643.0,7733095.0,7848756.0,8308321.0,7590293.0,7882530.0,7728315.0,7847057.0,4305.0,3922.0,4369.0,3889.0,3363.0,9128007.0,8028343.0,9363325.0,9526953.0,6988853.0,2892936642.0,2553237865.0,2892947278.0,2892926309.0,2892925608.0,9817295.0,9019785.0,9810755.0,10376155.0,7224421.0,3082064557.0,2899661278.0,3072681961.0,3116370375.0,3120705055.0,1916.0,1463.0,2254.0,1025.0,550.0,3124696.0,3109918.0,3201656.0,3374115.0,3005901.0,5822738.0,5203724.0,6015963.0,5942724.0,3818143.0,0.0,0.0,0.0,0.0,0.0,9.0,37.0,5809.0,129.0,147.0,0.0,0.0,0.0,0.0,0.0
1,1931.728983447,2087.7206391395,12.713,10121102917.0,10317897223.0,10057066278.0,10079745614.0,10096216032.0,1981821145.0,2037058983.0,1963104169.0,1996242862.0,1996072075.0,7724702.0,8065754.0,7984642.0,7816076.0,7913552.0,7734901.0,8060868.0,7998246.0,7816782.0,7914952.0,8352.0,3521.0,5036.0,3756.0,2196.0,8303619.0,7490289.0,8642259.0,8690179.0,6253251.0,2891760792.0,2892114927.0,2891789949.0,2891336188.0,2891761713.0,9258732.0,8426694.0,9324528.0,9822696.0,6769349.0,3074425811.0,3147130979.0,3056657434.0,3114380440.0,3117393760.0,8102.0,3112.0,4446.0,3377.0,848.0,2924272.0,2948693.0,3006777.0,3246296.0,2903434.0,5715622.0,4905613.0,5914372.0,5803614.0,3635925.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2113.1757858481,2111.8256873045,12.681,10058225364.0,10321806468.0,10043494717.0,10050644436.0,10047808457.0,1968079079.0,2037670753.0,1957633452.0,1973636046.0,1967916392.0,7635439.0,8085004.0,7883193.0,7743587.0,8404531.0,7637578.0,8033141.0,7887541.0,7746960.0,8405952.0,3634.0,2028.0,2901.0,2567.0,1584.0,8932571.0,8111306.0,9219408.0,9403659.0,6901931.0,2891899785.0,2891807232.0,2891886703.0,2891964149.0,2891975295.0,9506446.0,8710228.0,9572183.0,10095675.0,7029124.0,3073396464.0,3153880989.0,3064721076.0,3096871098.0,3099584526.0,3338.0,1313.0,2738.0,1525.0,713.0,3096171.0,3087680.0,3187539.0,3404585.0,3049762.0,5901737.0,5164212.0,6088931.0,5957864.0,3840256.0,0.0,0.0,0.0,0.0,0.0,92.0,50.0,92.0,58.0,17.0,0.0,0.0,0.0,0.0,0.0
3,2113.1888016799,2110.5337154041,8.86,10023167382.0,10114812943.0,10021979208.0,10163534188.0,10145159120.0,1975902511.0,2006683163.0,1968926756.0,1991736782.0,1983570864.0,7950182.0,8053303.0,7921045.0,7797904.0,7731722.0,7952311.0,8231469.0,7920877.0,7797513.0,7735270.0,1730.0,1375.0,1850.0,1380.0,965.0,9159735.0,8417378.0,9426471.0,9636598.0,7094361.0,2891712463.0,2891845107.0,2891704507.0,2891833783.0,2891946827.0,9927070.0,9120668.0,9917521.0,10458552.0,7285618.0,3081007917.0,3174360799.0,3077932385.0,3127112379.0,3121196006.0,3194.0,1951.0,2866.0,2548.0,1680.0,3141110.0,3177001.0,3237217.0,3499937.0,3114493.0,6017154.0,5238688.0,6191129.0,6003993.0,3889969.0,0.0,0.0,0.0,0.0,0.0,75.0,93.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2113.143465801,2109.1446911136,10.297,10019985247.0,10214644092.0,10017222537.0,10153397904.0,10144910699.0,1976788704.0,2021712490.0,1968683419.0,1973024945.0,1966707970.0,7756583.0,8094541.0,7858057.0,7728700.0,7670359.0,7753246.0,8036360.0,7856110.0,7730009.0,7672277.0,2763.0,2513.0,3116.0,3091.0,1766.0,9063945.0,8305343.0,9344049.0,9601721.0,7037352.0,2891125448.0,2891547372.0,2891376101.0,2891647097.0,2891541281.0,9694875.0,8932461.0,9718854.0,10224240.0,7088858.0,3063224175.0,3150306542.0,3057632307.0,3105576682.0,3099862123.0,3086.0,1094.0,2568.0,2524.0,1812.0,3100313.0,3039168.0,3188092.0,3418273.0,3047858.0,5899726.0,5155486.0,6079266.0,5981660.0,3869890.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2113.0573293076,2110.4592058538,8.73,9896248565.0,10098206405.0,9902036467.0,10165309039.0,10153281582.0,1957330411.0,2004766518.0,1950799113.0,2007662053.0,2000198153.0,7659188.0,8036119.0,8031650.0,7732284.0,7848293.0,7613720.0,8092020.0,7851796.0,7733250.0,7845478.0,2738.0,2174.0,3150.0,2836.0,2200.0,9139832.0,8361303.0,9404485.0,9569311.0,7038849.0,2891414700.0,2891686778.0,2891701344.0,2891648849.0,2891777136.0,9964757.0,9172482.0,9968457.0,10486301.0,7325825.0,3074517946.0,3169101561.0,3074532368.0,3120119913.0,3115535323.0,1609.0,600.0,1297.0,1613.0,6726.0,3170882.0,3123838.0,3261479.0,3539391.0,3152042.0,6070995.0,5268409.0,6246688.0,6124421.0,3964940.0,0.0,0.0,0.0,0.0,0.0,81.0,80.0,97.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0
6,2113.0165253345,2109.7089897573,9.862,9897990389.0,10204781184.0,9903719666.0,10156389450.0,10146192982.0,1958485019.0,2019838843.0,1952513321.0,2004035561.0,1997510257.0,7663854.0,8098231.0,8015751.0,7788426.0,7865187.0,7868187.0,8098248.0,7907008.0,7788312.0,7860109.0,1941.0,1014.0,2076.0,1590.0,2166.0,9212076.0,8429072.0,9472888.0,9585941.0,7030024.0,2891743074.0,2891934532.0,2891861228.0,2891815378.0,2891823556.0,9918391.0,9099239.0,9923746.0,10461036.0,7265729.0,3049908548.0,3145855654.0,3049892836.0,3095329986.0,3090387789.0,1532.0,542.0,1299.0,2195.0,1472.0,3150877.0,3071823.0,3245590.0,3532876.0,3143140.0,6070135.0,5255951.0,6251108.0,6092214.0,3943152.0,0.0,0.0,0.0,0.0,0.0,128.0,87.0,78.0,120.0,70.0,0.0,0.0,0.0,0.0,0.0
7,2113.1339106887,2110.9337095102,13.335,9792875704.0,10104297536.0,9797021065.0,10146358692.0,10130274144.0,1941580145.0,2004730104.0,1935274226.0,2004423729.0,1996187773.0,8084937.0,8381096.0,8017813.0,7784693.0,7727485.0,7657394.0,8385658.0,7902118.0,7728909.0,7669650.0,2384.0,1319.0,2845.0,2295.0,1717.0,9165633.0,8424176.0,9434343.0,9548942.0,7032452.0,2891568301.0,2891868094.0,2891788967.0,2891659508.0,2891687408.0,9891156.0,9175786.0,9917544.0,10393093.0,7247224.0,3052942581.0,3144527482.0,3050307188.0,3098581919.0,3093029506.0,1263.0,550.0,1275.0,1525.0,963.0,3116065.0,3133536.0,3208378.0,3507583.0,3096487.0,6008012.0,5194740.0,6189085.0,6145934.0,3963672.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,50.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0
8,2113.1222300516,2109.8276138146,8.119,9754373756.0,10091106415.0,9804070684.0,9262790481.0,4281490773.0,1936799461.0,2003414971.0,1940288673.0,1840876060.0,861949924.0,7582192.0,8148967.0,8042146.0,7521934.0,3727743.0,7586571.0,8149733.0,8042760.0,7291284.0,3828707.0,2121.0,25986.0,2141.0,2701.0,1095.0,9167092.0,8342701.0,9452698.0,9382821.0,7015641.0,2891797525.0,2891697834.0,2891739807.0,2582244741.0,1363578830.0,9903009.0,9118241.0,9954771.0,10152645.0,7128706.0,3060258363.0,3163119772.0,3046119180.0,2786191960.0,1424496494.0,1300.0,963.0,1225.0,1870.0,661.0,3082984.0,3115697.0,3172980.0,3369386.0,3119199.0,6025862.0,5129566.0,6262550.0,6056694.0,3924227.0,0.0,0.0,0.0,0.0,0.0,46.0,19.0,5389.0,213.0,176.0,0.0,0.0,0.0,0.0,0.0
9,2112.9736480718,2109.6233985293,9.604,9900032248.0,10235516662.0,9929630242.0,10040342781.0,7477189853.0,1956920541.0,2023567063.0,1955494150.0,1986938137.0,1477386156.0,7819140.0,8115466.0,7912872.0,7781939.0,5890629.0,7820400.0,8117672.0,7910667.0,7780674.0,5908844.0,2053.0,1190.0,1990.0,2336.0,1240.0,9194558.0,8447037.0,9466263.0,9512777.0,7025761.0,2891684773.0,2891851598.0,2891780414.0,2891537270.0,2157379440.0,9999485.0,9139400.0,10033914.0,10369552.0,7244179.0,3039981245.0,3162204918.0,3045916897.0,3084376945.0,2253498627.0,1125.0,750.0,1264.0,889.0,417.0,3082330.0,3179837.0,3168311.0,3352920.0,3028024.0,5886592.0,5149637.0,6074478.0,6046575.0,3919134.0,0.0,0.0,0.0,0.0,0.0,67.0,8.0,67.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0
10,2113.0816487171,2110.6110679598,10.259,9779974903.0,10325216539.0,9792443088.0,9925616393.0,9561526599.0,1939973689.0,2003686446.0,1935574330.0,1972377140.0,1895856470.0,7761216.0,8032718.0,7998268.0,8041498.0,7567488.0,7763723.0,8030766.0,7999830.0,8037751.0,7570196.0,3368.0,1923.0,2884.0,2590.0,1545.0,9167185.0,8496418.0,9432500.0,9561854.0,7035014.0,2891760293.0,2891997083.0,2891880753.0,2891856845.0,2784546908.0,9899364.0,9126758.0,9936901.0,10474299.0,7310926.0,3068692514.0,3145852229.0,3070238093.0,3116147155.0,2980148866.0,1250.0,688.0,1113.0,1138.0,700.0,3120648.0,3185312.0,3216426.0,3455451.0,3083733.0,5955325.0,5192934.0,6133097.0,6143147.0,3957463.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,100.0,108.0,0.0,0.0,0.0,0.0,0.0
11,2113.050260456,2110.8913293437,9.017,9907167014.0,10331592257.0,9906116791.0,10060495640.0,10037344215.0,1958519711.0,2023516992.0,1951757138.0,1990505005.0,1981692342.0,7660678.0,8103773.0,7897806.0,7788630.0,8116359.0,7661774.0,8102759.0,7895574.0,7788511.0,8116962.0,1990.0,1115.0,2111.0,1424.0,994.0,9216440.0,8521746.0,9475828.0,9616342.0,7082295.0,2891672913.0,2891776236.0,2891837960.0,2891747421.0,2891920739.0,10012491.0,9213929.0,10023467.0,10586715.0,7390668.0,3070777644.0,3167523891.0,3068237957.0,3098977937.0,3094480429.0,1153.0,1503.0,1098.0,1084.0,500.0,3189418.0,3164484.0,3285013.0,3419527.0,3040538.0,5900538.0,5301201.0,6087565.0,5965228.0,3848105.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,102.0,56.0,0.0,0.0,0.0,0.0,0.0
