,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads,firewall_mem-stores,nf_router_mem-stores,ndpi_stats_mem-stores,payload_scan_mem-stores,bridge_mem-stores,firewall_iTLB-loads,nf_router_iTLB-loads,ndpi_stats_iTLB-loads,payload_scan_iTLB-loads,bridge_iTLB-loads,firewall_mem-loads,nf_router_mem-loads,ndpi_stats_mem-loads,payload_scan_mem-loads,bridge_mem-loads,firewall_bus-cycles,nf_router_bus-cycles,ndpi_stats_bus-cycles,payload_scan_bus-cycles,bridge_bus-cycles
67,4957.2878279486,2885.760647851,15000.0,3103926271.0,3423427331.0,4158966512.0,3576359229.0,4006416120.0,631048296.0,637571519.0,833425883.0,695332602.0,826583757.0,3889818.0,3559266.0,4364681.0,3881608.0,4425796.0,3627844.0,3388681.0,4533686.0,3610645.0,4177069.0,2242.0,2640.0,3068.0,8315.0,1092.0,6913637.0,6502594.0,8216258.0,8500829.0,5275249.0,1191076594.0,1191766006.0,1589954063.0,1279836997.0,1489447428.0,8352481.0,5777183.0,13538902.0,9056842.0,4905198.0,952461502.0,1013598886.0,1257892773.0,1083554921.0,1276899172.0,1817.0,1821.0,4344.0,5652.0,711.0,2193725.0,2065725.0,2591949.0,2194972.0,1744332.0,4682689.0,3242634.0,5178817.0,5808877.0,2561645.0,72865907.0,70539963.0,147222549.0,78813181.0,80098150.0,1213.0,961.0,2065.0,1236.0,1047.0,0.0,0.0,0.0,0.0,0.0,99301699.0,99306455.0,99356763.0,98414638.0,99287874.0
68,4919.6542162284,2943.6727671795,3412.432,3192107639.0,3158931009.0,3623461861.0,3480312462.0,4202771204.0,604196953.0,603637722.0,726920991.0,709914056.0,800452369.0,3255441.0,2723738.0,3664268.0,4134431.0,4734288.0,3396104.0,2787896.0,3933236.0,4306696.0,4304811.0,1595.0,1893.0,2880.0,9154.0,1810.0,6269781.0,6083289.0,8101694.0,9797678.0,5030385.0,1214619311.0,1192101758.0,1350196909.0,1284307647.0,1488657887.0,7908729.0,6434151.0,12762200.0,8366981.0,4959356.0,941208429.0,1012206861.0,1123119500.0,1112376787.0,1274888379.0,1247.0,1714.0,2959.0,8308.0,954.0,2561497.0,2403769.0,1778678.0,2046014.0,2106110.0,5701324.0,3932128.0,4622088.0,6072531.0,2868047.0,71611928.0,70429951.0,150169889.0,75507741.0,81814196.0,1285.0,980.0,1837.0,1248.0,1058.0,0.0,0.0,0.0,0.0,0.0,99351132.0,99376409.0,99372702.0,98819575.0,99220427.0
69,4902.1864501622,2885.9316977033,29.705,3853789510.0,3445766516.0,3068346165.0,3595599248.0,4139374830.0,802100876.0,707187602.0,591793247.0,706644576.0,844297537.0,4342085.0,4869292.0,2662663.0,3615494.0,5978318.0,3978885.0,4326910.0,2630847.0,3648823.0,5846454.0,2027.0,2123.0,3302.0,13108.0,2263.0,7346156.0,6009949.0,6584641.0,7558542.0,4380832.0,1270607700.0,1351826150.0,1282747477.0,1369714441.0,1732721799.0,6794751.0,6257528.0,10992102.0,8667543.0,4701867.0,1100900441.0,1012584052.0,982757865.0,1129267350.0,1328612411.0,1831.0,2651.0,1903.0,8999.0,1315.0,2232477.0,1710547.0,2573472.0,2021901.0,1515982.0,4077538.0,3971787.0,6108506.0,5876305.0,2758209.0,83975020.0,72240074.0,126419948.0,81914327.0,82415422.0,1255.0,564.0,1668.0,2104.0,1044.0,0.0,0.0,0.0,0.0,0.0,99424453.0,99354212.0,99384330.0,96715258.0,99690182.0
70,4714.9744842849,2494.6058164881,15000.0,4439390601.0,3381285338.0,4446099911.0,3866477776.0,3420663006.0,848871408.0,767099184.0,807621323.0,792635372.0,688029684.0,6611742.0,4050251.0,4447910.0,3914624.0,6829744.0,6309909.0,4501727.0,4472012.0,5399419.0,5995193.0,4183.0,5931.0,4247.0,48022.0,1851.0,4680963.0,5287182.0,4694308.0,6053068.0,3216308.0,2244503130.0,1656282722.0,1918040773.0,1930737966.0,1680996639.0,4376470.0,4140121.0,9614044.0,7204562.0,3642436.0,1342637837.0,1037470369.0,1160028710.0,1041311493.0,1185901588.0,2202.0,2501.0,3987.0,36213.0,1374.0,1236954.0,1377654.0,779404.0,1397446.0,1176674.0,4345247.0,2849181.0,2576585.0,4138260.0,1576832.0,86273126.0,63281614.0,127499898.0,82488761.0,69031556.0,2626.0,3355.0,3900.0,3589.0,1795.0,0.0,0.0,0.0,0.0,0.0,98869321.0,99428022.0,99428026.0,96273176.0,99450151.0
71,4214.8254421744,2121.5508755201,15000.0,7578202224.0,3976932091.0,6246859107.0,4597101267.0,4018480274.0,1480547696.0,827203943.0,1192295142.0,886223288.0,794815745.0,9090432.0,3829088.0,5943443.0,6470364.0,4017725.0,9077283.0,3745576.0,6077262.0,6358564.0,4141983.0,2429.0,1724.0,2877.0,8903.0,1219.0,7665159.0,7313964.0,10197895.0,10590362.0,5910638.0,2579735770.0,1293367976.0,1992630577.0,1492840222.0,1284702990.0,8181709.0,7328382.0,17652204.0,9066066.0,5968341.0,2419389503.0,1234283526.0,1908570907.0,1376970626.0,1206131309.0,2798.0,3008.0,2942.0,8132.0,1671.0,2700021.0,2289279.0,3066683.0,2502039.0,2520255.0,4339695.0,4326812.0,7158008.0,7544711.0,3840992.0,146015211.0,83485984.0,189686288.0,98315768.0,81454085.0,795.0,697.0,582.0,734.0,561.0,0.0,0.0,0.0,0.0,0.0,99227964.0,99493630.0,99633349.0,99355310.0,98820552.0
72,5072.7225185491,3012.2213768128,1456.07,5349256746.0,3341646282.0,4674681100.0,2931432629.0,3152016965.0,1024702237.0,662749524.0,933157418.0,586556068.0,634498517.0,5724378.0,3116090.0,5451576.0,4936392.0,3905910.0,6628513.0,3662717.0,5159786.0,4400377.0,3700010.0,2976.0,3166.0,4511.0,11294.0,1466.0,10941306.0,9656334.0,12232422.0,12121209.0,8103078.0,1922331441.0,1292032708.0,1905659264.0,1185926205.0,1292540749.0,10711055.0,10091908.0,15735480.0,14025074.0,7976223.0,1652187193.0,1032183164.0,1576570683.0,900667099.0,947220196.0,3016.0,2613.0,3320.0,10899.0,2850.0,3048409.0,3081567.0,3724166.0,3496167.0,2961794.0,7048689.0,6134440.0,7290271.0,8722069.0,4326868.0,113744702.0,74392057.0,204138905.0,79795963.0,74950338.0,2267.0,1363.0,2415.0,1995.0,1104.0,0.0,0.0,0.0,0.0,0.0,99490708.0,99385734.0,99537140.0,98812862.0,99421840.0
73,4937.3790998683,4099.4413521468,28.439,2254061453.0,2859616914.0,2676178970.0,2346506693.0,2632667085.0,461411032.0,562987917.0,515345449.0,462305082.0,521128818.0,3882763.0,3454486.0,2863714.0,4582578.0,5030915.0,3558648.0,3324546.0,2920746.0,4391522.0,5175834.0,3574.0,3080.0,5190.0,10213.0,1725.0,13734962.0,11453073.0,14238770.0,15997478.0,9771315.0,1212618229.0,1290316947.0,1389337207.0,1187114270.0,1312884213.0,14438761.0,11762635.0,15613134.0,16846887.0,10196881.0,715880217.0,809441114.0,858793540.0,735128812.0,846735756.0,2876.0,2744.0,4253.0,10519.0,1331.0,4937345.0,4015400.0,4809749.0,4188875.0,3519365.0,9395645.0,7536355.0,10111322.0,11913574.0,5499624.0,70088780.0,78364210.0,193325681.0,76883340.0,68946976.0,2743.0,1988.0,2405.0,2655.0,1749.0,0.0,0.0,0.0,0.0,0.0,99228187.0,99293604.0,99281232.0,98903735.0,99275676.0
74,4918.6828077551,4917.9999002003,329.168,2492412418.0,2606694942.0,2668397009.0,2328966435.0,2638946970.0,521747297.0,528929292.0,519974675.0,455146820.0,515701048.0,3147908.0,3000970.0,2877022.0,3586402.0,3862826.0,3042387.0,2971879.0,2899021.0,4045172.0,4107738.0,2851.0,2834.0,4269.0,9898.0,1429.0,13446313.0,11892922.0,14393949.0,15592875.0,9055986.0,1390870711.0,1290930167.0,1390422757.0,1178933072.0,1389528986.0,13998525.0,11549681.0,14731048.0,15848760.0,9116994.0,776747326.0,794474752.0,803209224.0,692206033.0,819811747.0,2800.0,3611.0,4072.0,11513.0,1626.0,4616952.0,3871406.0,4218265.0,3806224.0,3623352.0,9676333.0,7167125.0,9382810.0,11108747.0,5702709.0,74207744.0,70832193.0,196514346.0,73467852.0,67400840.0,2087.0,2275.0,3483.0,3026.0,1749.0,0.0,0.0,0.0,0.0,0.0,99428177.0,99310099.0,99320200.0,98227014.0,99279328.0
75,4852.0571669439,4851.8498936875,20.496,2572872360.0,2679681213.0,2716715330.0,2363102857.0,2826985426.0,499381417.0,549919448.0,540047337.0,469070297.0,555609157.0,4278976.0,3122680.0,3919058.0,5429956.0,5348832.0,4155427.0,3053130.0,3646357.0,4735440.0,4978245.0,2676.0,3027.0,5116.0,11036.0,1572.0,14006292.0,11463174.0,14276264.0,15665086.0,9445459.0,1391512986.0,1289991487.0,1391037597.0,1185338886.0,1390653488.0,14541511.0,12042912.0,15847662.0,16755023.0,9666610.0,797106158.0,849951481.0,857930523.0,740100020.0,860714049.0,3654.0,2905.0,3805.0,9221.0,1091.0,4225041.0,3931761.0,4560964.0,3954665.0,3324067.0,9086704.0,7523389.0,9695194.0,11365987.0,5560134.0,77955178.0,71624411.0,191411839.0,77102953.0,74941636.0,2341.0,1674.0,3116.0,2042.0,1698.0,0.0,0.0,0.0,0.0,0.0,99278602.0,99266384.0,99347237.0,98790191.0,99310815.0
76,4917.4122248071,4917.5071123832,196.87,2452908433.0,2757741689.0,2531288164.0,2487289545.0,2881193159.0,492044700.0,540651554.0,483038764.0,497958179.0,554802938.0,2775572.0,3253248.0,3528083.0,5467650.0,4635967.0,2699262.0,3185887.0,3396344.0,5287501.0,4220206.0,3477.0,3347.0,4655.0,11900.0,2156.0,14649859.0,12101957.0,14754401.0,15708271.0,9148450.0,1280703839.0,1232854664.0,1279968534.0,1183387367.0,1381783210.0,14691416.0,11684334.0,16367827.0,16740861.0,10195296.0,785789596.0,788874158.0,818247937.0,769345086.0,928726780.0,2966.0,2838.0,3953.0,12020.0,1015.0,4870715.0,4187192.0,4392131.0,4268593.0,3759498.0,9134751.0,7596942.0,10027589.0,12558924.0,6059277.0,73709982.0,78952265.0,191373629.0,78286506.0,77240235.0,1556.0,1360.0,1491.0,2038.0,818.0,0.0,0.0,0.0,0.0,0.0,99404677.0,99401121.0,99365052.0,98641931.0,98705972.0
