,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads,input_rate,output_rate,latency
0,1677732.0,3302818775.0,3865855368.0,4085980554.0,3405813245.0,353146.0,659361075.0,756643689.0,809378157.0,672455073.0,5029.0,2416008.0,2765652.0,2957514.0,2459869.0,5029.0,2419130.0,2772188.0,2963549.0,2462114.0,4947.0,5662.0,5045.0,10555.0,6567.0,N/A,4230.0,2760.0,5449.0,1209.0,N/A,863301346.0,988409718.0,1044720747.0,860253847.0,N/A,13652.0,11945.0,16366.0,9649.0,N/A,1063786228.0,1216500597.0,1286802552.0,1070584131.0,N/A,124.0,283.0,904.0,161.0,N/A,336.0,354.0,392.0,360.0,N/A,784.0,7938.0,8328.0,1004.0,802.90493877659,0.0,N/A
1,3231065444.0,7425648704.0,4423837869.0,7999255480.0,8655337186.0,596137207.0,1469250328.0,868818511.0,1566736836.0,1678121505.0,2087628.0,5318318.0,3110543.0,5745874.0,6070228.0,1982945.0,5362815.0,3109263.0,5759611.0,6445098.0,103198.0,6430.0,194560.0,12059.0,7501.0,1292206.0,292265.0,470874.0,634349.0,196843.0,1106488545.0,2248896658.0,1920118698.0,2665592438.0,2888982197.0,1509175.0,2345142.0,594634.0,729492.0,2372985.0,1150669500.0,2117582415.0,1424079534.0,2555657675.0,2634421430.0,7224.0,13525.0,227460.0,12560.0,1552.0,272965.0,129096.0,15719.0,100243.0,106780.0,851018.0,321772.0,250007.0,604242.0,96339.0,2070.8615267081,0.0,N/A
2,10780354803.0,5561090025.0,140845127.0,5065745112.0,3313567558.0,2110211534.0,1099629734.0,26392170.0,994382825.0,615499797.0,7676018.0,4003033.0,37025.0,3684815.0,2351185.0,7735554.0,4017765.0,39065.0,3680588.0,2128087.0,33154.0,7012.0,679369.0,11918.0,16570.0,3341591.0,1004194.0,1400641.0,1366559.0,798720.0,2891411365.0,1445877326.0,1455843835.0,1435173262.0,994769243.0,3544967.0,1258738.0,1484063.0,1731630.0,812054.0,3296646082.0,1698723558.0,41953550.0,1664190731.0,1001884654.0,16980.0,4555.0,593217.0,26449.0,10947.0,761611.0,342575.0,65644.0,260816.0,374506.0,2541462.0,842704.0,1224974.0,919276.0,307692.0,1998.0700471559,264.29021873159,N/A
3,10722923692.0,5341164283.0,101835339.0,5514520407.0,2567530075.0,2116318435.0,1068038245.0,19323489.0,1031501203.0,492042575.0,7669629.0,3787879.0,24411.0,3806497.0,1813029.0,7643192.0,3857732.0,24917.0,3700547.0,1741299.0,37341.0,17321.0,582317.0,36650.0,8110.0,3575666.0,829202.0,1011187.0,975675.0,552285.0,2891855794.0,1443842388.0,1435671134.0,1454437924.0,721788762.0,3813493.0,1105921.0,1145361.0,1317003.0,606100.0,3297646194.0,1659131319.0,31898842.0,1689017964.0,700463727.0,18791.0,7892.0,580299.0,44468.0,4998.0,803628.0,222818.0,53587.0,103771.0,210761.0,2522240.0,722357.0,987755.0,941442.0,297877.0,2113.1524430573,324.56306323589,N/A
4,10721371417.0,5428667488.0,113070377.0,5387128612.0,2748995930.0,2121060782.0,1079032862.0,21469983.0,1057746800.0,518514089.0,7659918.0,3929202.0,24694.0,3817279.0,1920944.0,7658819.0,3941073.0,24867.0,3807743.0,1826891.0,31853.0,8112.0,550152.0,19902.0,6981.0,3516611.0,945200.0,1075029.0,1079293.0,630471.0,2891208819.0,1436539210.0,1442713494.0,1443904822.0,734230688.0,3921517.0,2255941.0,1179692.0,1411489.0,740682.0,3304685940.0,1679055037.0,33758687.0,1634439953.0,812255882.0,16854.0,5905.0,588329.0,19788.0,3672.0,815762.0,210148.0,56219.0,135249.0,247393.0,2712708.0,655621.0,928035.0,657995.0,346069.0,2112.9415828534,282.01405749697,N/A
5,10488727087.0,5511051518.0,107983280.0,5286877815.0,2535891656.0,2071958587.0,1080117369.0,20643910.0,1048849144.0,477294710.0,7881840.0,3939223.0,27233.0,3859785.0,1776290.0,7594284.0,3932365.0,27660.0,3755457.0,1681000.0,31404.0,10444.0,566899.0,24690.0,7781.0,3271845.0,1011301.0,1131993.0,1068634.0,565064.0,2891033621.0,1457687430.0,1430166563.0,1445576151.0,717817698.0,3733198.0,1444247.0,1303095.0,1264273.0,656337.0,3301877852.0,1702900643.0,37015170.0,1674222248.0,768016994.0,14898.0,7420.0,587586.0,14403.0,4340.0,805593.0,229371.0,64868.0,146586.0,224974.0,2531867.0,695760.0,1058972.0,911848.0,303814.0,2112.7483873738,235.99485619767,N/A
6,10620052657.0,4898584793.0,135971867.0,5504856880.0,2562696618.0,2101761077.0,978144175.0,24951387.0,1057909342.0,489647015.0,7708387.0,3527046.0,33910.0,3879695.0,1819982.0,7725174.0,3643481.0,33992.0,3734540.0,1763589.0,31281.0,23293.0,597316.0,26969.0,6336.0,3477847.0,995687.0,1280017.0,1344449.0,623932.0,2892973055.0,1431868253.0,1451909382.0,1433893055.0,716524346.0,3903306.0,2056431.0,1463120.0,1820936.0,743750.0,3288866464.0,1528789551.0,41050755.0,1653852312.0,764649985.0,15083.0,21314.0,603025.0,34823.0,4291.0,789185.0,252171.0,59462.0,117328.0,257321.0,2608545.0,848685.0,1190433.0,1145719.0,400482.0,2113.2713350532,167.00638554798,N/A
7,10474166689.0,5503177260.0,134062173.0,5405759522.0,2265083752.0,2071478273.0,1079727860.0,25371235.0,1075983839.0,410039190.0,7575257.0,3872723.0,30820.0,3862078.0,1593651.0,7633577.0,3884244.0,30722.0,3884863.0,1358655.0,65139.0,15789.0,598901.0,29980.0,13374.0,3483027.0,1100875.0,1286342.0,1081255.0,654564.0,2892006643.0,1459087717.0,1439656855.0,1455536343.0,717995110.0,3799304.0,4070237.0,1480104.0,1145006.0,821686.0,3243165736.0,1616502736.0,42792000.0,1667128221.0,672057198.0,16675.0,16953.0,589969.0,17790.0,7299.0,808978.0,292336.0,64944.0,250053.0,342737.0,2580430.0,587571.0,1212964.0,1231879.0,358576.0,2112.9942393757,279.93226011874,N/A
8,10473278320.0,5420807953.0,111929235.0,5480080396.0,2352067029.0,2072756044.0,1044047833.0,21274932.0,1073738442.0,399405224.0,7613463.0,3790469.0,34916.0,3922661.0,1566659.0,7641937.0,3710247.0,34614.0,4235774.0,1386290.0,32851.0,23465.0,548535.0,14523.0,14560.0,3371008.0,830531.0,1096845.0,1306971.0,492031.0,2891969774.0,1436385134.0,1437813254.0,1435409335.0,716948126.0,3985615.0,1253656.0,1240012.0,1665158.0,757212.0,3269081177.0,1658345279.0,34419030.0,1697196951.0,657839882.0,15179.0,19874.0,569239.0,12838.0,9584.0,835050.0,197735.0,51698.0,188712.0,196445.0,2685006.0,576650.0,951836.0,754018.0,373573.0,2359.1507685497,275.00711956996,N/A
9,10709490324.0,5312145961.0,106633431.0,5582540916.0,2442315675.0,2117548724.0,1067176279.0,20412780.0,1101296601.0,469524074.0,7750716.0,3866394.0,35477.0,4018615.0,1760971.0,7736489.0,3952508.0,36054.0,4012483.0,1658731.0,33911.0,27497.0,528184.0,18267.0,8376.0,3564274.0,863946.0,1052254.0,1097492.0,590442.0,2891432056.0,1467695353.0,1432605490.0,1459978559.0,728784027.0,3785685.0,1142921.0,1155932.0,1392662.0,638071.0,3285692375.0,1687672548.0,32253374.0,1720238011.0,767685163.0,16926.0,17575.0,537347.0,10905.0,3873.0,809911.0,235728.0,47135.0,218127.0,237446.0,2462934.0,596500.0,927433.0,852395.0,335160.0,3560.8818483138,311.16602510543,N/A
