,input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
0,0.35347462889484,0.35329410032153,13.017,0.353665,0.077586,0.077598,0.077602,0.077609,0.0907184417,0.0593681451,0.0676369292,0.0705748337,0.0643075822
1,0.35388791258157,0.35407543820438,504.78,0.353874,0.353675,0.353681,0.353682,0.353691,0.2624966275,0.2171360478,0.1977632432,0.1191947848,0.2090489643
2,0.35260202861609,0.35271308357605,6.636,0.353841,0.353894,0.353895,0.353894,0.353903,0.289101813,0.2788343241,0.2740589755,0.1192488261,0.269162895
3,0.35356991154483,0.35345738931319,144.387,0.354086,0.353858,0.353839,0.35384,0.353841,0.289140343,0.2888567718,0.2888278848,0.2450270894,0.285938796
4,0.3532282139399,0.35307199076483,20.378,0.353599,0.354102,0.3541,0.3541,0.354103,0.289111713,0.2886904041,0.2888804783,0.2855289871,0.2890872891
5,0.39171224376491,0.40160890978752,96.384,0.353063,0.35363,0.353631,0.353632,0.353636,0.2721736802,0.2888809668,0.2887888712,0.2887311494,0.2890009505
6,0.78657036654834,0.7866642019227,21.837,0.62771,0.353098,0.353099,0.353099,0.353104,0.2890167231,0.2888865208,0.2889354068,0.2888581293,0.2890777165
7,0.78647396834408,0.77792434563923,93.872,0.78522,0.627797,0.627964,0.627969,0.627987,0.2889975925,0.2885389936,0.288760298,0.2887098168,0.2891040095
8,0.78472981797737,0.78493426146229,80.758,0.779961,0.785136,0.785186,0.785162,0.785173,0.2888461507,0.2884322392,0.2887381869,0.2882537839,0.2889091707
9,0.78935135934407,0.78887657345905,267.872,0.788687,0.779984,0.780061,0.780764,0.780764,0.2891134548,0.2881931244,0.2581897254,0.2867029066,0.2889777035
10,0.78549813797728,0.78568401218906,49.13,0.790107,0.788727,0.788012,0.787998,0.787998,0.2890465943,0.2884191856,0.2883988422,0.2880756418,0.2891160987
11,0.78824460455274,0.78846556283034,91.212,0.787603,0.790128,0.790142,0.790142,0.790152,0.2890664728,0.2885506673,0.2886109373,0.2885842524,0.2891351793
12,0.78750915921084,0.78724670375061,22.851,0.788097,0.787759,0.787768,0.78775,0.78776,0.2889112905,0.2883873782,0.2888309126,0.2703673422,0.2820506228
13,0.78778843418064,0.78775081033192,145.648,0.788652,0.788136,0.788188,0.788201,0.788222,0.2889116804,0.2883317579,0.2885432419,0.2879787071,0.2890066519
14,0.78582791511789,0.78594459867823,37.923,0.78864,0.788642,0.788651,0.788645,0.788659,0.2700925106,0.2884008761,0.2884292448,0.2879693475,0.2888056981
15,0.81890144655249,0.82650815110378,85.67,0.788299,0.788736,0.788736,0.788704,0.788672,0.2888258968,0.2881790167,0.2875960123,0.2881945154,0.2890065615
16,1.1398738157514,1.1394679418497,31.222,1.01528,0.788352,0.788381,0.788387,0.788387,0.2890565638,0.2882233522,0.2880727168,0.2882116368,0.2890299946
17,1.1406638624014,1.1389025339161,271.11,1.141079,1.015339,1.015338,1.01536,1.015368,0.2889432005,0.2883898561,0.2888383346,0.2884324796,0.2890377814
18,1.1424523213235,1.1190514467959,55.693,1.138778,1.141105,1.141102,1.141106,1.14112,0.2889956547,0.2883682156,0.2887547645,0.2881132308,0.2890354906
19,1.1422454159744,1.1410417788218,60.234,1.133276,1.138895,1.138917,1.138902,1.140182,0.2886306705,0.2882432443,0.2886722137,0.2880878353,0.2889817418
20,1.1422114926198,1.1419945708578,27.993,1.143796,1.13334,1.133374,1.132087,1.132028,0.2890073883,0.2791987131,0.287702764,0.2870872478,0.2887953446
21,1.1401653687561,1.1395070147286,69.837,1.142884,1.143862,1.143861,1.143932,1.143932,0.2889443454,0.2881425803,0.2885483245,0.288018142,0.1325871558
22,1.140407854542,1.1254456421603,53.581,1.128365,1.142954,1.143056,1.143088,1.143024,0.289058067,0.2880985934,0.2888447364,0.2881082585,0.1193485794
