,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-03-04,23:55:17.137,  171.85,  158.12,  628.28,  379.92,,,,,  800.13,  538.05,2134339056, 1338.17,  173.03,   21.93,  169.03,   18.37,,,,,  342.06,   40.29,2134240997,  382.35,   1142.19,    578.34,   1720.52
2024-03-04,23:55:18.137,  168.55,  150.69,  623.88,  371.91,,,,,  792.42,  522.59,2132707394, 1315.02,  142.57,    6.58,  139.58,    3.22,,,,,  282.15,    9.80,2132777729,  291.96,   1074.58,    532.40,   1606.98
2024-03-04,23:55:19.138,  170.42,  150.83,  626.18,  372.54,,,,,  796.61,  523.37,2132298668, 1319.97,  153.18,   12.11,  149.82,    8.76,,,,,  303.00,   20.87,2132797387,  323.87,   1099.60,    544.24,   1643.84
2024-03-04,23:55:20.138,  168.77,  150.07,  623.78,  371.39,,,,,  792.55,  521.46,2135063607, 1314.01,  145.69,    8.71,  142.78,    5.36,,,,,  288.47,   14.06,2135431285,  302.53,   1081.03,    535.52,   1616.55
2024-03-04,23:55:21.138,  168.91,  150.86,  623.98,  372.01,,,,,  792.89,  522.87,2132885898, 1315.77,  145.33,    6.67,  142.03,    3.32,,,,,  287.36,    9.99,2131825858,  297.35,   1080.25,    532.87,   1613.12
2024-03-04,23:55:22.138,  169.40,  149.54,  625.19,  370.89,,,,,  794.59,  520.43,2131942987, 1315.02,  145.24,    8.08,  141.79,    4.71,,,,,  287.03,   12.79,2132015283,  299.82,   1081.62,    533.23,   1614.85
2024-03-04,23:55:23.138,  169.04,  150.53,  624.98,  371.95,,,,,  794.03,  522.48,2134061992, 1316.50,  140.58,    5.75,  137.26,    2.39,,,,,  277.83,    8.15,2133933765,  285.98,   1071.86,    530.62,   1602.48
2024-03-04,23:55:24.138,  168.96,  149.84,  623.80,  371.01,,,,,  792.77,  520.86,2134102592, 1313.62,  145.91,    8.37,  142.15,    4.99,,,,,  288.06,   13.36,2134386632,  301.42,   1080.83,    534.21,   1615.04
2024-03-04,23:55:25.139,  168.19,  150.15,  622.95,  371.08,,,,,  791.14,  521.23,2132326803, 1312.37,  141.31,    5.94,  137.37,    2.58,,,,,  278.68,    8.52,2132203675,  287.20,   1069.82,    529.75,   1599.57
2024-03-04,23:55:26.140,  169.11,  149.28,  624.14,  370.33,,,,,  793.25,  519.61,2134204333, 1312.86,  147.09,    8.98,  143.61,    5.66,,,,,  290.70,   14.64,2134203949,  305.34,   1083.95,    534.25,   1618.20
2024-03-04,23:55:27.140,  171.67,  158.11,  627.54,  379.78,,,,,  799.21,  537.89,2132164946, 1337.10,  173.06,   22.50,  169.93,   19.01,,,,,  342.98,   41.51,2131972042,  384.49,   1142.19,    579.40,   1721.59
2024-03-04,23:55:28.140,  168.80,  150.86,  622.93,  371.81,,,,,  791.73,  522.67,2134186071, 1314.39,  150.95,    9.80,  147.89,    6.49,,,,,  298.84,   16.30,2134506558,  315.14,   1090.57,    538.96,   1629.53
2024-03-04,23:55:29.140,  167.96,  149.59,  622.55,  370.47,,,,,  790.51,  520.06,2131974052, 1310.57,  141.66,    5.95,  138.03,    2.59,,,,,  279.69,    8.54,2131718262,  288.23,   1070.19,    528.60,   1598.80
2024-03-04,23:55:30.141,  168.45,  149.41,  622.85,  370.44,,,,,  791.30,  519.85,2133792866, 1311.15,  146.51,    9.07,  143.34,    5.72,,,,,  289.85,   14.79,2133884772,  304.64,   1081.15,    534.64,   1615.79
2024-03-04,23:55:31.141,  168.70,  150.53,  623.71,  371.79,,,,,  792.41,  522.32,2134519976, 1314.73,  146.01,    8.21,  142.82,    4.87,,,,,  288.83,   13.08,2134495668,  301.91,   1081.24,    535.40,   1616.64
2024-03-04,23:55:32.142,  167.95,  148.89,  622.61,  370.02,,,,,  790.57,  518.91,2131981580, 1309.48,  141.89,    6.36,  139.11,    3.01,,,,,  281.01,    9.37,2132247563,  290.37,   1071.57,    528.28,   1599.85
2024-03-04,23:55:33.141,  168.84,  149.34,  624.66,  371.01,,,,,  793.49,  520.34,2134127411, 1313.84,  145.66,    8.55,  142.47,    5.19,,,,,  288.13,   13.73,2133985005,  301.87,   1081.63,    534.08,   1615.70
2024-03-04,23:55:34.142,  167.26,  149.27,  621.02,  369.96,,,,,  788.28,  519.23,2132475419, 1307.51,  139.90,    5.72,  136.95,    2.35,,,,,  276.85,    8.07,2132571411,  284.92,   1065.13,    527.30,   1592.43
2024-03-04,23:55:35.142,  168.95,  149.15,  624.53,  370.88,,,,,  793.48,  520.03,2134191431, 1313.51,  144.49,    8.42,  141.52,    5.04,,,,,  286.01,   13.46,2133895449,  299.47,   1079.49,    533.50,   1612.99
